System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-03-04,09:57:33.736,0.15,2.52,0.06,1.12,0.05,19.83,1.00,0.35,0.0000,0.0025, 14400,0.64,0.72,99,50,7985.47,3162.85,2599.72,5.05,126.24,0.31,7.68,0.04,1.63,0.02,1.20,0.04,2.68,0.99,0.70,0.0000,0.0014, 23400,0.61,0.02,97,47,1870.80,1144.53,2599.72,3.27,81.73,0.07,1.80,5.45,73.88,0.04,20.63,0.00,100.00,0.00,0.00,0.00,0.00,1.84,31.92,0.18,66.06,0.00,100.00,0.00,0.00,0.00,0.00,76.09,54.18,4.55 ,4.44 ,781659.93 ,786751.18 ,3.00,3.00,0.24,1.56,0.15,1.12,0.01,2.98,1.00,0.21,0.0000,0.0048,  1280,13.88,86.12,0.00,0.00,0.00,54,626.57,402.34,2599.72,3.11,77.86,0.48,12.05,
2024-03-04,09:57:34.736,0.15,2.39,0.06,1.12,0.07,20.20,1.00,0.39,0.0000,0.0025, 15520,0.64,0.72,99,49,7951.85,3325.46,2595.94,4.78,119.56,0.31,7.66,0.03,1.49,0.02,1.22,0.01,2.55,1.00,0.40,0.0000,0.0016, 23960,0.60,0.01,97,47,1586.66,1064.27,2595.94,2.98,74.54,0.06,1.53,5.74,76.85,0.01,17.40,0.00,100.00,0.00,0.00,0.00,0.00,1.69,28.32,0.18,69.82,0.00,100.00,0.00,0.00,0.00,0.00,77.78,51.92,4.54 ,4.41 ,0.33 ,0.33 ,3.00,3.00,0.23,1.52,0.15,1.12,0.01,2.89,1.00,0.21,0.0000,0.0048,  1800,13.55,86.45,0.00,0.00,0.00,54,597.02,392.28,2595.94,3.04,76.10,0.46,11.50,
2024-03-04,09:57:35.736,0.15,2.42,0.06,1.12,0.07,20.44,1.00,0.39,0.0000,0.0026, 15000,0.63,0.71,99,49,7954.60,3281.77,2598.06,4.85,121.19,0.31,7.65,0.03,1.64,0.02,1.23,0.01,2.63,1.00,0.40,0.0000,0.0016, 24280,0.59,0.01,97,47,1614.56,983.81,2598.06,3.28,82.06,0.06,1.55,5.66,77.03,0.01,17.30,0.00,100.00,0.00,0.00,0.00,0.00,1.54,28.50,0.13,69.82,0.00,100.00,0.00,0.00,0.00,0.00,77.77,52.01,4.53 ,4.40 ,0.00 ,0.33 ,3.00,3.00,0.24,1.56,0.15,1.12,0.01,3.04,1.00,0.21,0.0000,0.0048,  1840,13.88,86.12,0.00,0.00,0.00,53,628.74,402.28,2598.06,3.13,78.15,0.48,12.10,
2024-03-04,09:57:36.737,0.15,2.36,0.06,1.12,0.06,20.14,1.00,0.40,0.0000,0.0026, 15080,0.63,0.70,99,50,7827.00,3312.22,2598.12,4.73,118.15,0.30,7.53,0.03,1.50,0.02,1.21,0.01,2.59,1.00,0.39,0.0000,0.0016, 24280,0.57,0.01,96,48,1596.02,1065.95,2598.12,2.99,74.86,0.06,1.54,5.71,77.16,0.01,17.12,0.00,100.00,0.00,0.00,0.00,0.00,1.69,28.30,0.13,69.88,0.00,100.00,0.00,0.00,0.00,0.00,77.85,51.98,4.54 ,4.41 ,0.33 ,0.33 ,3.00,3.00,0.23,1.51,0.15,1.12,0.01,2.99,1.00,0.22,0.0000,0.0049,  2000,13.89,86.11,0.00,0.00,0.00,53,607.16,402.62,2598.12,3.02,75.40,0.47,11.68,
2024-03-04,09:57:37.736,0.15,2.39,0.06,1.12,0.07,20.87,1.00,0.39,0.0000,0.0026, 14800,0.61,0.69,99,49,8023.14,3350.88,2595.31,4.79,119.72,0.31,7.73,0.03,1.54,0.02,1.22,0.01,2.59,0.99,0.39,0.0000,0.0017, 24760,0.57,0.01,97,47,1560.45,1014.24,2595.31,3.08,76.93,0.06,1.50,5.79,76.96,0.03,17.22,0.00,100.00,0.00,0.00,0.00,0.00,1.60,28.61,0.14,69.66,0.00,100.00,0.00,0.00,0.00,0.00,77.86,52.04,4.52 ,4.40 ,0.30 ,0.33 ,3.00,3.00,0.24,1.56,0.15,1.12,0.01,2.98,1.00,0.21,0.0000,0.0048,  2160,13.70,86.30,0.00,0.00,0.00,52,617.65,396.58,2595.31,3.11,77.87,0.48,11.90,
2024-03-04,09:57:38.737,0.15,2.38,0.06,1.12,0.07,20.58,1.00,0.39,0.0000,0.0026, 15840,0.61,0.69,99,47,7884.25,3314.00,2598.03,4.76,118.95,0.30,7.59,0.03,1.57,0.02,1.21,0.02,2.68,0.99,0.39,0.0000,0.0017, 24680,0.59,0.01,97,48,1615.46,1031.78,2598.03,3.13,78.28,0.06,1.55,5.72,77.51,0.00,16.77,0.00,100.00,0.00,0.00,0.00,0.00,1.64,29.00,0.14,69.23,0.00,100.00,0.00,0.00,0.00,0.00,77.96,52.00,4.52 ,4.42 ,0.33 ,0.33 ,3.00,3.00,0.23,1.51,0.15,1.12,0.01,2.95,1.00,0.22,0.0000,0.0049,  2360,13.74,86.26,0.00,0.00,0.00,52,600.98,398.20,2598.03,3.02,75.46,0.46,11.57,
2024-03-04,09:57:39.737,0.15,2.37,0.06,1.12,0.05,20.32,1.00,0.39,0.0000,0.0026, 15960,0.60,0.68,99,48,7708.26,3254.65,2597.98,4.74,118.42,0.30,7.42,0.03,1.53,0.02,1.22,0.01,2.55,1.00,0.40,0.0000,0.0016, 24520,0.58,0.01,97,46,1596.30,1044.62,2597.98,3.06,76.41,0.06,1.54,5.62,76.98,0.02,17.38,0.00,100.00,0.00,0.00,0.00,0.00,1.65,28.30,0.15,69.90,0.00,100.00,0.00,0.00,0.00,0.00,77.83,51.99,4.52 ,4.40 ,291537.94 ,340271.16 ,3.00,3.00,0.24,1.55,0.16,1.12,0.01,3.05,1.00,0.21,0.0000,0.0048,  2440,14.00,86.00,0.00,0.00,0.00,52,630.68,405.79,2597.98,3.11,77.71,0.49,12.14,
2024-03-04,09:57:40.740,0.15,2.34,0.07,1.12,0.11,20.76,0.99,0.40,0.0000,0.0026, 17920,0.62,0.70,98,47,7980.91,3404.73,2598.75,4.69,117.20,0.31,7.68,0.03,1.51,0.02,1.21,0.11,3.10,0.97,0.42,0.0001,0.0019, 24640,0.64,0.04,94,47,1632.16,1083.54,2598.75,3.01,75.32,0.06,1.57,5.87,77.26,0.05,16.82,0.00,100.00,0.00,0.00,0.00,0.00,1.73,30.70,0.24,67.33,0.00,100.00,0.00,0.00,0.00,0.00,78.19,52.71,4.55 ,4.45 ,0.13 ,0.20 ,3.01,3.00,0.23,1.51,0.15,1.12,0.02,2.96,0.99,0.22,0.0000,0.0049,  2600,13.76,86.24,0.00,0.00,0.00,52,601.19,398.91,2598.75,3.01,75.36,0.46,11.57,
2024-03-04,09:57:41.737,0.15,2.36,0.06,1.12,0.06,21.04,1.00,0.39,0.0000,0.0027, 16840,0.57,0.67,99,48,7933.94,3357.51,2595.09,4.73,118.15,0.31,7.64,0.03,1.48,0.02,1.21,0.02,2.66,0.99,0.39,0.0000,0.0017, 24040,0.63,0.01,97,46,1579.02,1065.69,2595.09,2.96,74.08,0.06,1.52,5.80,76.75,0.00,17.44,0.00,100.00,0.00,0.00,0.00,0.00,1.69,28.25,0.16,69.90,0.00,100.00,0.00,0.00,0.00,0.00,77.86,51.92,4.49 ,4.41 ,0.00 ,0.10 ,2.99,3.00,0.24,1.55,0.15,1.12,0.01,2.97,1.00,0.22,0.0000,0.0049,  3080,13.58,86.42,0.00,0.00,0.00,52,610.90,392.92,2595.09,3.11,77.74,0.47,11.77,
2024-03-04,09:57:42.737,0.15,2.42,0.06,1.12,0.06,21.42,1.00,0.39,0.0000,0.0027, 16640,0.56,0.66,99,47,8001.02,3304.01,2598.08,4.84,121.08,0.31,7.70,0.03,1.65,0.02,1.23,0.01,2.70,1.00,0.39,0.0000,0.0017, 24320,0.60,0.01,97,46,1624.29,985.39,2598.08,3.30,82.42,0.06,1.56,5.70,76.91,0.00,17.39,0.00,100.00,0.00,0.00,0.00,0.00,1.55,28.43,0.14,69.88,0.00,100.00,0.00,0.00,0.00,0.00,78.17,51.97,4.48 ,4.42 ,0.03 ,0.10 ,3.00,3.00,0.24,1.57,0.16,1.12,0.01,3.08,1.00,0.22,0.0000,0.0049,  3040,13.91,86.09,0.00,0.00,0.00,52,634.67,403.12,2598.08,3.15,78.72,0.49,12.21,
