Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1709542649,Device: id=0,TX,0.30739169668984,870.73716818157,919.91983965194,307466,108867726
1709542650,Device: id=0,TX,0.21878466571196,616.44360152203,651.44914803595,531978,187940330
1709542651,Device: id=0,TX,0.2613405876282,739.06146481282,780.87595883333,801683,283279794
1709542652,Device: id=0,TX,0.31382720798324,887.34578778316,937.55814106048,1115613,394234348
1709542653,Device: id=0,TX,1.4408695604269,4077.1129968367,4307.652126505,2556490,903876104
1709542654,Device: id=0,TX,2.4536155675144,6930.8277753792,7323.4062661815,5010164,1770250208
1709542655,Device: id=0,TX,2.4499939314243,6934.2361832974,7326.2352123253,7460173,2637035062
1709542656,Device: id=0,TX,2.4500244797244,6934.7990057994,7326.8029225553,9910229,3503896090
1709542657,Device: id=0,TX,2.4470784142601,6926.4726718619,7318.0052181435,12357336,4369715288
1709542658,Device: id=0,TX,2.4469290978366,6920.646269426,7312.1549250798,14804276,5234799926
1709542659,Device: id=0,TX,2.4488086670444,6934.177279051,7325.9866657781,17253125,6101586362
1709542660,Device: id=0,TX,2.4490286888027,6930.7894827126,7322.634072921,19702192,6967948600
1709542661,Device: id=0,TX,2.4497145370586,6924.9274679763,7316.8817939057,22151952,7833580598
1709542662,Device: id=0,TX,2.449098367505,6927.0818704001,7318.9376092009,24601081,8699476662
1709542663,Device: id=0,TX,2.4508902739902,6933.2626562003,7325.4051000388,27052020,9566151724
1709542664,Device: id=0,TX,2.4521782138374,6933.5713568647,7325.9198710787,29504248,10432865740
1709542665,Device: id=0,TX,2.4543071613399,6938.4831904116,7331.172336226,31958613,11300196578
1709542666,Device: id=0,TX,2.4491068527236,6936.1928518415,7328.0499482773,34407804,12167250474
1709542667,Device: id=0,TX,2.448589675663,6928.9297806956,7320.7041288017,36856413,13033373532
1709542668,Device: id=0,TX,2.4445318028952,6914.245045961,7305.3701344242,39300955,13897657768
1709542669,Device: id=0,TX,2.4482777830293,6929.1069755736,7320.8314208583,41749245,14763800462
1709542670,Device: id=0,TX,2.4514266739629,6933.9965182306,7326.2247860647,44200700,15630560042
1709542671,Device: id=0,TX,2.4502577581605,6934.0843524378,7326.1255937434,46650972,16497325624
1709542672,Device: id=0,TX,2.4545144158745,6938.5269066529,7331.2492131928,49105499,17364645934
1709542673,Device: id=0,TX,2.4485085907238,6929.5100600133,7321.2714345291,51554026,18230841204
1709542674,Device: id=0,TX,2.454784367615,6940.4454063657,7333.2109051841,54008861,19098414774
1709542675,Device: id=0,TX,2.4506667446933,6933.6207485658,7325.7274277167,56459557,19965127714
1709542676,Device: id=0,TX,2.45238253921,6942.8203389975,7335.2015452711,58911969,20832990682
1709542677,Device: id=0,TX,2.4544952861006,6942.0846268037,7334.8038725797,61366497,21700762826
1709542678,Device: id=0,TX,2.4543967911756,6943.9275935795,7336.6310801676,63820931,22568766934
1709542679,Device: id=0,TX,2.4534540661825,6943.4228442761,7335.9754948653,66274402,23436700780
1709542680,Device: id=0,TX,2.4525773983958,6930.2746475098,7322.6870312531,68726992,24302989562
1709542681,Device: id=0,TX,2.4533336336612,6933.5398679808,7326.0732493666,71180330,25169683588
1709542682,Device: id=0,TX,2.4525595496065,6938.4248642462,7330.8343921832,73632937,26037003476
1709542683,Device: id=0,TX,2.4538544195316,6943.71688059,7336.333587715,76086860,26904992344
1709542684,Device: id=0,TX,2.4555738539505,6942.2005061453,7335.0923227774,78542442,27772770286
1709542685,Device: id=0,TX,2.454148030364,6941.9797290271,7334.6434138854,80996627,28640530824
1709542686,Device: id=0,TX,2.4575333535533,6940.4391778829,7333.6445144514,83454191,29508096540
1709542687,Device: id=0,TX,2.4544200464236,6941.9471488857,7334.6543563134,85908618,30375842392
1709542688,Device: id=0,TX,2.4567626689991,6940.9616364619,7334.0436635017,88365423,31243477546
1709542689,Device: id=0,TX,2.4573983486863,6941.8008175318,7334.9845533216,90822867,32111218768
1709542690,Device: id=0,TX,2.4527371661416,6934.5229254414,7326.960872024,93275636,32978045384
1709542691,Device: id=0,TX,2.4551031802395,6943.0838211277,7335.9003299661,95730767,33845940696
1709542692,Device: id=0,TX,2.4509272671088,6932.0783201427,7324.2266828801,98181715,34712457816
1709542693,Device: id=0,TX,2.4562177462391,6943.9044850954,7336.8993244937,100637940,35580448440
1709542694,Device: id=0,TX,2.456471943965,6943.5585787853,7336.5940898197,103094454,36448408122
1709542695,Device: id=0,TX,2.4539712441848,6942.0002606247,7334.6356596943,105548441,37316163726
1709542696,Device: id=0,TX,2.4506221324716,6940.0305703673,7332.1301115628,107999123,38183688740
1709542697,Device: id=0,TX,2.4549160031246,6941.8201951781,7334.606755678,110454105,39051439592
1709542698,Device: id=0,TX,2.4552289512984,6943.4436488293,7336.280281037,112909397,39919392336
1709542699,Device: id=0,TX,2.4518997791882,6941.7748382023,7334.0788028724,115361306,40787117454
1709542700,Device: id=0,TX,2.4551087249343,6942.8841102656,7335.7015062551,117816417,41654978772
1709542701,Device: id=0,TX,2.4519175690621,6939.8997180205,7332.2065290705,120268381,42522482664
1709542702,Device: id=0,TX,2.453733470143,6934.898364233,7327.4957194559,122722169,43389364224
