System-Date,System-Time,Socket 0-EXEC,Socket 0-IPC,Socket 0-FREQ,Socket 0-AFREQ,Socket 0-L3MISS,Socket 0-L2MISS,Socket 0-L3HIT,Socket 0-L2HIT,Socket 0-L3MPI,Socket 0-L2MPI,Socket 0-L3OCC,Socket 0-READ,Socket 0-WRITE,Socket 0-LOCAL,Socket 0-TEMP,Socket 0-INST,Socket 0-ACYC,Socket 0-TIME(ticks),Socket 0-PhysIPC,Socket 0-PhysIPC%,Socket 0-INSTnom,Socket 0-INSTnom%,Socket 1-EXEC,Socket 1-IPC,Socket 1-FREQ,Socket 1-AFREQ,Socket 1-L3MISS,Socket 1-L2MISS,Socket 1-L3HIT,Socket 1-L2HIT,Socket 1-L3MPI,Socket 1-L2MPI,Socket 1-L3OCC,Socket 1-READ,Socket 1-WRITE,Socket 1-LOCAL,Socket 1-TEMP,Socket 1-INST,Socket 1-ACYC,Socket 1-TIME(ticks),Socket 1-PhysIPC,Socket 1-PhysIPC%,Socket 1-INSTnom,Socket 1-INSTnom%,SKT0 Core C-State-C0res%,SKT0 Core C-State-C1res%,SKT0 Core C-State-C3res%,SKT0 Core C-State-C6res%,SKT0 Core C-State-C7res%,SKT0 Package C-State-C0res%,SKT0 Package C-State-C2res%,SKT0 Package C-State-C3res%,SKT0 Package C-State-C6res%,SKT0 Package C-State-C7res%,SKT1 Core C-State-C0res%,SKT1 Core C-State-C1res%,SKT1 Core C-State-C3res%,SKT1 Core C-State-C6res%,SKT1 Core C-State-C7res%,SKT1 Package C-State-C0res%,SKT1 Package C-State-C2res%,SKT1 Package C-State-C3res%,SKT1 Package C-State-C6res%,SKT1 Package C-State-C7res%,Proc Energy (Joules)-SKT0,Proc Energy (Joules)-SKT1,DRAM Energy (Joules)-SKT0,DRAM Energy (Joules)-SKT1,LLCRDMISSLAT (ns)-SKT0,LLCRDMISSLAT (ns)-SKT1,UncFREQ (Ghz)-SKT0,UncFREQ (Ghz)-SKT1,Core3 (Socket 0)-EXEC,Core3 (Socket 0)-IPC,Core3 (Socket 0)-FREQ,Core3 (Socket 0)-AFREQ,Core3 (Socket 0)-L3MISS,Core3 (Socket 0)-L2MISS,Core3 (Socket 0)-L3HIT,Core3 (Socket 0)-L2HIT,Core3 (Socket 0)-L3MPI,Core3 (Socket 0)-L2MPI,Core3 (Socket 0)-L3OCC,Core3 (Socket 0)-C0res%,Core3 (Socket 0)-C1res%,Core3 (Socket 0)-C3res%,Core3 (Socket 0)-C6res%,Core3 (Socket 0)-C7res%,Core3 (Socket 0)-TEMP,Core3 (Socket 0)-INST,Core3 (Socket 0)-ACYC,Core3 (Socket 0)-TIME(ticks),Core3 (Socket 0)-PhysIPC,Core3 (Socket 0)-PhysIPC%,Core3 (Socket 0)-INSTnom,Core3 (Socket 0)-INSTnom%,-
2024-02-13,21:54:33.932,0.19,2.34,0.08,1.12,0.17,20.56,0.99,0.24,0.0000,0.0021, 15000,0.76,0.66,99,50,10008.66,4278.76,2605.52,4.68,116.96,0.38,9.60,0.04,1.49,0.03,1.21,0.06,3.19,0.98,0.40,0.0000,0.0014, 24520,0.48,0.03,95,48,2292.52,1533.74,2605.52,2.99,74.74,0.09,2.20,7.36,68.02,0.03,24.59,0.00,100.00,0.00,0.00,0.00,0.00,2.43,29.03,0.16,68.38,0.00,100.00,0.00,0.00,0.00,0.00,72.78,52.50,4.58 ,4.41 ,2562031.13 ,2621601.28 ,3.00,3.00,0.62,2.84,0.22,1.12,0.00,2.36,1.00,0.09,0.0000,0.0014,   640,19.72,80.28,0.00,0.00,0.00,51,1626.18,573.20,2605.52,5.67,141.85,1.25,31.21,
2024-02-13,21:54:34.932,0.20,2.32,0.09,1.12,0.21,22.77,0.99,0.23,0.0000,0.0022, 15680,0.64,0.62,98,49,10537.19,4540.49,2593.73,4.64,116.04,0.41,10.16,0.04,1.34,0.03,1.20,0.07,3.33,0.98,0.39,0.0000,0.0015, 24200,0.49,0.02,92,47,2248.49,1683.23,2593.73,2.67,66.79,0.09,2.17,7.85,68.53,0.05,23.57,0.00,100.00,0.00,0.00,0.00,0.00,2.72,30.25,0.22,66.82,0.00,100.00,0.00,0.00,0.00,0.00,73.62,52.69,4.51 ,4.39 ,0.33 ,0.33 ,3.00,3.00,0.65,2.93,0.22,1.12,0.00,2.64,1.00,0.09,0.0000,0.0016,  1160,19.86,80.14,0.00,0.00,0.00,51,1683.86,574.48,2593.73,5.86,146.56,1.30,32.46,
2024-02-13,21:54:35.932,0.21,2.60,0.08,1.12,0.06,24.75,1.00,0.21,0.0000,0.0023, 15680,0.56,0.56,99,49,10847.56,4167.16,2598.48,5.21,130.16,0.42,10.44,0.04,1.57,0.03,1.22,0.02,2.96,0.99,0.39,0.0000,0.0013, 23400,0.43,0.01,97,46,2311.99,1471.40,2598.48,3.14,78.56,0.09,2.22,7.19,66.12,0.01,26.68,0.00,100.00,0.00,0.00,0.00,0.00,2.32,27.46,0.15,70.07,0.00,100.00,0.00,0.00,0.00,0.00,73.15,52.07,4.50 ,4.38 ,436643.41 ,339780.18 ,3.00,3.00,0.67,3.03,0.22,1.12,0.00,2.95,1.00,0.09,0.0000,0.0017,   960,19.87,80.13,0.00,0.00,0.00,51,1743.05,575.95,2598.48,6.05,151.32,1.34,33.54,
2024-02-13,21:54:36.931,0.21,2.59,0.08,1.12,0.07,24.75,1.00,0.22,0.0000,0.0023, 16160,0.56,0.55,99,49,10817.31,4169.82,2595.67,5.19,129.71,0.42,10.42,0.04,1.58,0.03,1.22,0.01,2.86,1.00,0.39,0.0000,0.0012, 23160,0.42,0.01,96,46,2303.73,1461.62,2595.67,3.15,78.81,0.09,2.22,7.20,66.15,0.02,26.63,0.00,100.00,0.00,0.00,0.00,0.00,2.31,27.51,0.14,70.05,0.00,100.00,0.00,0.00,0.00,0.00,73.11,51.94,4.50 ,4.37 ,0.03 ,0.10 ,3.00,3.00,0.67,3.02,0.22,1.12,0.00,2.95,1.00,0.09,0.0000,0.0017,  1120,19.87,80.13,0.00,0.00,0.00,50,1735.13,575.35,2595.67,6.03,150.79,1.34,33.42,
2024-02-13,21:54:37.932,0.21,2.60,0.08,1.12,0.07,24.74,1.00,0.21,0.0000,0.0023, 16480,0.56,0.55,99,49,10824.67,4163.34,2599.73,5.20,130.00,0.42,10.41,0.04,1.57,0.03,1.22,0.02,2.92,0.99,0.39,0.0000,0.0013, 22640,0.42,0.01,96,46,2301.83,1462.74,2599.73,3.15,78.68,0.09,2.21,7.18,66.22,0.01,26.59,0.00,100.00,0.00,0.00,0.00,0.00,2.31,27.57,0.14,69.98,0.00,100.00,0.00,0.00,0.00,0.00,73.20,52.14,4.49 ,4.38 ,0.03 ,0.10 ,3.00,3.00,0.67,3.03,0.22,1.12,0.00,2.95,1.00,0.09,0.0000,0.0017,  1120,19.87,80.13,0.00,0.00,0.00,50,1742.82,576.08,2599.73,6.05,151.26,1.34,33.52,
2024-02-13,21:54:38.932,0.21,2.61,0.08,1.12,0.08,24.33,1.00,0.22,0.0000,0.0022, 16800,0.56,0.55,99,48,10871.96,4171.19,2596.40,5.21,130.32,0.42,10.47,0.04,1.53,0.03,1.21,0.04,2.95,0.99,0.39,0.0000,0.0013, 23960,0.42,0.01,96,47,2263.00,1480.01,2596.40,3.06,76.45,0.09,2.18,7.20,66.57,0.01,26.22,0.00,100.00,0.00,0.00,0.00,0.00,2.35,28.39,0.12,69.14,0.00,100.00,0.00,0.00,0.00,0.00,73.37,52.23,4.51 ,4.37 ,0.17 ,0.17 ,3.00,3.00,0.67,3.03,0.22,1.12,0.00,2.90,1.00,0.09,0.0000,0.0017,  1120,19.87,80.13,0.00,0.00,0.00,51,1745.01,575.37,2596.40,6.07,151.64,1.34,33.60,
2024-02-13,21:54:39.933,0.21,2.60,0.08,1.12,0.07,24.92,1.00,0.21,0.0000,0.0023, 17400,0.56,0.54,99,48,10805.37,4163.70,2598.17,5.19,129.76,0.42,10.40,0.04,1.58,0.03,1.22,0.01,2.93,1.00,0.39,0.0000,0.0013, 23720,0.42,0.01,97,46,2304.56,1458.49,2598.17,3.16,79.00,0.09,2.22,7.18,66.17,0.01,26.63,0.00,100.00,0.00,0.00,0.00,0.00,2.30,27.42,0.13,70.14,0.00,100.00,0.00,0.00,0.00,0.00,73.24,52.19,4.50 ,4.38 ,0.03 ,0.10 ,3.00,3.00,0.67,3.02,0.22,1.12,0.00,2.97,1.00,0.09,0.0000,0.0017,  1240,19.83,80.17,0.00,0.00,0.00,49,1735.35,574.78,2598.17,6.04,150.96,1.34,33.40,
2024-02-13,21:54:40.932,0.21,2.54,0.08,1.12,0.13,24.52,0.99,0.22,0.0000,0.0023, 17600,0.58,0.57,98,47,10753.57,4230.11,2595.70,5.08,127.11,0.41,10.36,0.05,1.56,0.03,1.21,0.05,3.50,0.99,0.42,0.0000,0.0015, 24960,0.46,0.02,95,46,2366.10,1515.70,2595.70,3.12,78.05,0.09,2.28,7.31,66.47,0.03,26.19,0.00,100.00,0.00,0.00,0.00,0.00,2.40,28.58,0.15,68.87,0.00,100.00,0.00,0.00,0.00,0.00,73.30,52.50,4.51 ,4.38 ,0.03 ,0.10 ,3.00,3.00,0.67,3.01,0.22,1.12,0.00,2.89,1.00,0.09,0.0000,0.0017,  1120,19.85,80.15,0.00,0.00,0.00,49,1730.84,574.73,2595.70,6.02,150.58,1.33,33.34,
2024-02-13,21:54:41.933,0.21,2.59,0.08,1.12,0.06,24.80,1.00,0.21,0.0000,0.0023, 17880,0.56,0.54,99,47,10796.28,4161.61,2598.61,5.19,129.71,0.42,10.39,0.04,1.57,0.03,1.22,0.02,2.94,0.99,0.39,0.0000,0.0013, 24600,0.44,0.01,97,45,2310.86,1469.96,2598.61,3.14,78.60,0.09,2.22,7.18,66.16,0.01,26.66,0.00,100.00,0.00,0.00,0.00,0.00,2.32,27.43,0.11,70.14,0.00,100.00,0.00,0.00,0.00,0.00,73.31,52.23,4.49 ,4.38 ,0.03 ,0.10 ,3.00,3.00,0.67,3.01,0.22,1.12,0.01,2.97,1.00,0.09,0.0000,0.0017,  1120,19.85,80.15,0.00,0.00,0.00,49,1730.44,575.48,2598.61,6.01,150.35,1.33,33.29,
2024-02-13,21:54:42.932,0.21,2.58,0.08,1.12,0.08,24.84,1.00,0.21,0.0000,0.0023, 17560,0.56,0.54,99,47,10794.83,4178.51,2595.74,5.17,129.17,0.42,10.40,0.04,1.58,0.03,1.22,0.01,2.82,1.00,0.39,0.0000,0.0012, 24080,0.43,0.01,96,46,2312.51,1464.47,2595.74,3.16,78.95,0.09,2.23,7.22,66.12,0.04,26.63,0.00,100.00,0.00,0.00,0.00,0.00,2.32,27.53,0.14,70.02,0.00,100.00,0.00,0.00,0.00,0.00,73.23,52.20,4.50 ,4.37 ,0.03 ,0.10 ,3.00,3.00,0.67,3.01,0.22,1.12,0.00,2.97,1.00,0.09,0.0000,0.0017,  1320,19.88,80.12,0.00,0.00,0.00,49,1733.82,575.68,2595.74,6.02,150.59,1.34,33.40,
