Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1707857670,Device: id=1,RX,0.11009625720656,306.12941861927,323.74481977232,134544,46763484
1707857671,Device: id=1,RX,0.23914268591443,673.58187146911,711.84470121542,375642,131649648
1707857672,Device: id=1,RX,0.24195129376778,682.55751373521,721.26972073805,620497,217993276
1707857673,Device: id=1,RX,0.79922623330575,2261.7682775031,2389.6444748321,1419747,500722718
1707857674,Device: id=1,RX,1.6529046493554,4663.5042958926,4927.9690397895,3072654,1083661584
1707857675,Device: id=1,RX,1.7525252644408,4959.6334965288,5240.0375388393,4825201,1703623460
1707857676,Device: id=1,RX,1.7542810553674,4964.2485203891,5244.9334892479,6579538,2324174314
1707857677,Device: id=1,RX,1.7538800007259,4965.9093940473,5246.5301941635,8333444,2944922190
1707857678,Device: id=1,RX,1.7568021881463,4964.2451821444,5245.3335322478,10090314,3565476790
1707857679,Device: id=1,RX,1.7478303417886,4946.3784832014,5226.0313378875,11838150,4183776102
1707857680,Device: id=1,RX,1.7570570889466,4966.0472934877,5247.1764277191,13595230,4804540108
1707857681,Device: id=1,RX,1.7534998943231,4961.5168076977,5242.0767907894,15348763,5424741418
1707857682,Device: id=1,RX,1.7548989535028,4965.2843378192,5246.0681703797,17103713,6045420014
1707857683,Device: id=1,RX,1.7565804597339,4965.7349273998,5246.7878009572,18860349,6666156506
1707857684,Device: id=1,RX,1.7572003640776,4964.4127585019,5245.5648167543,20617615,7286731280
1707857685,Device: id=1,RX,1.7519420473683,4952.3977557415,5232.7084833204,22369592,7905793350
1707857686,Device: id=1,RX,1.8884698611338,5340.4509798225,5642.6061576039,24258069,8573352246
1707857687,Device: id=1,RX,2.2990825382889,6506.0595832223,6873.9127893485,26557164,9386614102
1707857688,Device: id=1,RX,2.3034707994319,6512.1578135571,6880.7131414662,28860667,10200645208
1707857689,Device: id=1,RX,2.3035671364694,6509.4992919322,6878.0700337673,31164272,11014345994
1707857690,Device: id=1,RX,2.299647544269,6509.4466597365,6877.3902668196,33463965,11828042910
1707857691,Device: id=1,RX,2.3040786269306,6512.2218384511,6880.87441876,35768052,12642073598
1707857692,Device: id=1,RX,2.3028831846984,6509.8369202657,6878.2982298175,38070947,13455807388
1707857693,Device: id=1,RX,2.3038469924038,6512.9992721326,6881.6147909172,40374832,14269945728
1707857694,Device: id=1,RX,2.305463796065,6513.4151208862,6882.2893282566,42680315,15084129400
