Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1707864877,Device: id=0,TX,0.26581055155355,753.12634408774,795.6560323363,265840,94152076
1707864878,Device: id=0,TX,0.1974785574166,560.42936401309,592.02593319974,465831,165097012
1707864879,Device: id=0,TX,0.2479471363013,702.04567284181,741.71721465002,715624,253506026
1707864880,Device: id=0,TX,0.39680141017202,1118.9575932825,1182.44581891,1112436,393379458
1707864881,Device: id=0,TX,1.7442593854454,4932.8222457597,5211.9037474309,2856704,1009985284
1707864882,Device: id=0,TX,1.753544211074,4957.5887553777,5238.1558291496,4610261,1629688398
1707864883,Device: id=0,TX,1.751968445733,4958.6828675435,5238.9978188607,6362252,2249531736
1707864884,Device: id=0,TX,1.7535931524288,4961.6701792579,5242.2450836465,8115859,2869745406
1707864885,Device: id=0,TX,1.7544115710985,4960.8182870992,5241.524138475,9870292,3489855266
1707864886,Device: id=0,TX,1.7476542566919,4943.531802088,5223.1564831587,11617976,4107807258
1707864887,Device: id=0,TX,1.7482627804795,4944.5099586782,5224.2320035549,13366274,4725883454
1707864888,Device: id=0,TX,1.7536998308538,4960.0078525561,5240.5998254927,15120016,5345899344
1707864889,Device: id=0,TX,1.7559477920904,4964.6080061487,5245.5596528831,16876019,5966494856
1707864890,Device: id=0,TX,1.7568465314063,4963.9622107043,5245.0576557293,18632915,6587007604
1707864891,Device: id=0,TX,1.754432126716,4961.9479065983,5242.6570468728,20387380,7207262714
1707864892,Device: id=0,TX,1.7546043516915,4964.2091885751,5244.9458848457,22142002,7827795104
1707864893,Device: id=0,TX,1.7159695125457,4856.4185079866,5130.9736299939,23858006,8434859618
1707864894,Device: id=0,TX,1.1792572607608,3330.3564039898,3519.0375657116,25037302,8851167844
1707864895,Device: id=0,TX,1.1767471350028,3331.0906838807,3519.3702254812,26214073,9267562624
1707864896,Device: id=0,TX,1.17864699666,3330.9832915921,3519.5668110577,27392729,9683938716
1707864897,Device: id=0,TX,1.1730127763816,3320.0312992111,3507.7133434322,28565759,10098948722
1707864898,Device: id=0,TX,1.176407636835,3329.4053570803,3517.6305789739,29742202,10515136902
1707864899,Device: id=0,TX,1.1790571115239,3332.9392056452,3521.588343489,30921307,10931771224
1707864900,Device: id=0,TX,1.1801445289774,3333.3870673275,3522.2101919639,32101499,11348461368
1707864901,Device: id=0,TX,1.1759173297404,3330.9680415967,3519.1148143551,33277435,11764838984
1707864902,Device: id=0,TX,1.1777609972586,3331.1023161966,3519.544075758,34455232,12181239502
1707864903,Device: id=0,TX,1.1792264286275,3332.7594700465,3521.4356986269,35634464,12597836404
1707864904,Device: id=0,TX,1.1806807083872,3334.0291246913,3522.9380380333,36815168,13014598266
1707864905,Device: id=0,TX,1.1788414438679,3334.4594370276,3523.0740680465,37994020,13431409428
1707864906,Device: id=0,TX,1.1787487125598,3333.2605621235,3521.8603561331,39172803,13848079118
1707864907,Device: id=0,TX,1.1780982871487,3334.3922956408,3522.8880215846,40350917,14264883714
1707864908,Device: id=0,TX,1.1795756848446,3332.2267842331,3520.9588938083,41530533,14681426298
1707864909,Device: id=0,TX,1.17625315161,3330.4082077829,3518.6087120405,42706790,15097728686
1707864910,Device: id=0,TX,1.1789854044623,3333.5242257568,3522.1618904707,43885830,15514438510
1707864911,Device: id=0,TX,1.1785562901294,3332.4217066259,3520.9907130466,45064391,15930992888
1707864912,Device: id=0,TX,1.1761111414178,3334.6238644372,3522.8016470641,46240524,16347828618
1707864913,Device: id=0,TX,1.2367255611297,3494.5288514547,3692.4049412355,47477292,16784659714
1707864914,Device: id=0,TX,2.0312970923059,5735.9212544695,6060.9287892384,49508597,17501652662
1707864915,Device: id=0,TX,2.0401255904541,5765.5026796438,6091.9227741165,51548779,18222360424
1707864916,Device: id=0,TX,2.036691381173,5763.5257302933,6089.3963512809,53585520,18942818692
1707864917,Device: id=0,TX,2.0363495144964,5766.593457137,6092.4093794564,55621870,19663643046
1707864918,Device: id=0,TX,2.0221517207923,5733.3054791288,6056.8497544556,57644047,20380315190
1707864919,Device: id=0,TX,2.0229001626108,5722.8025629117,6046.4665889294,59666960,21095670050
1707864920,Device: id=0,TX,2.0400312319566,5770.5466864759,6096.9516835889,61707024,21816999972
1707864921,Device: id=0,TX,2.0408012999366,5769.3839342635,6095.9121422534,63747860,22538185226
1707864922,Device: id=0,TX,2.0382462259569,5768.3901194137,6094.5095155668,65786160,23259253014
1707864923,Device: id=0,TX,2.0353341093557,5757.9021321615,6083.5555896584,67821557,23979013020
1707864924,Device: id=0,TX,2.0389149793016,5770.5085540268,6096.734950715,69860501,24700336856
1707864925,Device: id=0,TX,2.0355713011407,5756.9571131931,6082.6485213756,71896086,25419961338
1707864926,Device: id=0,TX,2.0364533049318,5761.9672020432,6087.7997308323,73932565,26140216326
1707864927,Device: id=0,TX,2.0427974409729,5772.9670716572,6099.8146622128,75975413,26861855070
1707864928,Device: id=0,TX,2.0423436051335,5767.4573524747,6094.2323292961,78017817,27582808558
