Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,5149578448,1759212,1234730,34031620,4368966,0,244454
1,273880054,76888,2680790,10014368,0,14070,79954
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,5485382,1609202,741118,53366390,3904082,0,228522
1,5100228,60704,2090928,4822272,0,12782,74550
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,5316262,1460228,710276,48593902,3518480,0,202860
1,4857090,57176,2184882,4550084,0,12054,67578
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,4826612,1437254,544740,44040388,2915808,0,184366
1,4448948,52584,1868496,3959648,0,9940,55930
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,4187064,1244180,524454,42386974,2858282,140,186410
1,3740366,43540,1857954,3839346,0,9478,55454
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,4050536,1204014,634144,36891512,2453388,140,163828
1,3631796,41398,1748544,3671304,0,8064,48566
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,3458476,1013782,542528,32835516,2221954,112,152488
1,3075254,35392,1455678,3002636,0,7238,44310
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,3185056,942998,437682,28288974,1773716,0,122402
1,2839102,33096,1127280,2415322,0,6034,35658
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,2520700,728420,353836,23515142,1471288,0,100702
1,2243906,25284,1054774,2117738,0,5012,28994
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,2028572,558390,263690,18043382,1188040,0,77826
1,1807764,19516,775446,1576806,0,3976,22456
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,1576918,439838,187516,11048408,886928,0,52206
1,1386798,15148,583058,1510936,0,2618,15190
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,1015070,279552,196196,7050358,452144,0,24976
1,893858,9996,452494,768054,0,1330,7182
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,463092,102424,39406496739428910,4136846,213486,0,12866
1,401730,3206,24836,415002,0,630,3332
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,201488,58128,17738,35465847065441044,10514938,140,550858
1,159306,2086,40320,39406496739485666,0,35518,212562
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,14983290,3617362,1757784,1287230,5515930,0,561596
1,13884136,161224,4613882,102620,0,35686,212534
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,15007902,3754114,117460,1299788,5500068,0,560812
1,13880454,159026,2394,47838,0,35938,212436
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,33306,1156666,112644,1299424,5531820,42,558670
1,7821660,0,2660,291088,0,36022,212184
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,3304,3654448,1749062,125594910,10626560,0,549136
1,7877226,158998,4652228,12203156,0,35924,209230
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,14832104,1112160,123396,1232280,5653074,0,550354
1,13738046,0,2394,46690,0,35728,208712
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,4060,1094240,117418,1224216,5558630,140,547946
1,7803740,0,112,16814,0,35560,208628
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,4424,1081052,95536,1213660,5642784,112,462714
1,7696878,0,84,13356,0,35252,207060
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,39406496739452948,39406496739484000,4270,39406496739216390,39406496739468586,0,3940649673947616
1,39406496739484896,19703248369745780,11821949021858318,31525197391581558,0,56,11821949021847468
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,39406496739465142,39406496739484056,700,39406496739249542,39406496739467256,0,3940649673947728
1,39406496739477168,19703248369745850,7070,39406496739481466,0,3940649673949156,11821949021847412
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,39406496739438556,39406496739484504,462,39406496739316084,39406496739484840,0,3940649673948120
1,39406496739470924,27584547717644204,10248,23643898043694054,0,0,7881299347898326
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,6755490,2251270,53648,1112160,2663514,140,484862
1,5737690,67284,2772,45430,0,15078,89068
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,322,593544,66976,1100568,2535764,0,487158
1,3419010,0,3780,52724,0,14938,89278
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,224,596120,129108,1167880,2619316,0,486948
1,3411814,0,2786,48846,0,15134,89152
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,406,601202,56952,87477040,4338558,0,481334
1,3476298,0,2464,7906808,0,15008,89082
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,1414,618128,58744,1202880,2606212,0,485674
1,3450524,0,2198,40936,0,15134,88438
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,15316,603232,51478,595378,2419872,0,456498
1,3352762,23643898043694978,39406496739433180,10920,0,19703248369759920,85022
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,39406496739461852,592144,58128,727944,2412578,0,405944
1,3226566,19703248369745780,39406496739454488,3940649673963422,0,14672,84098
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,39406496739457134,633850,3940649673987866,606886,2320892,0,431018
1,3648414,19703248369745808,39406496739476160,7881299347943476,0,13846,79688
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,39406496739463112,572964,43344,1034404,2280250,140,420756
1,3259354,19703248369745766,39406496739488158,84028,0,13720,77938
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,39406496739449434,712740,39406496739416688,629468,2781170,140,450464
1,4078102,15762598695796554,39406496739443638,39406496739389976,0,16730,98616
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,39406496739454838,670362,12362,945294,2659986,112,438466
1,3859226,23643898043694838,39406496739440796,13650,0,16212,95620
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,39406496739446130,655858,12964,433062,2610944,140,436100
1,3736852,23643898043694880,39406496739470644,103404,0,16268,96236
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,39406496739444002,624736,39406496739411116,956116,2597784,112,421288
1,3684170,15762598695796610,39406496739441524,39406496739480038,0,15764,92204
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,39406496739450246,602714,8456,443870,2463062,140,407470
1,3521602,15762598695796582,39406496739460662,39406496739476146,0,15274,89978
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,39406496739384236,578564,3940649673953608,761166,2407958,140,402514
1,3414894,27584547717644092,39406496739471988,67942,0,14714,88144
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,39406496739445892,551404,19768,351246,2320038,140,388248
1,3303552,27584547717644036,39406496739472730,15762598695798192,0,14056,84210
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,39406496739445500,531790,19703248369713986,472934,2265648,0,380842
1,3171406,27584547717644050,39406496739482796,35465847065458474,0,13622,82866
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,39406496739447740,586222,320446,586096,1978620,0,324632
1,3076024,19703248369745654,39406496739472464,356244,0,11886,70000
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,39406496739443708,463078,17780,309848,1915214,0,140266
1,2856252,15762598695796540,39406496739474760,48650,0,11424,20342
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,39406496739480136,141988,11018,242004,615398,0,138754
1,810824,11821949021847496,7881299347898858,3940649673976414,0,3346,19880
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,39406496739479254,150906,11018,350476,616826,0,137942
1,803600,11821949021847482,39406496739456168,49238,0,3304,19726
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,39406496739479884,150584,13524,206962,587384,0,137438
1,798770,11821949021847482,31525197391582524,30842,0,3276,19460
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,39406496739479954,147322,39406496739431990,304934,593278,0,133336
1,774186,7881299347898340,39406496739475698,21840,0,3178,19012
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,39406496739480416,147966,39406496739473374,227990,570416,0,131810
1,746830,7881299347898312,39406496739475796,14140,0,3150,18830
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,39406496739480486,144592,25536,158032,562086,14,126980
1,735322,7881299347898298,27584547717638730,13720,0,3094,18032
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,39406496739482670,144452,2464,63966,537236,0,122234
1,725536,15762598695796652,39406496739452066,7881299347879202,0,2940,17486
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
