Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1709029531,Device: id=1,RX,0.14228892744329,390.0757660712,412.84199446213,167586,57428254
1709029532,Device: id=1,RX,0.17834843867677,504.15206437998,532.68781456826,349949,121865798
1709029533,Device: id=1,RX,0.1991744530557,561.45659613986,593.32450862877,552470,193227078
1709029534,Device: id=1,RX,0.24773445475425,702.06027468781,741.69778744849,804959,282668864
1709029535,Device: id=1,RX,1.2827664051986,3637.2218359609,3842.4644607927,2087767,737336336
1709029536,Device: id=1,RX,1.7497729919124,4949.8432908076,5229.8069695136,3837571,1356077712
1709029537,Device: id=1,RX,1.7519694876454,4949.2085710528,5229.5236890761,5589598,1974749092
1709029538,Device: id=1,RX,1.7527242238077,4956.9849203123,5237.4207961215,7342376,2594391218
1709029539,Device: id=1,RX,1.6937916628626,4766.4626544842,5037.4693205422,9036178,3190202686
1709029540,Device: id=1,RX,1.7458090053167,4935.0989805847,5214.4284214353,10782019,3807101364
1709029541,Device: id=1,RX,1.7538340640987,4964.3089290266,5244.9223792823,12535894,4427654464
1709029542,Device: id=1,RX,1.7542598906559,4961.890823481,5242.5724059859,14290194,5047904998
1709029543,Device: id=1,RX,1.754521852438,4959.1754101822,5239.8989065723,16044737,5667809396
1709029544,Device: id=1,RX,1.7581056308828,4963.0708832504,5244.3677841916,17802879,6288206090
1709029545,Device: id=1,RX,1.7537389914115,4962.3990078753,5242.9972465012,19556675,6908526130
1709029546,Device: id=1,RX,1.5526437145974,4387.8367954948,4636.2597898304,21109365,7457022080
1709029547,Device: id=1,RX,0.73182557149409,2067.7013046092,2184.7933960483,21841240,7715502200
1709029548,Device: id=1,RX,0.73069867335488,2067.7077584275,2184.6195461642,22571994,7973985240
1709029549,Device: id=1,RX,0.73132947539725,2067.704943106,2184.7176591695,23303357,8232460206
1709029550,Device: id=1,RX,0.72634326420395,2056.426477606,2172.6413998787,24029702,8489514130
1709029551,Device: id=1,RX,0.7302953741639,2067.692730962,2184.5399908283,24760008,8747979482
1709029552,Device: id=1,RX,0.72903497007192,2067.698102792,2184.3436980035,25489101,9006462318
1709029553,Device: id=1,RX,0.73076082867269,2067.6250817881,2184.5468143757,26219880,9264921880
1709029554,Device: id=1,RX,0.73144189002077,2066.8162284097,2183.846930813,26951344,9523281718
1709029555,Device: id=1,RX,0.73021728402028,2067.6801680382,2184.5149334814,27681610,9781758982
1709029556,Device: id=1,RX,0.73176531320309,2067.6454497636,2184.7278998761,28413413,10040227974
1709029557,Device: id=1,RX,0.73182563910759,2067.6839674489,2184.7760697061,29145289,10298706256
1709029558,Device: id=1,RX,0.73159322864448,2067.7108421044,2184.7657586875,29876908,10557179216
1709029559,Device: id=1,RX,0.72956792951883,2067.6977454184,2184.4286141414,30606539,10815663778
1709029560,Device: id=1,RX,0.7317687394137,2067.1682930498,2184.251291356,31338347,11074073678
1709029561,Device: id=1,RX,0.7306626814645,2066.806822642,2183.7128516763,32069052,11332439494
1709029562,Device: id=1,RX,0.73040264923372,2067.7166915758,2184.5811154532,32799504,11590921544
1709029563,Device: id=1,RX,0.72988135008932,2067.7035521226,2184.4845681369,33529419,11849396404
1709029564,Device: id=1,RX,0.73055833455465,2067.7118495717,2184.6011831004,34260019,12107875126
1709029565,Device: id=1,RX,0.72843644474111,2067.7023728223,2184.2522039809,34988498,12366353022
1709029566,Device: id=1,RX,0.89620001761541,2536.0181161015,2679.4101189199,35884699,12683355634
1709029567,Device: id=1,RX,1.5623083859499,4423.2731124258,4673.2424541778,37447033,13236273838
1709029568,Device: id=1,RX,1.5658593567086,4421.7766479683,4672.3141450417,39012897,13788997558
1709029569,Device: id=1,RX,1.5623210649655,4416.2932808672,4666.2646512616,40575235,14341040202
1709029570,Device: id=1,RX,1.557511200694,4405.7984558919,4655.0002480029,42132805,14891785800
1709029571,Device: id=1,RX,1.5631637812356,4422.5652945089,4672.6714995066,43696013,15444622100
1709029572,Device: id=1,RX,1.5655222181738,4422.1465738539,4672.6301287617,45261606,15997415414
1709029573,Device: id=1,RX,1.5610863063599,4421.3667700232,4671.1405790408,46822699,16550088630
1709029574,Device: id=1,RX,1.5625026993397,4422.9534483097,4672.9538802041,48385235,17102969594
1709029575,Device: id=1,RX,1.562130722541,4425.5201939285,4675.461109535,49947378,17656163966
1709029576,Device: id=1,RX,1.5622883068717,4424.641665403,4674.6077945025,51509690,18209252562
1709029577,Device: id=1,RX,1.5680599445811,4423.3527500747,4674.2423412077,53077787,18762184722
1709029578,Device: id=1,RX,1.5606175744089,4420.5246550778,4670.2234669833,54638455,19314768158
1709029579,Device: id=1,RX,1.5656098228267,4423.1685758345,4673.6661474868,56204068,19867665352
1709029580,Device: id=1,RX,1.5567382538308,4410.4130237763,4659.4911443892,57760863,20418987076
1709029581,Device: id=1,RX,1.5651801423953,4421.7420576508,4672.1708804341,59326081,20971718202
1709029582,Device: id=1,RX,1.564155380451,4425.5922558006,4675.8571166728,60890277,21524931600
1709029583,Device: id=1,RX,1.5643809553765,4422.4008714474,4672.7018243076,62454697,22077745506
1709029584,Device: id=1,RX,1.5670320527523,4425.9787963131,4676.7039247535,64021749,22630999898
1709029585,Device: id=1,RX,1.5649539611494,4425.4937326411,4675.886366425,65586723,23184193698
1709029586,Device: id=1,RX,1.5755755700127,4447.3155436481,4699.4076348501,67162303,23740109704
1709029587,Device: id=1,RX,1.6061897068596,4540.2023497054,4797.192702803,68768507,24307640048
1709029588,Device: id=1,RX,1.604307474507,4542.8943704841,4799.5835664052,70372823,24875504862
1709029589,Device: id=1,RX,1.6040379671181,4542.1447914775,4798.7908662164,71976876,25443278282
1709029590,Device: id=1,RX,1.6019630398599,4537.6091775623,4793.9232639399,73578883,26010494994
1709029591,Device: id=1,RX,1.5871534266166,4479.154028054,4733.0985763127,75166066,26570399680
1709029592,Device: id=1,RX,1.6068001252243,4542.2887689529,4799.3767889888,76772913,27138202340
1709029593,Device: id=1,RX,1.6053252408927,4539.4861088269,4796.3381473697,78378288,27705655692
1709029594,Device: id=1,RX,1.6014421776437,4535.706496542,4791.937244965,79979755,28272627792
1709029595,Device: id=1,RX,1.6061355519998,4544.0096373972,4800.9913257172,81585911,28840636228
1709029596,Device: id=1,RX,1.6057284643396,4542.739126161,4799.6556804554,83191657,29408484820
1709029597,Device: id=1,RX,1.6062418737387,4542.0001321912,4798.9988319894,84797946,29976251494
1709029598,Device: id=1,RX,1.6056536464818,4542.5637500081,4799.4683334452,86403627,30544081636
