System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-02-12,21:04:07.100,1.19,3.26,0.36,1.12,0.24,12.32,0.98,0.82,0.0000,0.0002, 10640,0.03,0.02,98,47,61674.95,18939.02,2599.11,6.51,162.83,2.37,59.31,0.13,1.24,0.11,1.23,0.12,8.34,0.99,0.89,0.0000,0.0012, 16000,0.02,0.01,94,46,6802.08,5481.53,2599.11,2.48,62.05,0.26,6.54,32.66,47.45,0.00,19.89,0.00,100.00,0.00,0.00,0.00,0.00,8.59,18.48,0.07,72.86,0.00,100.00,0.00,0.00,0.00,0.00,79.13,51.41,3.78 ,4.21 ,738223.84 ,745546.48 ,3.00,3.00,3.41,3.82,0.89,1.12,0.01,1.52,0.99,0.13,0.0000,0.0002,  1400,80.14,19.86,0.00,0.00,0.00,50,8867.35,2323.52,2599.11,7.63,190.82,6.82,170.58,
2024-02-12,21:04:08.101,0.22,2.28,0.10,1.12,0.16,20.01,0.99,0.43,0.0000,0.0018, 13840,0.64,0.54,99,47,11322.19,4956.25,2598.98,4.57,114.22,0.44,10.89,0.04,1.44,0.03,1.21,0.05,3.17,0.98,0.52,0.0000,0.0014, 22080,0.39,0.01,97,45,2221.50,1544.50,2598.98,2.88,71.92,0.09,2.14,8.55,73.15,0.05,18.25,0.00,100.00,0.00,0.00,0.00,0.00,2.46,28.51,0.22,68.81,0.00,100.00,0.00,0.00,0.00,0.00,76.20,52.51,4.51 ,4.39 ,0.00 ,0.00 ,3.00,3.00,0.60,2.62,0.23,1.12,0.01,2.53,1.00,0.19,0.0000,0.0016,  1840,20.46,79.54,0.00,0.00,0.00,51,1555.07,593.09,2598.98,5.24,131.10,1.20,29.92,
2024-02-12,21:04:09.101,0.21,2.25,0.09,1.12,0.15,21.13,0.99,0.41,0.0000,0.0020, 14000,0.74,0.63,99,46,10716.37,4769.73,2598.39,4.49,112.34,0.41,10.31,0.04,1.53,0.03,1.22,0.03,3.01,0.99,0.39,0.0000,0.0013, 22400,0.44,0.01,96,45,2232.90,1460.41,2598.39,3.06,76.45,0.09,2.15,8.23,74.75,0.04,16.97,0.00,100.00,0.00,0.00,0.00,0.00,2.31,27.85,0.17,69.66,0.00,100.00,0.00,0.00,0.00,0.00,76.89,52.42,4.55 ,4.38 ,0.33 ,0.00 ,3.00,3.00,0.62,2.82,0.22,1.12,0.01,2.71,1.00,0.13,0.0000,0.0017,  1880,19.64,80.36,0.00,0.00,0.00,50,1603.88,569.31,2598.39,5.63,140.86,1.23,30.86,
2024-02-12,21:04:10.101,0.21,2.23,0.09,1.12,0.18,21.31,0.99,0.41,0.0000,0.0020, 14120,0.74,0.64,98,47,10803.72,4845.39,2595.32,4.46,111.48,0.42,10.41,0.04,1.44,0.03,1.20,0.10,3.87,0.98,0.43,0.0000,0.0017, 23880,0.49,0.04,93,44,2302.83,1594.67,2595.32,2.89,72.20,0.09,2.22,8.37,75.36,0.15,16.13,0.00,100.00,0.00,0.00,0.00,0.00,2.57,31.08,0.30,66.05,0.00,100.00,0.00,0.00,0.00,0.00,77.12,53.27,4.54 ,4.41 ,0.33 ,0.00 ,3.00,3.00,0.62,2.85,0.22,1.12,0.01,2.71,1.00,0.13,0.0000,0.0017,  1840,19.61,80.39,0.00,0.00,0.00,49,1617.32,567.66,2595.32,5.70,142.45,1.25,31.16,
2024-02-12,21:04:11.101,0.22,2.44,0.09,1.12,0.12,19.34,0.99,0.42,0.0000,0.0017, 15680,0.65,0.52,99,47,11689.55,4791.14,2597.84,4.88,121.99,0.45,11.25,0.04,1.54,0.03,1.21,0.04,2.64,0.98,0.38,0.0000,0.0012, 22720,0.35,0.01,95,44,2280.31,1483.91,2597.84,3.07,76.83,0.09,2.19,8.27,74.41,0.03,17.30,0.00,100.00,0.00,0.00,0.00,0.00,2.35,27.76,0.19,69.69,0.00,100.00,0.00,0.00,0.00,0.00,77.93,52.49,4.47 ,4.35 ,1633006.95 ,0.00 ,3.00,3.00,0.67,3.05,0.22,1.12,0.00,2.43,1.00,0.12,0.0000,0.0014,  2760,19.83,80.17,0.00,0.00,0.00,49,1753.43,574.68,2597.84,6.10,152.56,1.35,33.75,
2024-02-12,21:04:12.101,0.23,2.54,0.09,1.12,0.15,17.22,0.99,0.43,0.0000,0.0014, 15840,0.62,0.46,99,46,12065.52,4758.58,2597.73,5.07,126.78,0.46,11.61,0.04,1.58,0.03,1.22,0.02,2.29,0.99,0.38,0.0000,0.0010, 22880,0.27,0.01,95,45,2306.96,1457.07,2597.73,3.17,79.16,0.09,2.22,8.21,74.44,0.03,17.32,0.00,100.00,0.00,0.00,0.00,0.00,2.31,27.81,0.18,69.70,0.00,100.00,0.00,0.00,0.00,0.00,78.28,52.53,4.43 ,4.33 ,0.17 ,0.13 ,3.00,3.00,0.71,3.20,0.22,1.12,0.00,2.15,1.00,0.12,0.0000,0.0012,  2880,19.80,80.20,0.00,0.00,0.00,49,1835.93,573.58,2597.73,6.40,160.04,1.41,35.34,
2024-02-12,21:04:13.101,0.23,2.54,0.09,1.12,0.13,17.25,0.99,0.43,0.0000,0.0014, 16640,0.62,0.46,99,46,12064.54,4747.11,2597.49,5.08,127.07,0.46,11.61,0.04,1.57,0.03,1.21,0.03,2.39,0.99,0.39,0.0000,0.0010, 23160,0.27,0.01,94,45,2307.92,1473.41,2597.49,3.13,78.32,0.09,2.22,8.19,74.94,0.05,16.82,0.00,100.00,0.00,0.00,0.00,0.00,2.34,28.34,0.19,69.13,0.00,100.00,0.00,0.00,0.00,0.00,78.40,52.65,4.43 ,4.33 ,0.03 ,0.10 ,3.00,3.00,0.70,3.17,0.22,1.12,0.00,2.15,1.00,0.12,0.0000,0.0012,  3160,19.75,80.25,0.00,0.00,0.00,48,1815.46,572.30,2597.49,6.34,158.61,1.40,34.95,
2024-02-12,21:04:14.102,0.23,2.56,0.09,1.12,0.11,17.15,0.99,0.43,0.0000,0.0014, 16880,0.62,0.46,99,47,12084.07,4718.92,2597.85,5.12,128.04,0.47,11.63,0.04,1.59,0.03,1.22,0.02,2.37,0.99,0.38,0.0000,0.0010, 23320,0.27,0.01,95,44,2303.31,1450.18,2597.85,3.18,79.41,0.09,2.22,8.14,74.50,0.02,17.34,0.00,100.00,0.00,0.00,0.00,0.00,2.29,27.81,0.17,69.72,0.00,100.00,0.00,0.00,0.00,0.00,78.33,52.59,4.43 ,4.34 ,0.00 ,0.00 ,3.00,3.00,0.71,3.20,0.22,1.12,0.00,2.14,1.00,0.12,0.0000,0.0012,  3440,19.80,80.20,0.00,0.00,0.00,49,1838.77,573.82,2597.85,6.41,160.22,1.42,35.39,
2024-02-12,21:04:15.102,0.23,2.53,0.09,1.12,0.13,17.10,0.99,0.43,0.0000,0.0014, 17880,0.62,0.46,99,46,12082.39,4775.71,2597.86,5.06,126.50,0.47,11.63,0.04,1.61,0.03,1.22,0.02,2.41,0.99,0.38,0.0000,0.0010, 23880,0.27,0.01,94,43,2310.61,1432.22,2597.86,3.23,80.67,0.09,2.22,8.24,74.64,0.01,17.10,0.00,100.00,0.00,0.00,0.00,0.00,2.26,27.81,0.15,69.78,0.00,100.00,0.00,0.00,0.00,0.00,78.53,52.61,4.43 ,4.33 ,0.33 ,0.33 ,3.00,3.00,0.70,3.18,0.22,1.12,0.00,2.13,1.00,0.12,0.0000,0.0012,  3240,19.82,80.18,0.00,0.00,0.00,47,1828.32,574.39,2597.86,6.37,159.15,1.41,35.19,
