SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),SKT1-Ch0Read,SKT1-Ch0Write,SKT1-Ch1Read,SKT1-Ch1Write,SKT1-Mem Read (MB/s),SKT1-Mem Write (MB/s),SKT1-P. Write (T/s),SKT1-Memory (MB/s),System-Read,System-Write,System-Memory
  143.88,  195.93,  510.55,  376.58,  654.43,  572.50,1866675918, 1226.94,  202.57,    7.24,  205.75,   10.13,  408.32,   17.38,1867017932,  425.70,   1062.76,    589.88,   1652.64
  161.17,  219.00,  574.69,  423.48,  735.86,  642.48,2133877097, 1378.34,  217.84,    4.11,  221.53,    7.45,  439.37,   11.57,2134282805,  450.94,   1175.23,    654.04,   1829.28
  159.37,  216.04,  570.26,  419.81,  729.63,  635.85,2133506462, 1365.48,  213.64,    2.35,  216.00,    5.68,  429.64,    8.03,2133195662,  437.67,   1159.27,    643.88,   1803.15
  164.59,  236.87,  583.90,  443.64,  748.49,  680.51,2133481882, 1429.00,  235.27,   13.59,  238.85,   16.93,  474.12,   30.52,2133377974,  504.64,   1222.61,    711.03,   1933.64
  140.28,  208.02,  504.87,  392.58,  645.15,  600.61,2133303213, 1245.75,  233.46,    5.53,  237.07,    8.86,  470.53,   14.39,2133288233,  484.91,   1115.67,    615.00,   1730.67
  137.66,  202.34,  497.41,  384.63,  635.07,  586.96,2132876551, 1222.03,  221.89,    4.09,  225.69,    7.41,  447.58,   11.50,2132671738,  459.07,   1082.65,    598.46,   1681.11
  136.53,  200.58,  494.03,  382.17,  630.57,  582.76,2134695970, 1213.32,  216.58,    2.93,  220.01,    6.24,  436.59,    9.17,2137128115,  445.76,   1067.16,    591.93,   1659.08
  136.23,  199.86,  493.41,  381.19,  629.64,  581.05,2133030961, 1210.69,  213.28,    2.40,  216.73,    5.71,  430.01,    8.11,2132954405,  438.13,   1059.65,    589.16,   1648.81
  136.18,  198.89,  493.73,  380.51,  629.91,  579.40,2135744235, 1209.31,  214.26,    2.78,  217.75,    6.08,  432.00,    8.86,2133252452,  440.86,   1061.91,    588.26,   1650.17
  135.78,  198.28,  491.18,  378.57,  626.96,  576.85,2131005117, 1203.82,  211.46,    2.72,  215.91,    6.04,  427.37,    8.75,2131229774,  436.13,   1054.33,    585.61,   1639.94
  135.53,  198.09,  491.05,  378.35,  626.58,  576.44,2133077496, 1203.02,  210.31,    2.65,  215.96,    5.96,  426.27,    8.62,2133002942,  434.88,   1052.85,    585.05,   1637.90
  132.97,  180.43,  485.79,  359.24,  618.76,  539.67,2133241540, 1158.43,  189.36,    2.79,  193.56,    6.09,  382.92,    8.88,2133218002,  391.80,   1001.68,    548.55,   1550.23
  130.53,  164.55,  480.25,  341.59,  610.79,  506.14,2133240403, 1116.93,  168.57,    2.40,  172.41,    5.73,  340.97,    8.13,2133216789,  349.10,    951.76,    514.27,   1466.03
  130.52,  165.13,  480.15,  342.31,  610.67,  507.43,2133096625, 1118.11,  168.86,    2.44,  173.15,    5.78,  342.02,    8.22,2133105958,  350.24,    952.69,    515.65,   1468.35
  147.73,  193.11,  529.53,  383.88,  677.27,  576.99,2132882137, 1254.26,  205.61,   15.19,  207.42,   18.20,  413.03,   33.39,2132935182,  446.42,   1090.29,    610.38,   1700.67
  128.25,  166.35,  471.02,  340.74,  599.27,  507.09,2132776257, 1106.37,  184.00,    4.79,  187.80,    8.12,  371.80,   12.91,2132693668,  384.71,    971.07,    520.01,   1491.08
  128.24,  165.82,  470.90,  339.65,  599.14,  505.47,2134738834, 1104.61,  178.43,    3.45,  181.62,    6.77,  360.05,   10.23,2134867146,  370.28,    959.19,    515.70,   1474.88
  127.92,  164.26,  469.80,  337.58,  597.72,  501.85,2132944989, 1099.56,  172.68,    2.41,  176.05,    5.73,  348.73,    8.14,2132825087,  356.87,    946.45,    509.98,   1456.43
  127.46,  164.18,  468.72,  337.37,  596.18,  501.55,2132596204, 1097.73,  170.42,    2.14,  174.95,    5.43,  345.37,    7.56,2132654664,  352.93,    941.54,    509.11,   1450.66
  127.57,  163.75,  468.32,  336.60,  595.89,  500.35,2133055537, 1096.23,  168.02,    2.15,  172.84,    5.47,  340.87,    7.62,2132992529,  348.49,    936.75,    507.97,   1444.72
  129.14,  165.17,  473.56,  339.80,  602.70,  504.98,2135253944, 1107.67,  173.72,    3.87,  177.78,    7.20,  351.50,   11.07,2135454394,  362.57,    954.20,    516.04,   1470.24
  127.24,  163.66,  469.22,  337.35,  596.46,  501.01,2132862871, 1097.47,  173.72,    2.76,  176.29,    6.08,  350.01,    8.84,2132654441,  358.85,    946.47,    509.85,   1456.32
  126.99,  163.73,  467.54,  336.71,  594.53,  500.43,2132914933, 1094.97,  174.66,    2.83,  177.82,    6.17,  352.48,    9.00,2132927923,  361.49,    947.02,    509.43,   1456.45
  127.02,  162.88,  467.10,  335.87,  594.12,  498.75,2132818457, 1092.86,  173.12,    2.91,  177.31,    6.22,  350.44,    9.13,2132856880,  359.57,    944.56,    507.88,   1452.43
  136.28,  176.00,  493.56,  356.62,  629.84,  532.62,2134799821, 1162.46,  209.08,   21.96,  210.88,   25.12,  419.97,   47.07,2134815740,  467.04,   1049.81,    579.69,   1629.50
  128.61,  165.96,  472.26,  340.27,  600.87,  506.23,2132695796, 1107.09,  186.77,    4.95,  190.49,    8.27,  377.26,   13.22,2132660306,  390.48,    978.12,    519.45,   1497.57
  127.29,  164.70,  468.73,  338.25,  596.01,  502.95,2132454319, 1098.96,  175.56,    2.45,  178.71,    5.76,  354.28,    8.22,2132410200,  362.49,    950.29,    511.17,   1461.46
  127.22,  163.92,  468.59,  337.43,  595.82,  501.35,2134787255, 1097.17,  174.13,    3.56,  178.21,    6.91,  352.34,   10.46,2134965284,  362.80,    948.16,    511.82,   1459.97
  127.75,  164.05,  470.25,  338.05,  598.00,  502.10,2132806690, 1100.10,  173.12,    2.87,  177.36,    6.18,  350.47,    9.05,2132707319,  359.52,    948.48,    511.15,   1459.63
  127.63,  164.07,  469.26,  337.59,  596.89,  501.66,2132650263, 1098.55,  170.38,    2.50,  174.62,    5.82,  345.00,    8.31,2132617355,  353.31,    941.89,    509.98,   1451.86
  127.87,  165.29,  470.89,  339.41,  598.76,  504.70,2132552012, 1103.46,  171.19,    2.40,  175.21,    5.72,  346.41,    8.12,2132571759,  354.53,    945.17,    512.82,   1457.99
  132.01,  204.74,  478.04,  381.51,  610.04,  586.25,2134841927, 1196.29,  224.71,    3.52,  226.99,    6.84,  451.70,   10.36,2134888043,  462.06,   1061.74,    596.61,   1658.35
  133.51,  235.72,  478.64,  412.85,  612.15,  648.57,2132623007, 1260.73,  261.70,    2.40,  265.22,    5.73,  526.92,    8.13,2132522151,  535.05,   1139.07,    656.71,   1795.78
  132.80,  231.48,  475.50,  407.73,  608.31,  639.21,2132669366, 1247.52,  262.02,    3.52,  266.43,    6.83,  528.45,   10.34,2132715613,  538.80,   1136.76,    649.56,   1786.32
  132.77,  232.12,  475.88,  408.70,  608.65,  640.82,2135073118, 1249.47,  268.49,    5.30,  270.71,    8.60,  539.19,   13.90,2135273714,  553.10,   1147.84,    654.72,   1802.57
  133.42,  245.81,  471.22,  419.89,  604.64,  665.70,2132880068, 1270.34,  302.88,   16.80,  306.09,   20.12,  608.97,   36.92,2132659545,  645.89,   1213.61,    702.62,   1916.24
  121.68,  225.74,  434.27,  388.35,  555.95,  614.09,2132613191, 1170.04,  272.62,    3.51,  276.77,    6.83,  549.39,   10.35,2132670242,  559.74,   1105.34,    624.44,   1729.78
