skt-0_PCIRdCur-total,skt-0_RFO-total,skt-0_CRd-total,skt-0_DRd-total,skt-0_ItoM-total,skt-0_PRd-total,skt-0_WiL-total,skt-0_PCIRdCur-miss,skt-0_RFO-miss,skt-0_CRd-miss,skt-0_DRd-miss,skt-0_ItoM-miss,skt-0_PRd-miss,skt-0_WiL-miss,skt-0_PCIRdCur-hit,skt-0_RFO-hit,skt-0_CRd-hit,skt-0_DRd-hit,skt-0_ItoM-hit,skt-0_PRd-hit,skt-0_WiL-hit,skt-1_PCIRdCur-total,skt-1_RFO-total,skt-1_CRd-total,skt-1_DRd-total,skt-1_ItoM-total,skt-1_PRd-total,skt-1_WiL-total,skt-1_PCIRdCur-miss,skt-1_RFO-miss,skt-1_CRd-miss,skt-1_DRd-miss,skt-1_ItoM-miss,skt-1_PRd-miss,skt-1_WiL-miss,skt-1_PCIRdCur-hit,skt-1_RFO-hit,skt-1_CRd-hit,skt-1_DRd-hit,skt-1_ItoM-hit,skt-1_PRd-hit,skt-1_WiL-hit
7043919470,2695266,2323720,96804064,8304226,0,413000,3873400524,1496054,306138,1404214,4783100,140,414022,3170518946,1199212,2017582,95399850,3521126,0,0,109177250,124838,5495476,10892658,0,28042,164556,126648648,0,126350,125062,0,28322,163562,0,124838,5369126,10767596,0,0,994
11367566,2877812,2422322,80413494,8349376,0,503776,10080,1377376,347690,2198140,5555088,140,504224,11357486,1500436,2074632,78215354,2794288,0,0,10611244,125174,5507992,19877410,0,28434,163702,6583038,0,15260,1583008,0,27636,163100,4028206,125174,5492732,18294402,0,798,602
11673550,3310314,3482094,109519984,8148686,0,505778,5698,1294524,262556,1222564,4482758,140,511406,11667852,2015790,3219538,108297420,3665928,0,0,10602004,124418,5470472,10646594,0,28308,163688,6753152,0,97062,60242,0,27832,163534,3848852,124418,5373410,10586352,0,476,154
11692954,3316810,4295578,112039312,8167698,0,511000,13370,1219414,64120,1213618,4486370,112,516558,11679584,2097396,4231458,110825694,3681328,0,0,10627918,125552,6650812,10552668,0,28448,162526,6514690,0,2534,35238,0,27706,164402,4113228,125552,6648278,10517430,0,742,0
11707934,3336144,3030216,110893328,8175006,0,519988,2618,1165388,20930,1239854,4435382,140,526470,11705316,2170756,3009286,109653474,3739624,0,0,10644494,124096,7863898,11225410,0,28294,165340,6367452,0,42,22344,0,27706,163940,4277042,124096,7863856,11203066,0,588,1400
11736606,3366034,3639874,112206738,8180746,140,522634,2478,1116612,58968,1286404,4431770,140,522340,11734128,2249422,3580906,110920334,3748976,0,294,10636024,125244,7595896,10802414,0,27650,164388,6370490,0,2310,331786,0,27776,164304,4265534,125244,7593586,10470628,0,0,84
11771424,3391136,3871840,112598514,8185226,112,524342,2730,1072988,39410,1319024,4442872,112,520072,11768694,2318148,3832430,111279490,3742354,0,4270,10653426,125944,6758290,10453268,0,27916,164318,6385722,0,4886,62146,0,27790,164878,4267704,125944,6753404,10391122,0,126,0
11753028,3439870,2822540,113180816,8114330,140,515886,2786,1064700,72142,1463182,4428634,0,521948,11750242,2375170,2750398,111717634,3685696,140,0,10632342,125790,6702570,10470656,0,27832,163702,6339116,0,2618,51086,0,27930,165200,4293226,125790,6699952,10419570,0,0,0
11754344,3470138,2199386,113748852,8115030,112,524972,2198,1025010,103474,1337140,4423552,0,518714,11752146,2445128,2095912,112411712,3691478,112,6258,10631796,127092,6884514,10476130,0,27804,162204,6369608,0,2086,76958,0,28000,163604,4262188,127092,6882428,10399172,0,0,0
11760868,3441690,3553102,111307476,8108520,322,522662,1792,1009008,64092,1383872,4463648,0,532420,11759076,2432682,3489010,109923604,3644872,322,0,10639006,126448,5906390,10255504,0,27678,162582,6481944,0,2380,41608,0,28000,164486,4157062,126448,5904010,10213896,0,0,0
