Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1686401083,Device: id=0,TX,1.1179723173613,1144.7964850465,1323.6720558243,1118030,143109248
1686401084,Device: id=0,TX,4.7174910527186,4830.7487257996,5585.5472942345,5835544,746955776
1686401085,Device: id=0,TX,4.839722456645,4955.8348360661,5730.1904291293,10675321,1366442112
1686401086,Device: id=0,TX,4.8449727248239,4961.2520702197,5736.4477061915,15520315,1986601344
1686401087,Device: id=0,TX,4.8359629123223,4952.0270462178,5725.7811121894,20356279,2605604864
1686401088,Device: id=0,TX,4.8448064562946,4961.0807872458,5736.249820253,25201086,3225740032
1686401089,Device: id=0,TX,4.8450294339916,4961.3121883835,5736.5168978222,30046172,3845911296
1686401090,Device: id=0,TX,4.8439889471233,4960.2436578604,5735.2818894001,34890190,4465945472
1686401091,Device: id=0,TX,4.4924612221734,4600.3161310128,5319.1099265605,39382713,5040992896
1686401092,Device: id=0,TX,3.4255381322832,3507.7356876009,4055.8217887662,42808283,5479463936
1686401093,Device: id=0,TX,3.4277578889075,3510.055821768,4058.4970839932,46236092,5918227456
1686401094,Device: id=0,TX,3.4256969800563,3507.8543164795,4055.9658332885,49661841,6356715904
1686401095,Device: id=0,TX,3.4252990593618,3507.5052127909,4055.5530622888,53087155,6795155968
1686401096,Device: id=0,TX,3.4281599575314,3510.4357965121,4058.9413897171,56515323,7233961472
1686401097,Device: id=0,TX,3.4264482205679,3508.6829778615,4056.9146931524,59941812,7672552064
1686401098,Device: id=0,TX,3.430102125703,3512.4245767199,4061.2409168324,63371924,8111606400
1686401099,Device: id=0,TX,3.4283732404705,3510.6552222383,4059.1949407136,66800309,8550439808
1686401100,Device: id=0,TX,3.4290011672958,3511.2971953109,4059.9373820783,70229335,8989355136
1686401101,Device: id=0,TX,4.1857939106577,4286.2550125115,4955.9820382168,74415133,9525137536
1686401102,Device: id=0,TX,7.2396147982179,7413.3645293797,8571.7028970945,81654780,10451812224
1686401103,Device: id=0,TX,7.2394060523973,7413.1528216476,8571.4577900312,88894237,11378462848
1686401104,Device: id=0,TX,7.2451723162217,7419.052355847,8578.2799264424,96139473,12305852544
1686401105,Device: id=0,TX,7.1847140731862,7357.1472109427,8506.7014626525,103324246,13225503488
1686401106,Device: id=0,TX,7.2303476342216,7403.8759774429,8560.7315989184,110554631,14150992768
1686401107,Device: id=0,TX,7.2428145884194,7416.6462345288,8575.4965686759,117797468,15078076416
1686401108,Device: id=0,TX,7.2511042984244,7425.1297775922,8585.3064653401,125048612,16006222720
1686401109,Device: id=0,TX,7.2513315347024,7425.3645155341,8585.5775610865,132299952,16934394368
1686401110,Device: id=0,TX,7.2516118124869,7425.6494719901,8585.9073619881,139551589,17862603776
1686401111,Device: id=0,TX,6.3424006854514,6494.6152299315,7509.3993396037,145894050,18674438400
1686401112,Device: id=0,TX,2.6316571323936,2694.8189515299,3115.8840927128,148525760,19011297536
1686401113,Device: id=0,TX,2.6310078171237,2694.1520047347,3115.1132554745,151156803,19348071040
1686401114,Device: id=0,TX,2.6323442820096,2695.5184967854,3116.6935819069,153789157,19685012096
1686401115,Device: id=0,TX,2.6321081083393,2695.2797269278,3116.4170242621,156421295,20021925888
1686401116,Device: id=0,TX,2.601745280161,2664.1871668848,3080.4664117106,159023078,20354954112
1686401117,Device: id=0,TX,2.6318973380162,2695.0628741286,3116.1664482112,161655015,20691842048
1686401118,Device: id=0,TX,2.6306092541985,2693.7438762992,3114.641356971,164285640,21028562048
1686401119,Device: id=0,TX,2.6320197326724,2695.1882062565,3116.3113634841,166917672,21365462144
1686401120,Device: id=0,TX,2.6315756629188,2694.7334788288,3115.7855848958,169549291,21702309376
1686401121,Device: id=0,TX,3.2280582995838,3305.5337467683,3822.0230747017,172777358,22115502208
1686401122,Device: id=0,TX,5.6342882548365,5769.5111729526,6670.9972937264,178411695,22836697344
1686401123,Device: id=0,TX,5.6355345279024,5770.7873565721,6672.4728810364,184047248,23558048128
1686401124,Device: id=0,TX,5.6239581982246,5758.933194982,6658.7665066979,189671208,24277915008
1686401125,Device: id=0,TX,5.6341739896753,5769.3941654275,6670.8620037756,195305402,24999091840
1686401126,Device: id=0,TX,5.6203258119747,5755.2136314621,6654.465761378,200925773,25718499328
1686401127,Device: id=0,TX,5.6359335022375,5771.196930284,6672.946290642,206561746,26439904000
1686401128,Device: id=0,TX,5.6292775202089,5764.3791567004,6665.0635599338,212191059,27160455936
1686401129,Device: id=0,TX,5.6347403468026,5769.9741151259,6671.5325706143,217825844,27881708416
1686401130,Device: id=0,TX,5.6365658887788,5771.8424461175,6673.6929883221,223462454,28603194368
1686401131,Device: id=0,TX,5.8246883247447,5964.4818685351,6896.4320004942,229287162,29348757120
1686401132,Device: id=0,TX,6.5882842783498,6746.4031010302,7800.5285855662,235875452,30192058240
1686401133,Device: id=0,TX,6.5845291617666,6742.557861649,7796.0825275317,242460029,31034884096
1686401134,Device: id=0,TX,6.587112223108,6745.2029164625,7799.1408721598,249047198,31878041728
1686401135,Device: id=0,TX,6.5882279986091,6746.3454705757,7800.4619503532,255635484,32721342336
1686401136,Device: id=0,TX,6.3286345955191,6480.5218258115,7493.1033610946,261964295,33531430144
1686401137,Device: id=0,TX,6.58728750349,6745.3824035738,7799.3484041322,268551615,34374607104
1686401138,Device: id=0,TX,6.5844809220657,6742.5084641953,7796.0254117258,275136128,35217424768
1686401139,Device: id=0,TX,6.5776220409914,6735.4829219773,7787.9024485359,281713757,36059361024
1686401140,Device: id=0,TX,6.5890848855443,6747.2249707852,7801.4785524722,288302881,36902769152
1686401141,Device: id=0,TX,5.7778092211772,5916.4756185045,6840.9250938929,294080798,37642342400
1686401142,Device: id=0,TX,2.5003815941718,2560.390752432,2960.4518074994,296581184,37962391808
1686401143,Device: id=0,TX,2.4998234702546,2559.8182095479,2959.7899647886,299081025,38282371328
1686401144,Device: id=0,TX,2.4992956112824,2559.279729953,2959.1670277582,301580321,38602281344
1686401145,Device: id=0,TX,2.5002088336118,2560.212821639,2960.2462350169,304080580,38922314368
1686401146,Device: id=0,TX,2.5004726050652,2560.4839475868,2960.5595643972,306581060,39242375808
1686401147,Device: id=0,TX,2.4973707535525,2557.3066276415,2956.8859482099,309078440,39562040320
1686401148,Device: id=0,TX,2.4990684240023,2559.0481141517,2958.899061992,311577541,39881925504
1686401149,Device: id=0,TX,2.5001760265249,2560.1802511615,2960.2084154055,314077765,40201954176
1686401150,Device: id=0,TX,2.5008679933042,2560.8867771697,2961.0256560983,316578665,40522069120
1686401151,Device: id=0,TX,2.5947719860868,2657.0485617331,3072.212079507,319173462,40854203392
1686401152,Device: id=0,TX,2.9918993175357,3063.7028531742,3542.4067439799,322165387,41237169536
1686401153,Device: id=0,TX,2.9928779946871,3064.7091145555,3543.5695937054,325158271,41620258944
1686401154,Device: id=0,TX,2.9928788430883,3064.7079353224,3543.5685502166,328151951,42003449984
1686401155,Device: id=0,TX,2.9923772116742,3064.1932407564,3542.9735946243,331144334,42386474880
1686401156,Device: id=0,TX,2.9928362762756,3064.6633229164,3543.5171271205,334137200,42769561600
1686401157,Device: id=0,TX,2.9900384401582,3061.8014107155,3540.2075611408,337127248,43152288000
1686401158,Device: id=0,TX,2.9891845810238,3060.9239869685,3539.1935199323,340116433,43534903552
1686401159,Device: id=0,TX,2.9923335688431,3064.1495744954,3542.9229455103,343108786,43917924736
1686401160,Device: id=0,TX,2.9921746525002,3063.9868441602,3542.7347885602,346100979,44300925440
1686401161,Device: id=0,TX,3.6337873009204,3721.0002441387,4302.406212286,349734773,44766051328
1686401162,Device: id=0,TX,6.2110802972104,6360.1462243434,7353.9190718971,355945878,45561072768
1686401163,Device: id=0,TX,6.2084753206874,6357.4797523775,7350.8358036875,362154392,46355762688
1686401164,Device: id=0,TX,6.2081885429512,6357.1840439879,7350.4942108601,368362616,47150415232
1686401165,Device: id=0,TX,6.197842102557,6346.5892890253,7338.2440254344,374560500,47943744256
1686401166,Device: id=0,TX,6.2135825772442,6362.708559098,7356.8817714571,380774109,48739086208
1686401167,Device: id=0,TX,6.1846732778613,6333.1064605246,7322.6541849824,386958815,49530728704
1686401168,Device: id=0,TX,6.2122579328226,6361.3500752304,7355.3113444821,393171134,50325905280
1686401169,Device: id=0,TX,6.1698396066073,6317.9178051492,7305.0921422064,399341024,51115651456
1686401170,Device: id=0,TX,6.2056376161471,6354.5729189347,7347.4749375182,405546721,51909980672
1686401171,Device: id=0,TX,6.0915964699492,6237.794785228,7212.4502204199,411638369,52689711616
1686401172,Device: id=0,TX,5.6109640378559,5745.6261507668,6643.3803968237,417249346,53407916544
1686401173,Device: id=0,TX,5.6077862107933,5742.3730798523,6639.6188735793,422857156,54125716224
1686401174,Device: id=0,TX,5.6107994312469,5745.4596415877,6643.1875505872,428468005,54843905024
1686401175,Device: id=0,TX,5.6106090815065,5745.2626754714,6642.9601285125,434078662,55562068992
1686401176,Device: id=0,TX,5.6090646595636,5743.6822113932,6641.1325569234,439687765,56280034176
1686401177,Device: id=0,TX,5.5940496334628,5728.3078486614,6623.3557900155,445281839,56996075776
1686401178,Device: id=0,TX,5.6061284945974,5740.6755784677,6637.6561376033,450888008,57713665408
1686401179,Device: id=0,TX,5.6080840892881,5742.677083433,6639.9705377191,456496103,58431501440
1686401180,Device: id=0,TX,5.6070472449938,5741.6163788737,6638.7439380727,462103211,59149211264
1686401181,Device: id=0,TX,4.7371560771754,4850.8478230276,5608.7927953756,466840486,59755582464
1686401182,Device: id=0,TX,1.2296913666589,1259.2019114781,1455.9525301435,468070189,59912984192
1686401183,Device: id=0,TX,1.2308415678409,1260.3817654691,1457.3164163237,469301031,60070531968
1686401184,Device: id=0,TX,1.2306887403929,1260.2273181619,1457.1375166248,470531720,60228060416
1686401185,Device: id=0,TX,1.2310515728148,1260.5947626512,1457.5630143016,471762825,60385641600
1686401186,Device: id=0,TX,1.2309724726801,1260.5158120244,1457.4714076532,472993835,60543210880
1686401187,Device: id=0,TX,1.2307788837035,1260.3175769124,1457.2421983049,474224619,60700751232
1686401188,Device: id=0,TX,1.229825087145,1259.3408892365,1456.1129031797,475454445,60858168960
1686401189,Device: id=0,TX,1.2308819521869,1260.4241429878,1457.3652553377,476685389,61015729920
1686401190,Device: id=0,TX,1.230849981198,1260.3914047209,1457.3274017126,477916270,61173282816
1686401191,Device: id=0,TX,1.2305187649855,1260.0491673622,1456.9321697599,479146799,61330790272
1686401192,Device: id=0,TX,1.2297148570403,1259.2280136093,1455.9823907357,480376561,61488199808
1686401193,Device: id=0,TX,1.2293336206508,1258.8386515103,1455.5320308144,481605938,61645560192
1686401194,Device: id=0,TX,1.2295673447235,1259.0769609969,1455.8077361526,482835507,61802945024
1686401195,Device: id=0,TX,1.2297207891124,1259.2340880511,1455.9894143091,484065268,61960354432
1686401196,Device: id=0,TX,1.2294468803545,1258.9546294346,1455.6661302913,485294773,62117731200
1686401197,Device: id=0,TX,1.2295443623361,1259.0513791248,1455.7784770986,486524373,62275119744
1686401198,Device: id=0,TX,1.227900773359,1257.3724399125,1453.83656365,487752278,62432291840
1686401199,Device: id=0,TX,1.2296414356138,1259.1507821095,1455.8934118077,488981944,62589688832
1686401200,Device: id=0,TX,1.2295030679179,1259.011141548,1455.7316324148,490211448,62747065344
