Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1689708873,Device: id=1,RX,0,0,0,0,0
1689708874,Device: id=1,RX,0,0,0,0,0
1689708875,Device: id=1,RX,0,0,0,0,0
1689708876,Device: id=1,RX,3.0194551695287,3091.9333574973,3575.0461846219,3019482,386495104
1689708877,Device: id=1,RX,4.5756484751932,4685.4527746755,5417.5565307064,7595162,972180736
1689708878,Device: id=1,RX,3.3425621085808,3422.7835991867,3957.5935365597,10937746,1400031488
1689708879,Device: id=1,RX,4.2951099381603,4398.1925766761,5085.4101667818,15233092,1949835776
1689708880,Device: id=1,RX,4.240425227152,4342.2046485737,5020.672684918,19473531,2492613120
1689708881,Device: id=1,RX,3.3860774411368,3467.3340838399,4009.1064744218,22859651,2926035328
1689708882,Device: id=1,RX,2.4432554995366,2501.9038714395,2892.8247513654,25302927,3238775936
1689708883,Device: id=1,RX,2.432984489302,2491.3658877855,2880.6434060738,27738466,3550523648
1689708884,Device: id=1,RX,2.4187643745993,2476.8147195896,2863.8170195255,30157247,3860127616
1689708885,Device: id=1,RX,2.4389035584146,2497.4372438165,2887.6618131628,32596166,4172309248
1689708886,Device: id=1,RX,2.481160269222,2540.7081156833,2937.6937587588,35077327,4489897856
1689708887,Device: id=1,RX,2.5741619876316,2635.9418753347,3047.8077933558,37651505,4819392640
1689708888,Device: id=1,RX,2.3600264664504,2416.6671016452,2794.2713362773,40012305,5121575040
1689708889,Device: id=1,RX,2.6564580132521,2720.2171014839,3145.2503836042,42668819,5461609344
1689708890,Device: id=1,RX,2.8006154501157,2867.828172962,3315.9266449805,45469494,5820095488
1689708891,Device: id=1,RX,3.2430959537954,3320.9282086973,3839.8235613046,48712607,6235213696
1689708892,Device: id=1,RX,4.7621007781056,4876.3942687722,5638.3303932691,53474720,6844764544
1689708893,Device: id=1,RX,4.4178290179274,4523.8538423757,5230.7064852441,57892575,7410249600
1689708894,Device: id=1,RX,4.5896142670774,4699.769105467,5434.1073881994,62482212,7997723648
1689708895,Device: id=1,RX,4.3096573022129,4413.0849814676,5102.6301498217,66791871,8549359488
1689708896,Device: id=1,RX,3.4171076442175,3499.1182276787,4045.8554507535,70208991,8986750848
1689708897,Device: id=1,RX,4.1129665664468,4211.6777640416,4869.7524146731,74321983,9513213824
1689708898,Device: id=1,RX,4.7794804747973,4894.192102168,5658.9089781355,79101492,10124991488
1689708899,Device: id=1,RX,4.561659367645,4671.1391924685,5401.0046912917,83663169,10708886144
1689708900,Device: id=1,RX,6.4424500992513,6597.0678776349,7627.8598935151,90105629,11533520896
1689708901,Device: id=1,RX,6.3183142054797,6469.9547704065,7480.8850432833,96423972,12342268928
