Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1661937774,Device: id=1,RX,0.13791086389147,389.63493283867,411.70067106131,147875,52223284
1661937775,Device: id=1,RX,0.69775961419901,1971.9684805216,2083.6100187935,845671,298732198
1661937776,Device: id=1,RX,0.70548615635173,1996.1549459703,2109.0327309866,1551160,548252572
1661937777,Device: id=1,RX,0.70497963400454,1996.8900888488,2109.6868302896,2256159,797870690
1661937778,Device: id=1,RX,0.70600098797967,1996.9504457351,2109.9106038118,2962220,1047510714
1661937779,Device: id=1,RX,0.70715495260193,1995.7983967054,2108.9431891218,3669428,1297004228
1661937780,Device: id=1,RX,0.70635115187426,1998.5356419758,2111.5518262757,4375802,1546829264
1661937781,Device: id=1,RX,0.70638141715271,1996.3123331449,2109.3333598894,5082235,1796386528
1661937782,Device: id=1,RX,0.70525805915176,1997.2033383635,2110.0446278278,5787516,2046045066
1661937783,Device: id=1,RX,0.70609714232572,1996.9902703475,2109.9658131196,6493633,2295675870
1661937784,Device: id=1,RX,0.70697972954818,1997.5999935777,2110.7167503054,7200656,2545391152
1661937785,Device: id=1,RX,0.70638925472664,1997.2438250594,2110.2661058157,7907073,2795056436
1661937786,Device: id=1,RX,0.70587568305337,1996.7321087243,2109.6722180128,8613002,3044666802
1661937787,Device: id=1,RX,0.70698597857414,1997.749565365,2110.8673219369,9320061,3294411290
1661937788,Device: id=1,RX,0.70679289168112,1997.0238653333,2110.1107280022,10026868,3544044256
1661937789,Device: id=1,RX,0.70497584056,1996.9567412668,2109.7528757564,10731879,3793676298
1661937790,Device: id=1,RX,0.70504588525588,1998.4003815967,2111.2077232377,11436970,4043492330
1661937791,Device: id=1,RX,0.65263795711023,1845.7101932473,1950.132266385,12089627,4274212836
1661937792,Device: id=1,RX,0.32356300462033,916.29607995058,968.06616068983,12413217,4388759402
1661937793,Device: id=1,RX,0.31970863302259,908.53897227504,959.69235355866,12732931,4502328680
1661937794,Device: id=1,RX,0.32120710873997,911.29904925262,962.69218665101,13054159,4616248470
1661937795,Device: id=1,RX,0.32001445602079,904.93339648297,956.1357094463,13374187,4729369932
1661937796,Device: id=1,RX,0.32192850630032,909.37450063957,960.88306164762,13696117,4843042272
1661937797,Device: id=1,RX,0.32184789391789,910.79653215731,962.29219518417,14017988,4956900012
1661937798,Device: id=1,RX,0.32256297926716,914.29526041108,965.90533709383,14340574,5071195076
1661937799,Device: id=1,RX,0.32773349060875,927.77787946939,980.21523796679,14668331,5187175630
1661937800,Device: id=1,RX,0.32017062898824,904.86857709,956.09587772812,14988523,5300291752
1661937801,Device: id=1,RX,0.25554920901448,724.06045610881,764.94832955112,15244078,5390801360
1661937802,Device: id=1,RX,0.35451797202542,1004.8917951668,1061.6146706909,15598614,5516419222
1661937803,Device: id=1,RX,0.3648326151521,1035.0541911166,1093.4274095409,15963478,5645812126
1661937804,Device: id=1,RX,0.37631569345014,1066.9458623713,1127.1563733234,16339825,5779191454
1661937805,Device: id=1,RX,0.3677889032733,1043.5498426645,1102.3960671882,16707622,5909638056
1661937806,Device: id=1,RX,0.36724265055346,1039.7553761484,1098.5142002369,17074883,6039613972
1661937807,Device: id=1,RX,0.36611554131465,1042.0731046714,1100.6515912818,17441005,6169875408
1661937808,Device: id=1,RX,0.36973549492281,1052.4461850452,1111.6038642329,17810756,6301436698
1661937809,Device: id=1,RX,0.37794598027346,1070.8046887812,1131.2760456249,18188708,6435289416
1661937810,Device: id=1,RX,0.36727919446566,1040.3385469492,1099.1032180637,18555994,6565334144
1661937811,Device: id=1,RX,0.34858511339606,986.99254575232,1042.7661638957,18904608,6688718436
1661937812,Device: id=1,RX,0.70747380599076,1999.5213922755,2112.717201234,19612094,6938662918
1661937813,Device: id=1,RX,0.70626187287081,1999.7756907862,2112.7775904455,20318393,7188648020
1661937814,Device: id=1,RX,0.70613286504236,1999.1618762662,2112.143134673,21024566,7438557458
1661937815,Device: id=1,RX,0.70843063976151,1998.4056238065,2111.7545261683,21732997,7688358288
1661937816,Device: id=1,RX,0.70583746546627,1997.7133233722,2110.6473178468,22438856,7938080072
1661937817,Device: id=1,RX,0.70809427971998,1997.6677807251,2110.9628654803,23147021,8187813484
1661937818,Device: id=1,RX,0.70632141630893,1997.7976321729,2110.8090587823,23853389,8437554658
1661937819,Device: id=1,RX,0.70818352871811,1998.0113426293,2111.3207072242,24561591,8687312590
1661937820,Device: id=1,RX,0.70759950575734,1998.2414299598,2111.457350881,25269252,8937114476
1661937821,Device: id=1,RX,0.70597840776582,1998.2752715631,2111.2318168056,25975255,9186907586
