Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1659885297,Device: id=0,TX,0.14599123785904,413.14537869709,436.50397675454,148615,52571952
1659885298,Device: id=0,TX,0.63095369340607,1783.7194202385,1884.6720111835,779617,275553950
1659885299,Device: id=0,TX,0.70758674269523,1999.9404911641,2113.1543699954,1487236,525557908
1659885300,Device: id=0,TX,0.70699126103371,1999.987676788,2113.1062785534,2194261,775568298
1659885301,Device: id=0,TX,0.70617706871942,1999.8986904583,2112.8870214534,2900459,1025563044
1659885302,Device: id=0,TX,0.70719646025424,1999.9439663055,2113.0953999461,3607721,1275579208
1659885303,Device: id=0,TX,0.70675663769776,1999.9488776034,2113.029939635,4314506,1525582850
1659885304,Device: id=0,TX,0.70812136012763,1999.9326060271,2113.2320236475,5022638,1775578182
1659885305,Device: id=0,TX,0.70738978049669,1999.9475337805,2113.12989866,5730067,2025585484
1659885306,Device: id=0,TX,0.70634198737657,2000.0211879428,2113.035905923,6436425,2275593800
1659885307,Device: id=0,TX,0.70824190230586,1999.9116113726,2113.2303157415,7144733,2525606082
1659885308,Device: id=0,TX,0.70615031532488,1999.893835201,2112.877885653,7850900,2775598718
1659885309,Device: id=0,TX,0.70747909897362,1999.9430563447,2113.1397121805,8558390,3025595452
1659885310,Device: id=0,TX,0.70661521646729,1999.9377094851,2112.9961441198,9265048,3275602802
1659885311,Device: id=0,TX,0.70590365846939,1999.9607081115,2112.9052934666,9970969,3525604032
1659885312,Device: id=0,TX,0.70537704190316,1999.9327179031,2112.7930446076,10676383,3775608720
1659885313,Device: id=0,TX,0.70674254159008,1999.9381946164,2113.0170012708,11383135,4025604340
1659885314,Device: id=0,TX,0.70757716449657,1999.9433958034,2113.1557421229,12090753,4275611692
1659885315,Device: id=0,TX,0.70511380749699,1999.9500625618,2112.7682717613,12795911,4525621118
1659885316,Device: id=0,TX,0.7079476639609,1999.935449877,2113.2070761108,13503909,4775630824
1659885317,Device: id=0,TX,0.70855217272967,1999.9467391948,2113.3150868316,14212520,5025644922
1659885318,Device: id=0,TX,0.70428284406733,1999.9456141266,2112.6308691773,14916806,5275639244
1659885319,Device: id=0,TX,0.70798008377263,1999.9379762304,2113.214789634,15624810,5525639936
1659885320,Device: id=0,TX,0.7071033316058,1999.9394237675,2113.0759568244,16331919,5775634368
1659885321,Device: id=0,TX,0.70885204036196,1999.9500331635,2113.3663596214,17040783,6025632340
1659885322,Device: id=0,TX,0.70579133205202,1999.9476576616,2112.87427079,17746576,6275626388
1659885323,Device: id=0,TX,0.70816328855272,1999.9335312724,2113.2396574408,18454771,6525629274
1659885324,Device: id=0,TX,0.704707167423,1999.94522435,2112.6983711377,19159540,6775644362
1659885325,Device: id=0,TX,0.70608317521625,1999.9368982695,2112.9102063041,19865655,7025647742
1659885326,Device: id=0,TX,0.70771336999719,1999.9562794759,2113.1904186755,20573400,7275653450
1659885327,Device: id=0,TX,0.70593385419925,1999.933356234,2112.8827729058,21279387,7525663940
1659885328,Device: id=0,TX,0.70761816072229,1999.942845204,2113.1617509195,21987068,7775678996
1659885329,Device: id=0,TX,0.70791084553673,1999.9436598423,2113.2093951281,22695007,8025681896
1659885330,Device: id=0,TX,0.70827970213032,1999.9422879489,2113.2670402897,23403361,8275700906
1659885331,Device: id=0,TX,0.7068640156854,1999.9539563785,2113.0521988881,24110240,8525700450
1659885332,Device: id=0,TX,0.70774896910099,1999.9356469167,2113.1754819729,24817990,8775692770
1659885333,Device: id=0,TX,0.70671601296577,1999.939871162,2113.0144332365,25524711,9025687018
1659885334,Device: id=0,TX,0.70491490140473,1999.9406742466,2112.7270584714,26229677,9275697724
1659885335,Device: id=0,TX,0.70618390803822,1999.9454330667,2112.9348583529,26935915,9525710052
1659885336,Device: id=0,TX,0.70602517577056,1999.9410876294,2112.9051157527,27641967,9775712186
1659885337,Device: id=0,TX,0.70800540567073,1999.9505414201,2113.2314063274,28350030,10025726340
