Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1659885887,Device: id=1,RX,0.13368126902806,377.7661053391,399.15510838359,147649,52154640
1659885888,Device: id=1,RX,0.6882922352553,1943.5750139784,2053.7017716193,835999,295121906
1659885889,Device: id=1,RX,0.70424151024693,1995.6525785401,2108.3312201796,1540251,544582194
1659885890,Device: id=1,RX,0.70522979885728,1995.2405052145,2108.0772730317,2245499,793993694
1659885891,Device: id=1,RX,0.70392273710764,1996.3271663001,2108.9548042374,2949464,1043549572
1659885892,Device: id=1,RX,0.70528185978961,1996.1583425256,2109.0034400919,3654795,1293086750
1659885893,Device: id=1,RX,0.70502976387971,1996.372900938,2109.1776631587,4359829,1542634862
1659885894,Device: id=1,RX,0.70509872230562,1996.1320389348,2108.9478345037,5064953,1792160312
1659885895,Device: id=1,RX,0.70571106249738,1997.1815561601,2110.0953261597,5770690,2041817182
1659885896,Device: id=1,RX,0.70732145297035,1997.6907349156,2110.8621673908,6478065,2291547428
1659885897,Device: id=1,RX,0.70664605276767,1997.899120349,2110.9624887918,7184744,2541296462
1659885898,Device: id=1,RX,0.68543194791398,1935.6984821423,2045.3675938086,7870225,2783276088
1659885899,Device: id=1,RX,0.38900296191959,1102.7344987931,1164.9749727002,8259240,2921122166
1659885900,Device: id=1,RX,0.3950408771179,1114.3052373823,1177.5117777211,8654281,3060410364
1659885901,Device: id=1,RX,0.39201054787107,1106.7629730308,1169.4846606902,9046317,3198764718
1659885902,Device: id=1,RX,0.39503315645708,1118.7876734742,1181.9929785074,9441362,3338617370
1659885903,Device: id=1,RX,0.39488950808046,1121.313504721,1184.4958260138,9836283,3478792736
1659885904,Device: id=1,RX,0.39550306322771,1118.7391173414,1182.0196074579,10231813,3618644650
1659885905,Device: id=1,RX,0.39828201560456,1128.3433898412,1192.0685123379,10630109,3759692526
1659885906,Device: id=1,RX,0.39522411905999,1119.0550438907,1182.2909029403,11025338,3899576134
1659885907,Device: id=1,RX,0.39304675484214,1108.906065943,1171.7935467177,11418396,4038193358
1659885908,Device: id=1,RX,0.39112647921125,1107.0146404357,1169.5948771095,11809534,4176574264
1659885909,Device: id=1,RX,0.39080099548045,1107.6730544579,1170.2012137348,12200337,4315034106
1659885910,Device: id=1,RX,0.39719914011974,1124.0723345415,1187.6241969607,12597537,4455543452
1659885911,Device: id=1,RX,0.39239211855023,1109.284966351,1172.067705319,12989940,4594207918
1659885912,Device: id=1,RX,0.39544550377988,1119.5654802274,1182.8367608321,13385392,4734155902
1659885913,Device: id=1,RX,0.39616193488926,1119.7384307013,1183.1243402836,13781561,4874125702
1659885914,Device: id=1,RX,0.3919984043171,1110.1239454063,1172.8436900971,14173569,5012894592
1659885915,Device: id=1,RX,0.39732398966664,1125.2276025221,1188.7994408688,14570907,5153553002
1659885916,Device: id=1,RX,0.40315661277673,1139.7268332555,1204.2318912998,14974072,5296021820
1659885917,Device: id=1,RX,0.39731390194274,1123.0260108366,1186.5962351475,15371386,5436400106
1659885918,Device: id=1,RX,0.40778021511587,1155.6165936106,1220.8614280292,15779216,5580869816
1659885919,Device: id=1,RX,0.70662991365744,1996.0057365765,2109.0665227617,16485898,5830388924
1659885920,Device: id=1,RX,0.70728832967488,1996.5643938412,2109.7305265892,17193213,6079968884
1659885921,Device: id=1,RX,0.70471176682456,1996.573891812,2109.3277745039,17897945,6329547786
1659885922,Device: id=1,RX,0.70553415115766,1996.3923242079,2109.2777883931,18603496,6579102786
1659885923,Device: id=1,RX,0.70564341113107,1996.4789660027,2109.3819117836,19309143,6828663926
1659885924,Device: id=1,RX,0.70463644963099,1995.2588070587,2108.0006389996,20013815,7078083860
1659885925,Device: id=1,RX,0.70559409333569,1996.5058308644,2109.4008857982,20719415,7327649178
1659885926,Device: id=1,RX,0.70759712796999,1996.573543335,2109.7890838102,21427018,7577222942
1659885927,Device: id=1,RX,0.70666189725311,1996.1358024038,2109.2017059643,22133717,7826753018
