,input_rate,output_rate,latency,firewall_instructions,nf_router_instructions,ndpi_stats_instructions,payload_scan_instructions,bridge_instructions,firewall_branches,nf_router_branches,ndpi_stats_branches,payload_scan_branches,bridge_branches,firewall_branch-misses,nf_router_branch-misses,ndpi_stats_branch-misses,payload_scan_branch-misses,bridge_branch-misses,firewall_branch-load-misses,nf_router_branch-load-misses,ndpi_stats_branch-load-misses,payload_scan_branch-load-misses,bridge_branch-load-misses,firewall_cache-misses,nf_router_cache-misses,ndpi_stats_cache-misses,payload_scan_cache-misses,bridge_cache-misses,firewall_cache-references,nf_router_cache-references,ndpi_stats_cache-references,payload_scan_cache-references,bridge_cache-references,firewall_cycles,nf_router_cycles,ndpi_stats_cycles,payload_scan_cycles,bridge_cycles,firewall_L1-dcache-load-misses,nf_router_L1-dcache-load-misses,ndpi_stats_L1-dcache-load-misses,payload_scan_L1-dcache-load-misses,bridge_L1-dcache-load-misses,firewall_L1-dcache-loads,nf_router_L1-dcache-loads,ndpi_stats_L1-dcache-loads,payload_scan_L1-dcache-loads,bridge_L1-dcache-loads,firewall_LLC-load-misses,nf_router_LLC-load-misses,ndpi_stats_LLC-load-misses,payload_scan_LLC-load-misses,bridge_LLC-load-misses,firewall_LLC-stores,nf_router_LLC-stores,ndpi_stats_LLC-stores,payload_scan_LLC-stores,bridge_LLC-stores,firewall_LLC-loads,nf_router_LLC-loads,ndpi_stats_LLC-loads,payload_scan_LLC-loads,bridge_LLC-loads
0,437.93081571413,404.12782784276,10.365,9751822451.0,10237177641.0,10063493482.0,10085851317.0,9573991456.0,1907495015.0,2026220010.0,1964589360.0,2003354885.0,1893259517.0,7445628.0,7987621.0,7942708.0,7768963.0,7350305.0,7447989.0,7989174.0,7944925.0,7770786.0,7362519.0,4111.0,4851.0,3965.0,3656.0,3188.0,9354501.0,8594467.0,9713421.0,8952884.0,6912749.0,2893086805.0,2892901095.0,2893077582.0,2893062156.0,2723092819.0,9811401.0,9314881.0,10051004.0,9677606.0,7345788.0,2980006383.0,3137449808.0,3086765696.0,3109489594.0,2923424044.0,1517.0,2113.0,1580.0,1186.0,875.0,3248695.0,3346376.0,3529337.0,3017374.0,2676963.0,6093486.0,5285732.0,6179395.0,6109760.0,4269676.0
1,1913.2554773746,2085.3422277627,9.708,9835258316.0,10226775442.0,10075853541.0,9983788329.0,10216998545.0,1912389219.0,2017605151.0,1953471556.0,1980690381.0,2012536965.0,7802410.0,7901077.0,8077412.0,7713796.0,7747488.0,7800829.0,7896409.0,8073938.0,7720967.0,7740767.0,9553.0,4697.0,5037.0,4752.0,3131.0,8802676.0,8010129.0,9254970.0,8637541.0,6432779.0,2891874387.0,2891773546.0,2891827817.0,2891931703.0,2891631091.0,9069463.0,8572267.0,9467282.0,9129176.0,6779888.0,2995745794.0,3118710814.0,3069930538.0,3105518734.0,3117755631.0,9780.0,3640.0,4571.0,3279.0,2278.0,2830025.0,3024541.0,3079047.0,2660912.0,2436535.0,5495109.0,4695219.0,5695455.0,5778267.0,3753925.0
2,2112.8306875847,2109.307818107,10.788,9664052277.0,10114550604.0,10060445009.0,9978946780.0,10068280423.0,1906662573.0,2002415495.0,1979266738.0,1980630558.0,1989623530.0,7399455.0,7973620.0,7944194.0,7707982.0,7784107.0,7400281.0,7978559.0,7945467.0,7755903.0,7787016.0,2073.0,1912.0,1773.0,1673.0,1195.0,9337220.0,8578447.0,9707822.0,9121379.0,6917813.0,2891983947.0,2891886962.0,2891900804.0,2891991865.0,2892074867.0,9806255.0,9275136.0,10056975.0,9716654.0,7351200.0,2971381529.0,3141387246.0,3089109349.0,3128005483.0,3127756926.0,2588.0,4138.0,1951.0,863.0,1675.0,3233110.0,3314838.0,3506038.0,2922048.0,2653106.0,6147638.0,5244439.0,6252303.0,6099758.0,4276051.0
3,2113.3487962442,2110.1051274796,9.049,9715116440.0,10135411678.0,10065672665.0,10085193577.0,10090409216.0,1914352008.0,2005053141.0,1978477686.0,1995755551.0,1992404057.0,7415426.0,7990965.0,8035446.0,7768976.0,7799785.0,7415026.0,8090701.0,8037566.0,7765860.0,7751014.0,2225.0,2431.0,2085.0,2251.0,1551.0,9350540.0,8659253.0,9718340.0,9223494.0,7016305.0,2891705651.0,2891671499.0,2891745847.0,2891647660.0,2891610006.0,9814912.0,9230912.0,10057827.0,9749314.0,7434890.0,2963393301.0,3121366828.0,3068734166.0,3106375610.0,3108234305.0,2779.0,2251.0,2997.0,1964.0,1658.0,3266270.0,3320229.0,3543786.0,2950351.0,2655629.0,6160798.0,5307415.0,6216341.0,6118624.0,4346927.0
4,2112.2541216408,2109.2891849089,6.771,7708180964.0,10027011024.0,9987993122.0,9983455956.0,9984157913.0,1520999010.0,1989845202.0,1964963197.0,1982213606.0,1978535536.0,6163685.0,8162132.0,8027161.0,7717945.0,7977175.0,6167761.0,8137220.0,8172532.0,7716284.0,7807834.0,2596.0,3224.0,2447.0,1683.0,1662.0,9161602.0,8463664.0,9610446.0,9061096.0,6869833.0,2335464585.0,2891592010.0,2891604829.0,2891671674.0,2891543013.0,9679616.0,9236559.0,9963860.0,9663470.0,7320321.0,2347653493.0,3141846782.0,3064890100.0,3129625481.0,3131031968.0,1781.0,1386.0,1715.0,1485.0,782.0,3268109.0,3279270.0,3506430.0,2982082.0,2651147.0,6039439.0,5275508.0,6237247.0,6116525.0,4310268.0
5,2113.0273783371,2109.3162027543,7.223,6290319337.0,10126155289.0,9831503229.0,10092477597.0,10087636905.0,1244861393.0,2003686540.0,1938664408.0,1998604130.0,1992448657.0,5075999.0,7988474.0,7852898.0,7765871.0,7942885.0,5048338.0,7990562.0,7848738.0,7767991.0,7942947.0,2388.0,2298.0,2561.0,2039.0,1549.0,9236634.0,8496432.0,9718268.0,9142853.0,6916988.0,1893001160.0,2891899114.0,2891793202.0,2891860447.0,2891821006.0,9690055.0,9212069.0,10024675.0,9699288.0,7351047.0,1943726619.0,3124735834.0,3034101823.0,3115825059.0,3113450227.0,1932.0,1225.0,1583.0,938.0,613.0,3299772.0,3196906.0,3502841.0,2943176.0,2600907.0,5976990.0,5282684.0,6249541.0,6035132.0,4313305.0
6,2113.0102166298,2109.1979705405,8.54,6228114620.0,9984619067.0,9127549337.0,9999312006.0,9992324701.0,1236053514.0,1981364880.0,1805352937.0,1984450666.0,1980091621.0,5037090.0,7911598.0,7518549.0,7710395.0,7753063.0,5158113.0,7911017.0,7370461.0,7709774.0,7757993.0,2216.0,2347.0,2541.0,1675.0,1343.0,9208867.0,8500508.0,9681671.0,9069825.0,6907879.0,1892987489.0,2891728303.0,2721988149.0,2891857856.0,2891973288.0,9663817.0,9248199.0,10017419.0,9683675.0,7392095.0,1939876771.0,3105732632.0,2765504988.0,3133067150.0,3112878917.0,1639.0,1750.0,1139.0,820.0,667.0,3206631.0,3200102.0,3432613.0,3002391.0,2597573.0,5939594.0,5179383.0,6188691.0,6007661.0,4215983.0
7,2113.1136811832,2108.8295119277,6.598,6236377671.0,10032963468.0,9741895118.0,10115135463.0,9995117559.0,1237444454.0,1990726367.0,1925952847.0,1985270243.0,1979696271.0,5130363.0,7939900.0,7805475.0,7713124.0,8148105.0,5051613.0,7938513.0,7853030.0,7707783.0,8152479.0,2051.0,1815.0,1573.0,1712.0,941.0,9220696.0,8479534.0,9718862.0,9131828.0,6911264.0,1893018917.0,2891941038.0,2891923805.0,2891972286.0,2891872874.0,9722439.0,9203848.0,10029006.0,9722461.0,7378519.0,1951533190.0,3140068592.0,3047221188.0,3132431552.0,3131869739.0,1250.0,1088.0,1450.0,1126.0,976.0,3193166.0,3177518.0,3390901.0,2984175.0,2579494.0,5923922.0,5139650.0,6208196.0,6007918.0,4193064.0
8,2113.2506928452,2109.6199973812,9.658,6293966428.0,10136809572.0,9840384512.0,10205601573.0,10105291595.0,1245522703.0,2005721737.0,1940582805.0,1999608804.0,1995396888.0,5052061.0,8182891.0,8040714.0,7770068.0,7811557.0,5054237.0,8182061.0,8038857.0,7770910.0,7812599.0,2180.0,1660.0,2085.0,1320.0,1310.0,9225094.0,8512222.0,9715378.0,9211853.0,6933531.0,1893003856.0,2891811019.0,2891754915.0,2891920427.0,2891518992.0,9654937.0,9130043.0,9985738.0,9689519.0,7351260.0,1940683493.0,3124343004.0,3030574319.0,3117387835.0,3117761132.0,1438.0,1313.0,938.0,1294.0,450.0,3211059.0,3232999.0,3412590.0,3022254.0,2629802.0,5947251.0,5146366.0,6233522.0,6044211.0,4162935.0
9,2112.83631205,2109.2136794805,8.714,6234200848.0,9422683795.0,9739548301.0,10153612169.0,9435957650.0,1235882991.0,1841046453.0,1923780867.0,1977581823.0,1842321630.0,5013257.0,7499281.0,7956322.0,7681431.0,7190024.0,5012525.0,7410273.0,7956756.0,7676346.0,7107041.0,1861.0,2125.0,1736.0,1820.0,3004.0,9200804.0,8510404.0,9652681.0,9211485.0,6927002.0,1892845981.0,2570048734.0,2891661039.0,2891672766.0,2584616230.0,9758586.0,9126319.0,10081004.0,9677615.0,7348899.0,1951260059.0,2921942939.0,3045516441.0,3091335090.0,2928818147.0,1195.0,1042.0,1028.0,1237.0,611.0,3269018.0,3326219.0,3460083.0,3010507.0,2697876.0,5900317.0,5218815.0,6174495.0,6169700.0,4271481.0
10,2113.0959744691,2108.5156817762,10.119,6285617492.0,10236015187.0,9806901822.0,10207127266.0,10196156209.0,1243715660.0,2003165878.0,1934004804.0,2014186532.0,1992357259.0,5042733.0,7991060.0,7973518.0,7771806.0,7794562.0,5044477.0,7991149.0,7974779.0,7769568.0,7796206.0,2117.0,1806.0,2042.0,1578.0,1884.0,9227769.0,8599685.0,9686051.0,9158886.0,6993673.0,1893014624.0,2891885097.0,2887756461.0,2891959938.0,2891894596.0,9715774.0,9248286.0,10034320.0,9702257.0,7382191.0,1930153872.0,3143358304.0,3010217148.0,3132423601.0,3133986962.0,1263.0,2126.0,1373.0,1800.0,650.0,3175989.0,3266632.0,3371572.0,3024282.0,2652752.0,5785361.0,5109358.0,6081179.0,6104512.0,4144686.0
