,input_rate,output_rate,latency,firewall_instructions,nf_router_instructions,ndpi_stats_instructions,payload_scan_instructions,bridge_instructions,firewall_branches,nf_router_branches,ndpi_stats_branches,payload_scan_branches,bridge_branches,firewall_branch-misses,nf_router_branch-misses,ndpi_stats_branch-misses,payload_scan_branch-misses,bridge_branch-misses,firewall_branch-load-misses,nf_router_branch-load-misses,ndpi_stats_branch-load-misses,payload_scan_branch-load-misses,bridge_branch-load-misses,firewall_cache-misses,nf_router_cache-misses,ndpi_stats_cache-misses,payload_scan_cache-misses,bridge_cache-misses,firewall_cache-references,nf_router_cache-references,ndpi_stats_cache-references,payload_scan_cache-references,bridge_cache-references,firewall_cycles,nf_router_cycles,ndpi_stats_cycles,payload_scan_cycles,bridge_cycles,firewall_L1-dcache-load-misses,nf_router_L1-dcache-load-misses,ndpi_stats_L1-dcache-load-misses,payload_scan_L1-dcache-load-misses,bridge_L1-dcache-load-misses,firewall_L1-dcache-loads,nf_router_L1-dcache-loads,ndpi_stats_L1-dcache-loads,payload_scan_L1-dcache-loads,bridge_L1-dcache-loads,firewall_LLC-load-misses,nf_router_LLC-load-misses,ndpi_stats_LLC-load-misses,payload_scan_LLC-load-misses,bridge_LLC-load-misses,firewall_LLC-stores,nf_router_LLC-stores,ndpi_stats_LLC-stores,payload_scan_LLC-stores,bridge_LLC-stores,firewall_LLC-loads,nf_router_LLC-loads,ndpi_stats_LLC-loads,payload_scan_LLC-loads,bridge_LLC-loads,firewall_mem-stores,nf_router_mem-stores,ndpi_stats_mem-stores,payload_scan_mem-stores,bridge_mem-stores,firewall_iTLB-loads,nf_router_iTLB-loads,ndpi_stats_iTLB-loads,payload_scan_iTLB-loads,bridge_iTLB-loads,firewall_mem-loads,nf_router_mem-loads,ndpi_stats_mem-loads,payload_scan_mem-loads,bridge_mem-loads
0,436.13365971811,401.16339722639,9.769,10074562241.0,10351551372.0,10028799769.0,10175999242.0,10049975547.0,1993307965.0,2011022219.0,1939836055.0,2015924135.0,1992331387.0,7678974.0,8047440.0,7868762.0,7780066.0,7750687.0,7678159.0,8053624.0,7872369.0,7782085.0,7825406.0,5325.0,3737.0,4532.0,4606.0,3591.0,9065382.0,8404700.0,9444112.0,9483922.0,6797157.0,2892839608.0,2893022741.0,2892900155.0,2892918863.0,2893019668.0,9828752.0,9032032.0,9847068.0,10336311.0,7229084.0,3082143401.0,3174733612.0,3077973741.0,3124379424.0,3117378650.0,2176.0,500.0,1613.0,1401.0,838.0,3129218.0,3133793.0,3215903.0,3476073.0,3099754.0,5977910.0,5097458.0,6056624.0,6060457.0,3924219.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,19.0,139.0,0.0,0.0,0.0,0.0,0.0
1,1893.7382636899,2080.9307294915,12.032,10157284964.0,10375313699.0,10100213460.0,10170230106.0,10088579047.0,2002507718.0,2030186439.0,1967224548.0,2007033991.0,1998081703.0,7729617.0,8053385.0,7987345.0,7815838.0,7739074.0,7730699.0,8058157.0,7983349.0,7823461.0,7734689.0,8997.0,4201.0,4701.0,4671.0,2331.0,8564481.0,7933957.0,8997896.0,9009681.0,6453382.0,2891542350.0,2891642381.0,2891640940.0,2891713662.0,2892092949.0,9263927.0,8515111.0,9380374.0,9806431.0,6777382.0,3074235399.0,3140830315.0,3053446258.0,3089315496.0,3094148558.0,8779.0,3490.0,4664.0,4389.0,1161.0,2949460.0,2917302.0,2994707.0,3235165.0,2876035.0,5644703.0,4900458.0,5850579.0,5805074.0,3705773.0,0.0,0.0,0.0,0.0,0.0,108.0,17.0,17.0,108.0,58.0,0.0,0.0,0.0,0.0,0.0
2,2113.3998518845,2111.2684875565,9.494,10017624987.0,10328223966.0,10029182909.0,10139302175.0,9228662533.0,1975616769.0,2022747285.0,1955701218.0,2002002228.0,1830231092.0,7660735.0,8358644.0,7870498.0,7795914.0,7402740.0,7614645.0,8358963.0,7868870.0,7962478.0,7242934.0,1978.0,1678.0,2373.0,2312.0,1434.0,8983832.0,8264289.0,9320784.0,9391836.0,6932203.0,2891736303.0,2892018671.0,2891743063.0,2891735260.0,2703924214.0,9703587.0,8909006.0,9752336.0,10226242.0,7095327.0,3063903000.0,3152083485.0,3060408419.0,3096102694.0,2838898289.0,1975.0,1963.0,1876.0,1763.0,663.0,3117001.0,3123629.0,3209964.0,3428929.0,3038354.0,5945760.0,5198440.0,6148851.0,6047780.0,3882122.0,0.0,0.0,0.0,0.0,0.0,67.0,8.0,17.0,75.0,17.0,0.0,0.0,0.0,0.0,0.0
3,2113.2318125547,2110.5380124182,11.255,9826490433.0,10333188446.0,10030464737.0,9957026881.0,9935616618.0,1948315239.0,2039535079.0,1971393771.0,1977345994.0,1968641837.0,7819125.0,8104558.0,7919650.0,7962043.0,7818315.0,7682870.0,8105686.0,7917380.0,7806647.0,7818580.0,1825.0,2351.0,1855.0,1805.0,865.0,9145594.0,8397684.0,9435473.0,9554158.0,7028107.0,2891719611.0,2891893603.0,2891770488.0,2891882323.0,2891927065.0,9917738.0,9131853.0,9940027.0,10449944.0,7297667.0,3082295508.0,3172779828.0,3075411184.0,3127247419.0,3117392980.0,3011.0,2546.0,2940.0,2739.0,1514.0,3161629.0,3149563.0,3232454.0,3511924.0,3028830.0,5990998.0,5222191.0,6163858.0,6055285.0,3954357.0,0.0,0.0,0.0,0.0,0.0,102.0,46.0,93.0,83.0,83.0,0.0,0.0,0.0,0.0,0.0
4,2113.0455988784,2110.8582006644,11.401,9927554375.0,10335588450.0,10027456484.0,10068656275.0,10033492393.0,1963158146.0,2039755789.0,1970472666.0,1993338374.0,1982250366.0,7672875.0,8057197.0,7868345.0,7929797.0,7929652.0,7805081.0,8054332.0,7868147.0,7758843.0,7932209.0,2345.0,1683.0,2393.0,2114.0,1699.0,9152936.0,8406241.0,9461055.0,9559528.0,7017807.0,2891621247.0,2891827778.0,2891569455.0,2891666402.0,2891800740.0,9905319.0,9069663.0,9898541.0,10435945.0,7312549.0,3054585953.0,3147163515.0,3048467555.0,3097572732.0,3090566777.0,1823.0,1809.0,2729.0,1269.0,868.0,3097404.0,3142265.0,3235433.0,3408583.0,3048937.0,5975658.0,5222820.0,6162033.0,6064257.0,3884950.0,0.0,0.0,0.0,0.0,0.0,42.0,33.0,58.0,142.0,50.0,0.0,0.0,0.0,0.0,0.0
5,2113.1916298974,2110.5092245238,9.117,9799896213.0,10212828508.0,9908021203.0,9950059188.0,9925382153.0,1944394396.0,2021741586.0,1953049410.0,1975657198.0,1967708027.0,7613214.0,8312916.0,8145163.0,7743968.0,7879104.0,7666162.0,8250067.0,7865060.0,7794542.0,7878375.0,27517.0,2602.0,3280.0,3319.0,1868.0,9066917.0,8282753.0,9337744.0,9449244.0,6927270.0,2891489121.0,2891788175.0,2891561528.0,2891536721.0,2891703042.0,9909217.0,9110168.0,9923055.0,10444140.0,7177919.0,3079711581.0,3171634821.0,3076220505.0,3121654238.0,3116183933.0,1250.0,1088.0,1638.0,938.0,388.0,3112813.0,3152925.0,3238526.0,3449657.0,3075195.0,5985485.0,5243249.0,6177280.0,6051621.0,3901429.0,0.0,0.0,0.0,0.0,0.0,99.0,45.0,106.0,142.0,53.0,0.0,0.0,0.0,0.0,0.0
6,2113.1890070062,2110.4368364158,19.831,9917267189.0,10229302855.0,9925987720.0,10056675625.0,10044280522.0,1962064311.0,2024487102.0,1956379819.0,1991607316.0,1984324692.0,7675813.0,8107469.0,7921719.0,7798096.0,7741644.0,7675718.0,8224034.0,7929266.0,7800829.0,7744833.0,3956.0,1375.0,2021.0,1635.0,1105.0,9167148.0,8406658.0,9440842.0,9567029.0,7012044.0,2891697389.0,2891777636.0,2891780437.0,2891865553.0,2891806747.0,9844684.0,9068459.0,9878366.0,10360358.0,7279670.0,3056942621.0,3148799720.0,3053364333.0,3100909418.0,3097199728.0,1209.0,967.0,1381.0,1237.0,528.0,3062087.0,3128021.0,3213532.0,3386975.0,3079517.0,5981126.0,5275053.0,6210496.0,6077512.0,3831159.0,0.0,0.0,0.0,0.0,0.0,119.0,94.0,140.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2113.0646249362,2110.1469445024,12.851,9795756915.0,10097313807.0,9788315174.0,9947498321.0,9941923047.0,1942898347.0,2004923715.0,1935716364.0,1973754926.0,1968295688.0,7770538.0,8492274.0,7851151.0,7746240.0,7675869.0,7771674.0,8100645.0,7906513.0,7742922.0,7670526.0,1968.0,2023.0,2590.0,1729.0,2467.0,9084413.0,8358946.0,9389539.0,9482339.0,7024877.0,2891625556.0,2891885325.0,2891768575.0,2891920290.0,2891941203.0,9934915.0,9151976.0,9961820.0,10487754.0,7254499.0,3053447237.0,3148712167.0,3052280283.0,3097923153.0,3113459420.0,1288.0,563.0,1263.0,1063.0,375.0,3136148.0,3146932.0,3231816.0,3478102.0,3143721.0,5984863.0,5276722.0,6215058.0,6068274.0,3914061.0,0.0,0.0,0.0,0.0,0.0,75.0,33.0,75.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2113.1889106466,2110.2790603824,8.934,9813415307.0,10118861788.0,9808676497.0,9950235085.0,10151084400.0,1946523242.0,2008440094.0,1938977257.0,1975632332.0,1969361895.0,7765002.0,8050650.0,8039398.0,7745244.0,7691707.0,7762192.0,8053737.0,8037513.0,7745466.0,7694388.0,2701.0,1390.0,2076.0,2055.0,1440.0,9210353.0,8441265.0,9487766.0,9626061.0,7115032.0,2891718275.0,2891909910.0,2891758372.0,2891815031.0,2891921728.0,9944127.0,9152921.0,9951689.0,10480560.0,7301576.0,3076826052.0,3170497511.0,3072916735.0,3119482976.0,3115677841.0,1313.0,700.0,1213.0,1025.0,525.0,3075894.0,3095294.0,3176156.0,3411206.0,3117310.0,5899495.0,5276238.0,6241036.0,5987906.0,3845968.0,0.0,0.0,0.0,0.0,0.0,37.0,65.0,130.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2113.293695527,2109.9967198201,11.344,9724096926.0,10221446959.0,9915416184.0,10068948888.0,10161367788.0,1926568762.0,2022387197.0,1953455479.0,1992161520.0,1985523343.0,7552769.0,8109231.0,7911009.0,7746511.0,7738950.0,7569265.0,8108131.0,7912862.0,7746462.0,7742385.0,1965.0,1691.0,2534.0,24621.0,880.0,9104364.0,8392637.0,9416350.0,9504181.0,7070337.0,2859918440.0,2891528658.0,2891302257.0,2891720253.0,2891820652.0,9815905.0,9128055.0,9904190.0,10352172.0,7230852.0,3038372797.0,3144460120.0,3050640257.0,3121231532.0,3093138986.0,903.0,973.0,1139.0,722.0,1147.0,3179431.0,3081124.0,3163925.0,3525710.0,3140354.0,5889322.0,5159937.0,6083132.0,5974554.0,3958995.0,0.0,0.0,0.0,0.0,0.0,67.0,2175.0,4992.0,208.0,33.0,0.0,0.0,0.0,0.0,0.0
