,input_rate,output_rate,latency,firewall_instructions,nf_router_instructions,ndpi_stats_instructions,payload_scan_instructions,bridge_instructions,firewall_branches,nf_router_branches,ndpi_stats_branches,payload_scan_branches,bridge_branches,firewall_branch-misses,nf_router_branch-misses,ndpi_stats_branch-misses,payload_scan_branch-misses,bridge_branch-misses,firewall_branch-load-misses,nf_router_branch-load-misses,ndpi_stats_branch-load-misses,payload_scan_branch-load-misses,bridge_branch-load-misses,firewall_cache-misses,nf_router_cache-misses,ndpi_stats_cache-misses,payload_scan_cache-misses,bridge_cache-misses,firewall_cache-references,nf_router_cache-references,ndpi_stats_cache-references,payload_scan_cache-references,bridge_cache-references,firewall_cycles,nf_router_cycles,ndpi_stats_cycles,payload_scan_cycles,bridge_cycles,firewall_L1-dcache-load-misses,nf_router_L1-dcache-load-misses,ndpi_stats_L1-dcache-load-misses,payload_scan_L1-dcache-load-misses,bridge_L1-dcache-load-misses,firewall_L1-dcache-loads,nf_router_L1-dcache-loads,ndpi_stats_L1-dcache-loads,payload_scan_L1-dcache-loads,bridge_L1-dcache-loads,firewall_LLC-load-misses,nf_router_LLC-load-misses,ndpi_stats_LLC-load-misses,payload_scan_LLC-load-misses,bridge_LLC-load-misses,firewall_LLC-stores,nf_router_LLC-stores,ndpi_stats_LLC-stores,payload_scan_LLC-stores,bridge_LLC-stores,firewall_LLC-loads,nf_router_LLC-loads,ndpi_stats_LLC-loads,payload_scan_LLC-loads,bridge_LLC-loads
0,434.28547183262,409.85888986895,9.926,9552168536.0,9780943112.0,10077527677.0,10016019371.0,10051055033.0,1901343767.0,1941617321.0,1962713050.0,1991804085.0,1994575642.0,7431654.0,7748271.0,7902398.0,7868949.0,7918116.0,7432097.0,7790294.0,7911374.0,7869159.0,7916098.0,4159.0,4835.0,4467.0,3663.0,3279.0,9124113.0,8614005.0,9373629.0,9169812.0,6800873.0,2893003519.0,2772709904.0,2892897884.0,2892837155.0,2892884421.0,9809408.0,9114930.0,10068035.0,9798783.0,7379829.0,3001428349.0,2999378331.0,3085089064.0,3124846469.0,3153326382.0,1351.0,1238.0,1401.0,1188.0,500.0,3181203.0,3280554.0,3495786.0,2930619.0,2637886.0,5958749.0,5266640.0,6098785.0,6042636.0,4152387.0
1,1996.9437002762,2110.1471683918,7.53,9710957705.0,10131097297.0,10067437526.0,10094151180.0,10192245978.0,1900324550.0,2005029497.0,1979529854.0,1997759479.0,1992442101.0,7435110.0,7983108.0,7940963.0,7773445.0,7798497.0,7439142.0,7982572.0,7940926.0,7772835.0,7798268.0,1880.0,2301.0,1791.0,1345.0,1110.0,9476420.0,8655582.0,9805698.0,9225794.0,7082875.0,2892070590.0,2891847122.0,2892208529.0,2891793822.0,2891858697.0,9851441.0,9215549.0,10099419.0,9766670.0,7444255.0,2958783628.0,3121101389.0,3065854504.0,3107528449.0,3102073773.0,1474.0,1098.0,1709.0,1014.0,542.0,3270532.0,3303633.0,3573451.0,2968230.0,2713044.0,5987721.0,5334649.0,6263022.0,6101030.0,4221702.0
2,2113.2428286317,2109.2017813367,14.055,9655781220.0,10001938268.0,10076849068.0,9955176077.0,10185915147.0,1873910185.0,1986833724.0,1980652134.0,1975630521.0,1974986344.0,7327190.0,7923102.0,8037180.0,7717212.0,8422819.0,7319605.0,7926984.0,8034456.0,7722207.0,8424015.0,2556.0,2176.0,2306.0,1839.0,1434.0,9497340.0,8612645.0,9709495.0,9117193.0,7067454.0,2892033342.0,2891873141.0,2891928027.0,2891897078.0,2892130291.0,9909110.0,9323478.0,10112938.0,9786152.0,7458894.0,2941172857.0,3139138146.0,3069022193.0,3125184210.0,3108405944.0,1345.0,1400.0,1438.0,850.0,685.0,3238713.0,3297948.0,3521313.0,3017572.0,2679960.0,6077594.0,5222294.0,6181421.0,6055563.0,4278246.0
3,2113.0227502318,2109.3034550942,7.648,9711444376.0,10131653974.0,10054977579.0,10096001861.0,10047654705.0,1901677633.0,2005395082.0,1977295850.0,1997016466.0,1964584930.0,7580359.0,7988986.0,7941590.0,7769322.0,7701302.0,7584042.0,7990509.0,7944606.0,7768813.0,7702842.0,1666.0,1555.0,1570.0,1225.0,1070.0,9432461.0,8680788.0,9751895.0,9252782.0,7037154.0,2891954649.0,2891978188.0,2891922060.0,2891782833.0,2851782790.0,9931674.0,9258896.0,10145979.0,9823086.0,7482243.0,2981247275.0,3121186706.0,3088054836.0,3127413351.0,3083850323.0,2817.0,2294.0,3199.0,1677.0,2134.0,3266475.0,3274790.0,3542732.0,3053757.0,2704393.0,6153288.0,5162970.0,6248933.0,6026475.0,4331459.0
4,2112.972319207,2109.0217168153,8.983,9121649836.0,10032140033.0,9915475215.0,10196877835.0,10174506994.0,1800273699.0,1990774903.0,1955789801.0,1983477275.0,2004959376.0,7217762.0,8110108.0,7916578.0,7711698.0,7742713.0,7132439.0,8112456.0,7862117.0,7709450.0,7742543.0,2608.0,2128.0,2425.0,1788.0,1793.0,9266244.0,8554013.0,9671463.0,9231298.0,6931278.0,2515904729.0,2891881338.0,2891722278.0,2891908322.0,2891806231.0,9761113.0,9245514.0,10072086.0,9731780.0,7398414.0,2693027251.0,3139055834.0,3047045320.0,3108891839.0,3105415077.0,2564.0,1451.0,1707.0,1761.0,2309.0,3271888.0,3358038.0,3520770.0,3041791.0,2691053.0,6104753.0,5230575.0,6234788.0,6162336.0,4309259.0
5,2113.0689758741,2109.4767907092,10.362,9720188925.0,10131850079.0,9853047403.0,10198925383.0,10196919713.0,1916126668.0,1985429928.0,1948927751.0,1998105907.0,2007635820.0,7433775.0,7919283.0,8037035.0,7886386.0,7841095.0,7379365.0,7924103.0,7938214.0,7882957.0,7955592.0,2769.0,2553.0,2700.0,2426.0,1718.0,9375077.0,8746265.0,9727093.0,9282355.0,6997351.0,2891822150.0,2891789030.0,2891657803.0,2891701567.0,2891661274.0,9881770.0,9210757.0,10135703.0,9770684.0,7466666.0,2980324975.0,3140064606.0,3087911890.0,3126902861.0,3127782425.0,1888.0,1388.0,1038.0,1300.0,850.0,3263313.0,3382590.0,3518993.0,3056780.0,2701746.0,6157494.0,5193592.0,6247439.0,6168454.0,4328456.0
6,2112.6825797597,2108.7308700592,7.046,9613519920.0,10239849849.0,9959605574.0,10190085085.0,10091697440.0,1901088784.0,2006290210.0,1964054236.0,2011348308.0,1993280646.0,7440440.0,7994282.0,7938021.0,7761016.0,7940234.0,7444584.0,7993593.0,7939010.0,7763026.0,7805701.0,1816.0,1620.0,1645.0,1230.0,2116.0,9427637.0,8747373.0,9759429.0,9261973.0,7044345.0,2891900713.0,2891904366.0,2891901398.0,2891841838.0,2891915211.0,9843077.0,9326351.0,10103450.0,9762938.0,7435513.0,2961794273.0,3116440904.0,3064170681.0,3104589735.0,3106226755.0,2243.0,1491.0,917.0,1750.0,1135.0,3269757.0,3355157.0,3446020.0,3047504.0,2706433.0,6151796.0,5182246.0,6284243.0,6125536.0,4313469.0
7,2113.2053707104,2110.2923019373,7.664,9565824834.0,10212888991.0,9885883265.0,10177750641.0,9992595726.0,1895975506.0,1981051779.0,1953153992.0,2009299473.0,1978535518.0,7707008.0,8089095.0,8031461.0,7694504.0,7845166.0,7473430.0,8098230.0,8032708.0,7689131.0,7731986.0,5068.0,3190.0,3660.0,2740.0,1989.0,9080059.0,8521484.0,9443730.0,8937080.0,6743797.0,2891726572.0,2891939474.0,2891775729.0,2891830340.0,2891840929.0,9553127.0,8962162.0,9922012.0,9512637.0,7187643.0,2975159819.0,3115959299.0,3063178183.0,3104373351.0,3110783612.0,4951.0,2688.0,2338.0,2050.0,638.0,3102732.0,3245120.0,3398624.0,2932350.0,2579696.0,5957988.0,5096619.0,6038799.0,6030730.0,4156922.0
8,2112.8930030917,2110.9354459103,8.79,9599986505.0,10228595072.0,9862861027.0,10062418555.0,9996453402.0,1905713762.0,2018847647.0,1949238549.0,1992007682.0,1979692433.0,7577618.0,7968280.0,7932426.0,7755964.0,7933079.0,7489395.0,7968165.0,7938635.0,7758374.0,7787719.0,6732.0,4451.0,3734.0,3066.0,1805.0,8858671.0,8106814.0,9304199.0,8767871.0,6541431.0,2891751925.0,2891715885.0,2891635451.0,2891732670.0,2891751682.0,9232916.0,8688771.0,9569401.0,9205658.0,6894145.0,3003115440.0,3127320303.0,3098716384.0,3112175200.0,3121944268.0,6878.0,3251.0,2563.0,44947.0,1050.0,2990075.0,3211780.0,3276299.0,2888217.0,2451393.0,5850565.0,5063043.0,5874162.0,5987629.0,4051861.0
9,2113.0457638134,2109.4446823101,10.88,9623704447.0,10224903428.0,9967713742.0,10093927954.0,10088722936.0,1902850850.0,2018494871.0,1964286871.0,1997121892.0,1992672256.0,7441328.0,8106877.0,8060226.0,7764817.0,7799421.0,7442144.0,8107826.0,8062476.0,7716391.0,7800418.0,2200.0,2369.0,1560.0,1535.0,1313.0,9354952.0,8564036.0,9726048.0,9128098.0,6987022.0,2891824166.0,2891922445.0,2891687742.0,2891655531.0,2891748811.0,9810660.0,9248845.0,10064349.0,9788304.0,7392066.0,2932633038.0,3115423867.0,3068038252.0,3104023389.0,3105088723.0,1347.0,2292.0,1320.0,776.0,431.0,3199129.0,3390106.0,3505752.0,3049678.0,2649977.0,6151620.0,5301976.0,6160220.0,6197198.0,4324029.0
