,input_rate,output_rate,latency,firewall_instructions,nf_router_instructions,ndpi_stats_instructions,payload_scan_instructions,bridge_instructions,firewall_branches,nf_router_branches,ndpi_stats_branches,payload_scan_branches,bridge_branches,firewall_branch-misses,nf_router_branch-misses,ndpi_stats_branch-misses,payload_scan_branch-misses,bridge_branch-misses,firewall_branch-load-misses,nf_router_branch-load-misses,ndpi_stats_branch-load-misses,payload_scan_branch-load-misses,bridge_branch-load-misses,firewall_cache-misses,nf_router_cache-misses,ndpi_stats_cache-misses,payload_scan_cache-misses,bridge_cache-misses,firewall_cache-references,nf_router_cache-references,ndpi_stats_cache-references,payload_scan_cache-references,bridge_cache-references,firewall_cycles,nf_router_cycles,ndpi_stats_cycles,payload_scan_cycles,bridge_cycles,firewall_L1-dcache-load-misses,nf_router_L1-dcache-load-misses,ndpi_stats_L1-dcache-load-misses,payload_scan_L1-dcache-load-misses,bridge_L1-dcache-load-misses,firewall_L1-dcache-loads,nf_router_L1-dcache-loads,ndpi_stats_L1-dcache-loads,payload_scan_L1-dcache-loads,bridge_L1-dcache-loads,firewall_LLC-load-misses,nf_router_LLC-load-misses,ndpi_stats_LLC-load-misses,payload_scan_LLC-load-misses,bridge_LLC-load-misses,firewall_LLC-stores,nf_router_LLC-stores,ndpi_stats_LLC-stores,payload_scan_LLC-stores,bridge_LLC-stores,firewall_LLC-loads,nf_router_LLC-loads,ndpi_stats_LLC-loads,payload_scan_LLC-loads,bridge_LLC-loads,firewall_mem-stores,nf_router_mem-stores,ndpi_stats_mem-stores,payload_scan_mem-stores,bridge_mem-stores,firewall_iTLB-loads,nf_router_iTLB-loads,ndpi_stats_iTLB-loads,payload_scan_iTLB-loads,bridge_iTLB-loads,firewall_mem-loads,nf_router_mem-loads,ndpi_stats_mem-loads,payload_scan_mem-loads,bridge_mem-loads,firewall_bus-cycles,nf_router_bus-cycles,ndpi_stats_bus-cycles,payload_scan_bus-cycles,bridge_bus-cycles
0,1036.8183512862,0.0,84.966,1701947.0,2276271636.0,2262534318.0,1978935262.0,2602804820.0,357451.0,421968513.0,438600628.0,390878514.0,506059564.0,5980.0,1631244.0,2561378.0,2503759.0,3263463.0,5980.0,1683941.0,2631787.0,2584148.0,3187787.0,3771.0,8113.0,8816.0,8640.0,2936.0,,25336.0,34439.0,21861.0,45581.0,,651555667.0,652051850.0,579245225.0,703919945.0,,51871.0,3809564.0,52737.0,86111.0,,713642157.0,716283513.0,616752783.0,755230088.0,,628.0,1374.0,491.0,454.0,,962.0,1908.0,879.0,1741.0,,19533.0,29963.0,25895.0,31993.0,,37104867.0,36605884.0,32841501.0,42561461.0,,168.0,337.0,333.0,295.0,,0.0,0.0,0.0,0.0,,46545850.0,54374464.0,48269817.0,58681004.0
1,4647.6550449973,0.0,483.898,1474373923.0,3897967782.0,3047342622.0,3057526136.0,3201850309.0,255946270.0,715095507.0,624284808.0,587726399.0,640314168.0,1063196.0,3411028.0,3166059.0,3054615.0,5074245.0,1006028.0,3836633.0,3009554.0,2927198.0,4500400.0,37463.0,6425.0,25656.0,56476.0,4797.0,3745062.0,4246588.0,5253025.0,7230650.0,4184682.0,641619544.0,1392884719.0,1192842357.0,1186591761.0,1193816350.0,3779729.0,3962712.0,11551617.0,7649930.0,3744625.0,372316502.0,1213261385.0,1004210906.0,949098362.0,1005942535.0,80033.0,4785.0,11752.0,36466.0,1531.0,1021149.0,1203974.0,1567844.0,1286771.0,1419426.0,2695948.0,2666529.0,4067050.0,4703012.0,2341532.0,36445928.0,74895658.0,112575913.0,65860156.0,66181673.0,477.0,475.0,1081.0,1374.0,734.0,0.0,0.0,0.0,0.0,0.0,45838767.0,99494145.0,99406645.0,98891141.0,99496467.0
2,4815.9494933954,2482.9867617684,25.072,3826042962.0,3119682581.0,2773416351.0,2576024628.0,2817994207.0,722997742.0,611738982.0,561635140.0,512117116.0,540161659.0,5160321.0,2984789.0,4310413.0,3894860.0,4248465.0,4772904.0,3051592.0,4400142.0,3919402.0,4036294.0,15825.0,9981.0,9618.0,30547.0,3880.0,12599526.0,10824700.0,13068813.0,14834694.0,8564090.0,1665838837.0,1391234883.0,1323741991.0,1175399489.0,1268128558.0,13220071.0,11031460.0,14761606.0,15993808.0,8475878.0,1104408554.0,966314557.0,862252021.0,793225592.0,831297547.0,12943.0,7775.0,8968.0,27104.0,2889.0,3939473.0,3334380.0,3893596.0,3783833.0,3169812.0,8468735.0,6973865.0,9454491.0,11022938.0,5125059.0,94324226.0,77617173.0,187741511.0,78668527.0,71870631.0,1463.0,1300.0,2732.0,1319.0,1028.0,0.0,0.0,0.0,0.0,0.0,99439231.0,99405103.0,99231676.0,97927861.0,98500255.0
3,4841.5087671167,4823.7085446283,557.968,3162412270.0,3157124419.0,2636567834.0,2673156222.0,3967308999.0,626755765.0,612922934.0,519801002.0,528330551.0,780764588.0,6085113.0,3001107.0,3192946.0,4734726.0,5228666.0,5330033.0,2888091.0,3124458.0,4257219.0,5100205.0,13321.0,9943.0,8708.0,45318.0,5609.0,13246854.0,10413857.0,13913874.0,14721032.0,8717126.0,1578954948.0,1380832794.0,1314841332.0,1186734856.0,1658032575.0,13627302.0,10990679.0,14957815.0,16167961.0,9036673.0,1080551604.0,910526102.0,850843982.0,803979727.0,1123939390.0,12772.0,8285.0,9301.0,27524.0,3291.0,4079474.0,3757419.0,4160031.0,3745637.0,3261558.0,8827153.0,7174118.0,9964560.0,11223017.0,5305349.0,83096109.0,81551433.0,187796064.0,80018499.0,89025329.0,2213.0,1786.0,2816.0,1478.0,1078.0,0.0,0.0,0.0,0.0,0.0,99339191.0,99305461.0,98634745.0,98040954.0,98583957.0
4,4887.6539189186,4849.9873669992,15000.0,2462808584.0,2507079506.0,2470937363.0,2565694463.0,3595035989.0,512320511.0,524107770.0,469304243.0,506249910.0,697802298.0,3730605.0,2843863.0,2854624.0,3016349.0,5641065.0,3456154.0,2851375.0,3045345.0,3189084.0,5922624.0,11075.0,8523.0,8790.0,24967.0,4910.0,12786785.0,10238006.0,13503370.0,14535977.0,8523514.0,1192259884.0,1192370135.0,1395622070.0,1185579153.0,1738535431.0,13413230.0,11015891.0,14527496.0,15694103.0,8600430.0,742564896.0,813961082.0,801469348.0,773105623.0,1167397343.0,10901.0,7708.0,8673.0,25003.0,3727.0,3937226.0,3427347.0,3828571.0,3714929.0,3161247.0,9357946.0,6875466.0,9079455.0,11074770.0,5018143.0,70459355.0,65274792.0,185957006.0,79355613.0,83173032.0,1445.0,1403.0,2194.0,1530.0,915.0,0.0,0.0,0.0,0.0,0.0,99354924.0,99372367.0,99389001.0,98797673.0,99469380.0
5,4823.3698366272,4793.2297088982,15000.0,2160796382.0,2443919316.0,2178092754.0,2057519389.0,2731747056.0,439086145.0,525700941.0,454261580.0,468213639.0,514257129.0,3083832.0,4028300.0,3087453.0,4462978.0,6839806.0,2877228.0,4270421.0,3805721.0,4469832.0,6435504.0,10063.0,6931.0,9740.0,28981.0,3869.0,10770650.0,7911541.0,10663103.0,12038510.0,6378190.0,1407772686.0,1541324118.0,1520497272.0,1518577703.0,1639030342.0,11137619.0,8319901.0,11704957.0,12777246.0,6777830.0,663846420.0,681775960.0,696726538.0,820109347.0,816290017.0,8177.0,6099.0,9434.0,23842.0,2607.0,3150501.0,2792232.0,2897198.0,2615752.0,2240470.0,7320594.0,5497339.0,8079248.0,9695331.0,3507130.0,62854878.0,64307390.0,146639557.0,57084761.0,64256057.0,2025.0,1652.0,2791.0,4382.0,2072.0,0.0,0.0,0.0,0.0,0.0,98847262.0,98864512.0,97908561.0,95420103.0,99416507.0
6,4311.0710934538,3657.1929314854,30.448,3293433833.0,4206789928.0,2712208084.0,3645343143.0,3300750498.0,684231891.0,803805736.0,555919027.0,742682527.0,635603494.0,5589752.0,6121576.0,4365414.0,5646489.0,5904672.0,6396132.0,6318752.0,4535948.0,4809675.0,5533116.0,10507.0,6404.0,8859.0,37191.0,4404.0,11725721.0,8711261.0,11365539.0,12560074.0,8195506.0,2189411902.0,2226211432.0,1608366218.0,2014273865.0,1712180279.0,12493870.0,9621057.0,13457245.0,14757642.0,8003955.0,1192548922.0,1327983081.0,803160514.0,1145475200.0,761409225.0,7922.0,8720.0,7309.0,32842.0,3134.0,3362267.0,3192829.0,3726099.0,3319047.0,2772374.0,6883720.0,5945965.0,7913470.0,9475616.0,4683921.0,80857404.0,91652188.0,170024829.0,92811272.0,78731702.0,2379.0,3375.0,5426.0,4165.0,1743.0,0.0,0.0,0.0,0.0,0.0,99843563.0,98513135.0,98396077.0,97026930.0,98544327.0
7,4501.260163209,4207.8482930993,137.197,5112710663.0,6413871845.0,3804251398.0,4172132893.0,4027266017.0,980015546.0,1337984978.0,755162224.0,841524173.0,773861272.0,6445791.0,7574642.0,4556978.0,5539590.0,5493129.0,5960923.0,7612784.0,4463660.0,6011250.0,5416477.0,8541.0,8097.0,7087.0,22676.0,4524.0,14547472.0,12403580.0,15589959.0,16968423.0,9952036.0,2192270261.0,2590149243.0,1592321759.0,1687085102.0,1592452734.0,15292872.0,13108455.0,17184701.0,18557653.0,10609256.0,1533235145.0,2037246312.0,1218430547.0,1325538844.0,1190249562.0,7428.0,7122.0,6603.0,23553.0,3094.0,4749929.0,4232180.0,5010227.0,4391187.0,3861312.0,10219464.0,8649408.0,10287166.0,12160824.0,6732015.0,118510290.0,134416645.0,217759522.0,109012572.0,95041582.0,1292.0,658.0,1739.0,1792.0,783.0,0.0,0.0,0.0,0.0,0.0,99640963.0,99627403.0,99524019.0,99250732.0,99535136.0
8,5020.4323571218,5022.7667274379,28.263,5134856923.0,5063292758.0,3246014715.0,3460846588.0,3885346288.0,996752663.0,966207651.0,640313474.0,698615297.0,777624396.0,5416622.0,6229194.0,4404553.0,5006798.0,4964932.0,5286294.0,5849689.0,4060871.0,4570651.0,4686803.0,8660.0,8582.0,7474.0,23684.0,3981.0,15184011.0,12375644.0,15168613.0,16880135.0,10578661.0,2189033984.0,1948596625.0,1371745301.0,1410896768.0,1591031643.0,15606640.0,12674951.0,16651392.0,18148969.0,10508196.0,1579741242.0,1518896970.0,1012905799.0,1075191009.0,1176160652.0,12127.0,7377.0,7827.0,20864.0,2497.0,4612291.0,4341673.0,5066119.0,4495712.0,3666256.0,9611234.0,8503796.0,10214127.0,12395827.0,6193497.0,122159029.0,114863591.0,203736625.0,95143013.0,91019261.0,1935.0,1344.0,3342.0,2796.0,914.0,0.0,0.0,0.0,0.0,0.0,99529409.0,99415809.0,99361722.0,98971056.0,99426200.0
9,5008.8261969657,5012.027087412,326.349,3354501384.0,2728538275.0,2487919029.0,2615847170.0,3714338492.0,640326460.0,547082673.0,486230904.0,525284830.0,722381032.0,3592944.0,3018309.0,2881016.0,3249285.0,6008327.0,3455550.0,2993428.0,3109312.0,3761669.0,5387923.0,8303.0,6695.0,6984.0,19471.0,15802.0,14028773.0,11351902.0,14500883.0,16131376.0,9291744.0,1525435316.0,1183134749.0,1192488693.0,1189755838.0,1576874600.0,14550608.0,11536963.0,15572133.0,17178556.0,9524280.0,994498320.0,831104775.0,789027657.0,818136547.0,1124347412.0,8329.0,48062.0,78888.0,18204.0,4831.0,4509879.0,3891624.0,4459382.0,4012404.0,3432247.0,9377531.0,7351018.0,9924718.0,11584782.0,5674401.0,92490560.0,74511110.0,186394987.0,79374169.0,88306609.0,1671.0,1135.0,1940.0,1509.0,754.0,0.0,0.0,0.0,0.0,0.0,99529079.0,98582556.0,99355423.0,99131330.0,98583730.0
