Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1680175409,Device: id=0,TX,0.53378520338279,1510.3329021748,1595.738534716,533810,188803842
1680175410,Device: id=0,TX,1.7282630487047,4889.3578168474,5165.8799046402,2262089,799979210
1680175411,Device: id=0,TX,1.7573092610653,4972.2262932179,5253.3957749884,4019399,1421507758
1680175412,Device: id=0,TX,1.7568682516438,4970.6797027281,5251.7786229911,5776296,2042852888
1680175413,Device: id=0,TX,1.756011995701,4972.0912043295,5253.0531236416,7532339,2664375262
1680175414,Device: id=0,TX,1.7589291873213,4970.3135390352,5251.7422090066,9291317,3285681696
1680175415,Device: id=0,TX,1.7560693580867,4969.8070373913,5250.7781346852,11047440,3906926552
1680175416,Device: id=0,TX,1.7599274885576,4972.9853476632,5254.5737458324,12807420,4528568268
1680175417,Device: id=0,TX,1.7626999576852,4990.4730163918,5272.5050096214,14570158,5152390858
1680175418,Device: id=0,TX,1.7982350835874,5082.3385925365,5370.0562059105,16368433,5787697284
1680175419,Device: id=0,TX,1.7980200899847,5079.7315462749,5367.4147606725,18166497,6422679234
1680175420,Device: id=0,TX,1.7988885361412,5082.765803723,5370.5879695056,19965427,7058039604
1680175421,Device: id=0,TX,1.7970462469302,5085.5974009757,5373.1248004846,21762480,7693741668
1680175422,Device: id=0,TX,1.7960755255499,5089.0132225182,5376.3853066062,23558608,8329886906
1680175423,Device: id=0,TX,1.8014895425851,5085.1789003197,5373.4172271333,25360117,8965541134
1680175424,Device: id=0,TX,1.7968822712135,5082.6629909076,5370.1641543018,27157046,9600890530
1680175425,Device: id=0,TX,1.7990042184023,5082.4622166638,5370.3028916082,28956085,10236210590
1680175426,Device: id=0,TX,1.7959051074427,5080.1567186145,5367.5015358053,30752024,10871242164
1680175427,Device: id=0,TX,1.9625351534646,5551.1123039148,5865.1179284691,32714563,11565132562
1680175428,Device: id=0,TX,2.8264762355932,7995.677450104,8447.9136477989,35541110,12564617266
1680175429,Device: id=0,TX,2.8243100065093,7990.2451119837,8442.1347130252,38365466,13563414170
1680175430,Device: id=0,TX,2.8226531918788,7988.9830089939,8440.6075196945,41188158,14562050776
1680175431,Device: id=0,TX,2.8278094581808,7995.3985391903,8447.8480524992,44015994,15561484974
1680175432,Device: id=0,TX,2.8260726741572,7994.1968424725,8446.3684703376,46842127,16560780910
1680175433,Device: id=0,TX,2.8286084077397,8001.8720416581,8454.4493868964,49670748,17561019368
1680175434,Device: id=0,TX,2.8295983989176,7996.2719055199,8449.0076493467,52500382,18560565932
1680175435,Device: id=0,TX,2.8258265083776,7993.2566907044,8445.3889320449,55326238,19559733446
1680175436,Device: id=0,TX,2.8266781346896,7994.6137056787,8446.882207229,58152928,20559064354
1680175437,Device: id=0,TX,2.4051032351158,6801.50170248,7186.3182200985,60558208,21409314552
1680175438,Device: id=0,TX,0.24897874490131,707.00312146686,746.83972065107,60807264,21497717364
1680175439,Device: id=0,TX,0.24969449277952,707.01504410208,746.9661629468,61056993,21586106458
1680175440,Device: id=0,TX,0.2495035679302,706.99190707502,746.91247794385,61306530,21674492288
1680175441,Device: id=0,TX,0.25013336843457,707.00354459861,747.02488354814,61556708,21762883500
1680175442,Device: id=0,TX,0.24901546795647,707.00310749071,746.84558236374,61805796,21851284630
1680175443,Device: id=0,TX,0.25037229121295,707.00728124702,747.06684784109,62056230,21939682322
1680175444,Device: id=0,TX,0.2498961133643,706.9955089411,746.97888707939,62306150,22028065208
1680175445,Device: id=0,TX,0.24878914201533,707.0067820841,746.81304480655,62554951,22116445268
1680175446,Device: id=0,TX,0.25023763361818,707.00659814246,747.04461952137,62805194,22204822988
1680175447,Device: id=0,TX,0.51488412082952,1459.3780027551,1541.7594620879,63320093,22387250510
1680175448,Device: id=0,TX,1.8607314971851,5266.5587325566,5564.2757721062,65180842,23045576544
1680175449,Device: id=0,TX,1.8646391116918,5266.098340537,5564.4405984077,67045517,23703851506
1680175450,Device: id=0,TX,1.8620624339161,5268.11089318,5566.0408826066,68907659,24362393506
1680175451,Device: id=0,TX,1.863580469067,5267.5570361243,5565.729911175,70771280,25020852456
1680175452,Device: id=0,TX,1.8610602240334,5265.3452557327,5563.114891578,72632368,25679030436
1680175453,Device: id=0,TX,1.8651370068801,5267.523113749,5565.9450348499,74497553,26337487768
1680175454,Device: id=0,TX,1.8594476023311,5268.4168933624,5565.9285097354,76357010,26996043208
1680175455,Device: id=0,TX,1.8642406494461,5269.325074418,5567.6035783294,78221298,27654725572
1680175456,Device: id=0,TX,1.8619819357302,5265.7741485646,5563.6912582815,80083315,28312959736
1680175457,Device: id=0,TX,1.9247352742662,5443.6653420844,5751.622985967,82008086,28993430534
1680175458,Device: id=0,TX,2.2398737919124,6334.642944004,6693.0227507099,84247988,29785270874
1680175459,Device: id=0,TX,2.241939590107,6333.905463661,6692.6157980781,86489977,30577026506
1680175460,Device: id=0,TX,2.2382479429411,6333.1730229644,6691.2926938349,88728251,31368682350
1680175461,Device: id=0,TX,2.2381537912571,6332.5013529798,6690.6059595809,90966456,32160263130
1680175462,Device: id=0,TX,2.2378574493008,6330.5359770241,6688.5931689122,93204344,32951590930
1680175463,Device: id=0,TX,2.2408114515802,6336.5950936664,6695.1249259193,95445180,33743673994
1680175464,Device: id=0,TX,2.2388555216037,6333.3453777878,6691.5622612444,97684090,34535361430
1680175465,Device: id=0,TX,2.2366617923904,6330.5364705383,6688.4023573207,99920763,35326682454
1680175466,Device: id=0,TX,2.2393456759731,6330.4601756456,6688.7554838013,102160157,36118007052
1680175467,Device: id=0,TX,1.9188048423013,5429.8195334369,5736.8283082051,104079134,36796795390
1680175468,Device: id=0,TX,0.29792346725746,842.02724635874,889.69500111993,104377089,36902059936
1680175469,Device: id=0,TX,0.29729084674478,842.03257087436,889.59910635353,104674434,37007333180
1680175470,Device: id=0,TX,0.29774955038661,842.02420082048,889.66412888234,104972192,37112589192
1680175471,Device: id=0,TX,0.29749037391633,842.02505223223,889.62351205884,105269729,37217858820
1680175472,Device: id=0,TX,0.29690482379142,842.04157461942,889.54634642605,105566659,37323122942
1680175473,Device: id=0,TX,0.29739155126175,842.02491620119,889.60756440307,105864068,37428382232
1680175474,Device: id=0,TX,0.29797992929086,842.02555307387,889.70234176041,106162052,37533636864
1680175475,Device: id=0,TX,0.29817573057832,842.03331121683,889.74142810936,106460229,37638891476
1680175476,Device: id=0,TX,0.29677953434549,842.02159373913,889.50631923441,106757030,37744151788
1680175477,Device: id=0,TX,0.54815073642165,1548.4181666035,1636.1222844309,107305192,37937708036
1680175478,Device: id=0,TX,1.8026630224033,5101.7678344507,5390.1939180352,109107878,38575437144
1680175479,Device: id=0,TX,1.8024316157725,5102.1174443155,5390.5065028391,110910313,39213203022
1680175480,Device: id=0,TX,1.8040703478941,5101.2314150668,5389.8826707299,112714445,39850878740
1680175481,Device: id=0,TX,1.8049417008731,5103.562157861,5392.3528300006,114519404,40488830124
1680175482,Device: id=0,TX,1.7995590459084,5097.7299462973,5385.6593936426,116318994,41126057328
1680175483,Device: id=0,TX,1.8067371829474,5103.6786662126,5392.7566154842,118125774,41764032280
1680175484,Device: id=0,TX,1.8068618407316,5101.9226516777,5391.0205461948,119932695,42401793492
1680175485,Device: id=0,TX,1.8035654275532,5101.1928203662,5389.7632887747,121736303,43039457646
