,firewall_instructions,nf_router_instructions,ndpi_stats_instructions,payload_scan_instructions,bridge_instructions,firewall_branches,nf_router_branches,ndpi_stats_branches,payload_scan_branches,bridge_branches,firewall_branch-misses,nf_router_branch-misses,ndpi_stats_branch-misses,payload_scan_branch-misses,bridge_branch-misses,firewall_branch-load-misses,nf_router_branch-load-misses,ndpi_stats_branch-load-misses,payload_scan_branch-load-misses,bridge_branch-load-misses,firewall_cache-misses,nf_router_cache-misses,ndpi_stats_cache-misses,payload_scan_cache-misses,bridge_cache-misses,firewall_cache-references,nf_router_cache-references,ndpi_stats_cache-references,payload_scan_cache-references,bridge_cache-references,firewall_cycles,nf_router_cycles,ndpi_stats_cycles,payload_scan_cycles,bridge_cycles,firewall_L1-dcache-load-misses,nf_router_L1-dcache-load-misses,ndpi_stats_L1-dcache-load-misses,payload_scan_L1-dcache-load-misses,bridge_L1-dcache-load-misses,firewall_L1-dcache-loads,nf_router_L1-dcache-loads,ndpi_stats_L1-dcache-loads,payload_scan_L1-dcache-loads,bridge_L1-dcache-loads,firewall_LLC-load-misses,nf_router_LLC-load-misses,ndpi_stats_LLC-load-misses,payload_scan_LLC-load-misses,bridge_LLC-load-misses,firewall_LLC-stores,nf_router_LLC-stores,ndpi_stats_LLC-stores,payload_scan_LLC-stores,bridge_LLC-stores,firewall_LLC-loads,nf_router_LLC-loads,ndpi_stats_LLC-loads,payload_scan_LLC-loads,bridge_LLC-loads,input_rate,output_rate,latency
0,19689.0,19801.0,4780.0,19357.0,19724.0,3683.0,3697.0,952.0,3611.0,3691.0,362.0,355.0,169.0,345.0,351.0,362.0,355.0,169.0,345.0,351.0,67.0,131.0,62.0,182.0,116.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,130.22713098494,0.0,N/A
1,4801.0,20649.0,4817.0,167182.0,19850.0,957.0,3845.0,961.0,36046.0,3719.0,147.0,320.0,157.0,1485.0,369.0,147.0,320.0,157.0,1485.0,369.0,43.0,37.0,30.0,967.0,89.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,205.69324453094,0.0,N/A
2,239696.0,357344.0,2079899.0,2670091.0,329430.0,48467.0,72053.0,1913127.0,396413.0,65417.0,2822.0,4466.0,56728.0,6928.0,3921.0,2822.0,4466.0,48091.0,6928.0,3921.0,1497.0,1825.0,9249.0,3381.0,1371.0,N/A,N/A,48140.0,9247.0,N/A,N/A,N/A,28389488.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,211.39547384068,0.0,N/A
3,1688313.0,7941717.0,1134568783.0,2835768536.0,981041628.0,355352.0,32946569.0,202483475.0,582880036.0,166923893.0,4989.0,94564.0,806078.0,3131484.0,1240175.0,4989.0,124061.0,1028097.0,2794799.0,1173061.0,4744.0,1678.0,6763.0,9703.0,3760.0,N/A,7113.0,47320.0,63642.0,13446.0,N/A,90667808.0,507773186.0,901158112.0,293251244.0,N/A,7475.0,62688.0,108879.0,24146.0,N/A,N/A,485157969.0,813141440.0,315962552.0,N/A,N/A,173.0,1378.0,227.0,N/A,N/A,1529.0,4013.0,696.0,N/A,N/A,20653.0,70618.0,17051.0,211.27332412405,0.0,N/A
4,9070983.0,1562634144.0,9024334397.0,9216764584.0,8654731696.0,3346292.0,290393879.0,1765789105.0,1812851522.0,1691568537.0,10969.0,2689202.0,10689256.0,9094337.0,9930538.0,54856.0,2595474.0,10397660.0,9413701.0,9408550.0,88305.0,35870.0,1856.0,37271.0,4703.0,296957.0,417306.0,206136.0,649628.0,259251.0,168580063.0,575072372.0,2891219525.0,2889460047.0,2739576135.0,76864.0,111265.0,1016542.0,245248.0,322988.0,169390270.0,561554176.0,2794960917.0,2784379110.0,2589912849.0,546.0,181.0,2443.0,18878.0,1705.0,19462.0,1275.0,28328.0,67132.0,36516.0,38198.0,20743.0,168539.0,226439.0,281907.0,211.30172914352,0.0,N/A
5,3312122706.0,62343233.0,3730516183.0,1818398649.0,2358044656.0,626921782.0,20527938.0,775464306.0,463766247.0,537867999.0,5919806.0,433005.0,7363831.0,7039948.0,10414708.0,5764518.0,907752.0,7750323.0,7939801.0,9406414.0,9069.0,28220.0,12771.0,16397.0,7974.0,829601.0,397621.0,1012031.0,666274.0,786546.0,2596179037.0,535697721.0,2787600957.0,2683703667.0,2646796153.0,1322147.0,726149.0,1242891.0,1143582.0,954539.0,936669219.0,261530510.0,848331973.0,833706587.0,680902978.0,8091.0,3818.0,6225.0,6803.0,6072.0,152280.0,103398.0,124344.0,251201.0,113968.0,787722.0,194725.0,897710.0,754494.0,531141.0,211.30610875254,99.290387673767,N/A
6,7770763381.0,1794702060.0,7032696214.0,8373190923.0,8107088759.0,1543218588.0,370054116.0,1419718997.0,1661290344.0,1596181920.0,9434580.0,2469814.0,8668965.0,11404381.0,11710468.0,9310546.0,2213990.0,8221310.0,9702596.0,11923990.0,10264.0,6420.0,7760.0,28651.0,3551.0,974237.0,299887.0,1061629.0,783299.0,600970.0,2798069793.0,539506491.0,2909974148.0,2940305561.0,2898723162.0,1192267.0,376732.0,1184480.0,1195249.0,707048.0,2246498017.0,275316285.0,2256086134.0,2572953369.0,2746108465.0,8069.0,73034.0,5742.0,95087.0,2817.0,213766.0,143629.0,196772.0,166373.0,77488.0,647992.0,423355.0,674333.0,427444.0,356086.0,209.59172703973,135.26889672667,N/A
7,8829212853.0,1893480038.0,8891873692.0,7797215807.0,9417331423.0,1794892021.0,388879654.0,1724941127.0,1588611082.0,1811817839.0,9309525.0,1370580.0,9684945.0,10472409.0,13274317.0,9728779.0,1412565.0,9448035.0,9155370.0,13478714.0,10240.0,6169.0,6759.0,53741.0,3520.0,1190011.0,438639.0,1345845.0,885122.0,579180.0,2891495826.0,571379125.0,2886570899.0,2890112590.0,2862243055.0,2656851.0,494518.0,1567978.0,1054863.0,654278.0,2862428889.0,504773598.0,2760767151.0,2489457354.0,2828281209.0,9587.0,43302.0,6110.0,2550.0,2614.0,294569.0,136470.0,260919.0,273255.0,91554.0,847395.0,336777.0,828671.0,595802.0,279742.0,208.10485980857,240.74238030681,N/A
8,7044473241.0,5432237311.0,7648858841.0,5201007876.0,6934698026.0,1462630598.0,1040168359.0,1516995093.0,1071640346.0,1353817369.0,7994509.0,7111030.0,7316836.0,5670866.0,9586784.0,7739223.0,7320271.0,7738189.0,6193905.0,7996107.0,25208.0,92553.0,30878.0,199195.0,5809.0,2473975.0,1949709.0,3162995.0,3071592.0,1511113.0,2878019909.0,2654833947.0,2880432878.0,2809586801.0,2860474732.0,5089899.0,2334268.0,3785834.0,3720883.0,2142075.0,2097754139.0,2042878798.0,2394910529.0,1611182882.0,2403465006.0,28143.0,53028.0,14081.0,210862.0,4348.0,503447.0,510803.0,510839.0,556851.0,588000.0,1734059.0,1549846.0,2075597.0,2339516.0,1036404.0,675.96321396404,220.05024206429,N/A
9,8132593252.0,8250034913.0,7870457794.0,7088701775.0,8720548518.0,1632172715.0,1646947313.0,1533687225.0,1378960735.0,1763797806.0,9653877.0,8770056.0,8304953.0,7496735.0,8044267.0,9235893.0,7872625.0,10102834.0,7163131.0,9796796.0,16869.0,4240.0,43978.0,204244.0,4027.0,2676160.0,2373861.0,3252603.0,3564872.0,1708274.0,2859152870.0,2875920985.0,2876979995.0,2850675037.0,2856812682.0,6770385.0,2571127.0,3760948.0,4025009.0,1872143.0,2585380934.0,2340439325.0,2587675141.0,2228058645.0,2653357032.0,13222.0,3753.0,12764.0,235449.0,63009.0,616907.0,615378.0,651428.0,686495.0,619716.0,1816884.0,1509822.0,2502365.0,2843189.0,968604.0,1860.8374548796,786.90202037159,N/A
