Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1677494290,Device: id=1,RX,0,0,0,0,0
1677494291,Device: id=1,RX,0,0,0,0,0
1677494292,Device: id=1,RX,6.6010274833115,3590.9648709102,4647.1292682401,6601040,448871460
1677494293,Device: id=1,RX,9.8351913171241,5350.3505404717,6923.9811512115,16436298,1117669812
1677494294,Device: id=1,RX,9.8819732472118,5375.7873985118,6956.9031180657,26318318,1789646416
1677494295,Device: id=1,RX,9.5587176102036,5199.9434039448,6729.3382215774,35877091,2439643108
1677494296,Device: id=1,RX,9.8804783887748,5374.9856194725,6955.8621616765,45757608,3111518936
1677494297,Device: id=1,RX,9.8780142990731,5373.6397146961,6954.1220025478,55635677,3783227620
1677494298,Device: id=1,RX,9.8853768956808,5377.6460552489,6959.3063585578,65521068,4455434336
1677494299,Device: id=1,RX,9.9179735596274,5395.3775524376,6982.253321978,75439089,5129859756
1677494300,Device: id=1,RX,9.9176827359444,5395.2400802636,6982.0693180147,85356815,5804267708
1677494301,Device: id=1,RX,9.9081041339055,5389.9819289062,6975.2785903311,95264942,6478017004
1677494302,Device: id=1,RX,9.0913462515305,4945.6918168347,6400.3072170796,104356323,7096230844
1677494303,Device: id=1,RX,9.8540918987194,5360.6270169032,6937.2817206984,114210416,7766309296
1677494304,Device: id=1,RX,9.9396702995818,5407.1805789726,6997.5278269057,124150100,8442207800
1677494305,Device: id=1,RX,9.9568360911647,5416.5198575909,7009.6136321773,134106962,9119274544
1677494306,Device: id=1,RX,9.9581679175208,5417.2411071376,7010.5479739409,144065158,9796431592
1677494307,Device: id=1,RX,9.9590961814633,5417.7482587162,7011.2036477503,154024278,10473651744
1677494308,Device: id=1,RX,9.3776217250807,5101.4288744299,6601.8483504428,163401949,11111333704
1677494309,Device: id=1,RX,6.9051852696144,3756.4201786734,4861.2498218117,170307170,11580888656
1677494310,Device: id=1,RX,6.9023978180746,3754.9048930306,4859.2885439225,177209596,12050253684
1677494311,Device: id=1,RX,6.6879978165502,3638.2734682028,4708.3531188508,183897595,12505037948
1677494312,Device: id=1,RX,6.8716848406628,3738.1937693445,4837.6633438506,190769339,12972316192
1677494313,Device: id=1,RX,6.9109428949739,3759.5555908546,4865.3064540505,197680311,13442262620
1677494314,Device: id=1,RX,6.9136263011892,3761.0120998489,4867.1923080391,204593959,13912390608
1677494315,Device: id=1,RX,6.9114722026047,3759.84027022,4865.6758226368,211505466,14382373008
1677494316,Device: id=1,RX,6.9137222167314,3761.0664538881,4867.2620085651,218419249,14852510448
1677494317,Device: id=1,RX,6.9156050706078,3762.0885504136,4868.5853617108,225334888,15322773824
1677494318,Device: id=1,RX,7.4778974147217,4067.9783055974,5264.4418919529,232812825,15831273804
1677494319,Device: id=1,RX,9.9984285570405,5439.1472470259,7038.8958161524,242811273,16511168532
1677494320,Device: id=1,RX,9.424597307966,5126.9814155329,6634.9169848074,252235883,17152042072
1677494321,Device: id=1,RX,10.085113918847,5486.302451852,7099.9206788675,262321017,17837831244
1677494322,Device: id=1,RX,9.6597162829032,5254.8828739056,6800.4374791701,271980755,18494693080
1677494323,Device: id=1,RX,9.6325408052558,5240.1059420564,6781.3124708973,281613303,19149706812
1677494324,Device: id=1,RX,9.9962020844844,5437.9344139593,7037.3267474768,291609510,19829448948
1677494325,Device: id=1,RX,9.9835592800726,5431.0572723573,7028.4267571689,301593091,20508332584
1677494326,Device: id=1,RX,10.001356930535,5440.7381062113,7040.9552150969,311594494,21188427980
1677494327,Device: id=1,RX,9.9810230048182,5429.6769946205,7026.6406753914,321575530,21867138488
1677494328,Device: id=1,RX,9.6011161358855,5223.0076579209,6759.1862396626,331176663,22520015592
1677494329,Device: id=1,RX,8.1808043966053,4450.358071751,5759.2867752078,339357507,23076313044
1677494330,Device: id=1,RX,8.4857812066669,4616.2654564258,5973.9904494925,347843307,23653347504
1677494331,Device: id=1,RX,8.4827461380717,4614.6111151129,5971.8504972044,356326059,24230174292
1677494332,Device: id=1,RX,8.3770449013624,4557.1161703326,5897.4433545506,364703123,24799815112
1677494333,Device: id=1,RX,8.4922619199889,4619.7909644711,5978.5528716693,373195435,25377292388
1677494334,Device: id=1,RX,8.5041885817771,4626.2790684843,5986.9492415687,381699667,25955580224
1677494335,Device: id=1,RX,8.4985870956624,4623.2313160406,5983.0052513466,390198295,26533486920
1677494336,Device: id=1,RX,8.4934213205374,4620.4195023735,5979.3669136595,398691722,27111039744
1677494337,Device: id=1,RX,8.4997774451691,4623.8821301673,5983.8465213943,407191512,27689025864
1677494338,Device: id=1,RX,8.7649131804783,4768.1132501789,6170.4993590554,415956449,28285041640
1677494339,Device: id=1,RX,10.035633887182,5459.3853146264,7065.0867365755,425992093,28967465492
1677494340,Device: id=1,RX,9.3560718441444,5089.7035632141,6586.6750582773,435348173,29603678992
1677494341,Device: id=1,RX,10.022391151003,5452.1812661436,7055.7638503041,445370610,30285204768
1677494342,Device: id=1,RX,9.9992146886403,5439.5738146177,7039.4481648002,455369850,30965153216
1677494343,Device: id=1,RX,9.7424948443803,5299.9138673443,6858.7130424452,465112349,31627642732
1677494344,Device: id=1,RX,10.0777925597,5482.322896468,7094.76970602,475190166,32312934756
1677494345,Device: id=1,RX,10.05408848415,5469.422439392,7078.076596856,485244339,32996618308
1677494346,Device: id=1,RX,10.028821435771,5455.6815170567,7060.29294678,495273170,33678579148
1677494347,Device: id=1,RX,9.9983083896644,5439.0791559787,7038.808498325,505271498,34358465376
1677494348,Device: id=1,RX,10.028777734359,5455.6566554805,7060.2610929779,515300345,35040427168
1677494349,Device: id=1,RX,9.6878794947996,5270.2069251692,6820.2676443371,524988261,35699205516
1677494350,Device: id=1,RX,10.005304841401,5442.8863137209,7043.735088345,534993588,36379567812
1677494351,Device: id=1,RX,10.040535418977,5462.0501159276,7068.5357829639,545034160,37062326564
1677494352,Device: id=1,RX,10.051022870312,5467.7553534503,7075.9190127002,555085188,37745796332
1677494353,Device: id=1,RX,9.5872562670884,5215.4695212902,6749.4305240243,564672471,38397731840
1677494354,Device: id=1,RX,10.031362518153,5457.0627778695,7062.0807807741,574703871,39079867236
1677494355,Device: id=1,RX,10.081388854539,5484.2760168691,7097.2982335954,584785261,39765401816
1677494356,Device: id=1,RX,8.9411012769578,4863.9563106762,6294.5325149894,593726398,40373398784
1677494357,Device: id=1,RX,10.06942910133,5477.7731750947,7088.8818313074,603795904,41058125660
1677494358,Device: id=1,RX,8.5553370731989,4654.1011278291,6022.9550595409,612351275,41639890608
1677494359,Device: id=1,RX,2.30447668625,1253.6357973193,1622.3520671193,614655755,41796595308
1677494360,Device: id=1,RX,2.3036830103824,1253.204037642,1621.7933193032,616959467,41953247784
1677494361,Device: id=1,RX,2.3040498007351,1253.4035715898,1622.0515397075,619263565,42109926508
1677494362,Device: id=1,RX,2.3039327254515,1253.340426645,1621.9696627173,621567499,42266594148
1677494363,Device: id=1,RX,2.2979196898296,1250.0682472674,1617.7353976401,623865423,42422852972
1677494364,Device: id=1,RX,2.3044845408877,1253.6395262446,1622.3570527867,626169969,42579562092
1677494365,Device: id=1,RX,2.3037640836292,1253.2481414918,1621.8503948725,628473745,42736218920
1677494366,Device: id=1,RX,2.3039592534665,1253.3554018839,1621.9888824386,630777707,42892888532
1677494367,Device: id=1,RX,2.3040564529251,1253.4066463926,1622.0556788606,633081811,43049567596
