Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1658143989,Device: id=0,TX,0.062410185320481,177.23870348819,187.22433313947,62437,22163348
1658143990,Device: id=0,TX,0.17236414739062,489.14680116607,516.72506474857,234823,83314450
1658143991,Device: id=0,TX,0.17790708349446,499.99219329221,528.45732665132,412777,145829956
1658143992,Device: id=0,TX,0.17761149662565,499.98762648138,528.40546594149,590444,208347940
1658143993,Device: id=0,TX,0.17685106785742,499.98393994079,528.28011079798,767342,270862518
1658143994,Device: id=0,TX,0.17690867111361,499.99820371359,528.30359109177,944273,333370182
1658143995,Device: id=0,TX,0.17685511646819,499.98633834324,528.28315697815,1121169,395882922
1658143996,Device: id=0,TX,0.17738388562379,499.99224466403,528.37366636384,1298580,458391506
1658143997,Device: id=0,TX,0.17577010436316,499.98558852291,528.10880522102,1474358,520892512
1658143998,Device: id=0,TX,0.18285370323094,516.37772211238,545.63431462933,1657242,585450422
1658143999,Device: id=0,TX,0.35368263065087,999.96161808006,1056.5508389842,2011001,710472614
1658144000,Device: id=0,TX,0.35415590300476,999.97555256695,1056.6404970477,2365180,835477710
1658144001,Device: id=0,TX,0.35424138499339,999.97440105987,1056.6530226588,2719423,960475080
1658144002,Device: id=0,TX,0.35226927438745,999.9855956671,1056.3486795691,3071711,1085479924
1658144003,Device: id=0,TX,0.35436798354983,999.96916307667,1056.6680404446,3426113,1210488068
1658144004,Device: id=0,TX,0.35236516541512,999.99001079613,1056.3684372625,3778531,1335505562
1658144005,Device: id=0,TX,0.35349928908224,999.96946202999,1056.5293482831,4132071,1460516140
1658144006,Device: id=0,TX,0.35302053076993,999.97632818735,1056.4596131105,4485128,1585526094
1658144007,Device: id=0,TX,0.35417798779082,999.9695455808,1056.6380236273,4839337,1710533232
1658144008,Device: id=0,TX,0.36476666644708,1033.5748933466,1091.9375599781,5204105,1839730566
1658144009,Device: id=0,TX,0.7078593427859,1999.9412937429,2113.1987885886,5911984,2089730170
1658144010,Device: id=0,TX,0.70703042579682,1999.9525177825,2113.07738591,6619024,2339727620
1658144011,Device: id=0,TX,0.70797299850688,1999.9559544622,2113.2316342233,7327025,2589732002
1658144012,Device: id=0,TX,0.70600640907823,1999.953197594,2112.9142230465,8033043,2839730256
1658144013,Device: id=0,TX,0.70699047753152,1999.9543102986,2113.0727867037,8740053,3089731448
1658144014,Device: id=0,TX,0.70603582010259,1999.9415596265,2112.907290843,9446106,3339730226
1658144015,Device: id=0,TX,0.70613110392563,1999.956594787,2112.9375714151,10152250,3589729366
1658144016,Device: id=0,TX,0.70783251322339,1999.955331819,2113.2085339348,10860130,3839740554
1658144017,Device: id=0,TX,0.70685845748519,1999.9438753133,2113.041228511,11567038,4089751060
1658144018,Device: id=0,TX,0.71778065418751,2033.9353957204,2148.7803003904,12284863,4344008692
1658144019,Device: id=0,TX,1.0581531067278,2995.6282152224,3164.9327122989,13343041,4718471028
1658144020,Device: id=0,TX,1.0594706869697,2995.1601473293,3164.6754572444,14402562,5092883826
1658144021,Device: id=0,TX,1.0605892368889,2995.7455678094,3165.4398457116,15463173,5467359706
1658144022,Device: id=0,TX,1.0569505698354,2994.3577461622,3163.4698373359,16520135,5841658472
1658144023,Device: id=0,TX,1.0592433761649,2995.9748585121,3165.4537986985,17579401,6216163328
1658144024,Device: id=0,TX,1.0594630102072,2994.7863584907,3164.3004401239,18638893,6590521866
1658144025,Device: id=0,TX,1.0602852997698,2994.5029658946,3164.1486138577,19699181,6964835690
1658144026,Device: id=0,TX,1.0608689722486,2995.3202344105,3165.0592699703,20760081,7339261670
1658144027,Device: id=0,TX,1.0577611874809,2995.4477670381,3164.6895570351,21817875,7713704256
1658144028,Device: id=0,TX,1.0706751405612,3029.6376489648,3200.9456714546,22888565,8092414218
1658144029,Device: id=0,TX,1.4095599419466,3983.5520619894,4209.0816527009,24298166,8590372730
1658144030,Device: id=0,TX,1.4068012646695,3982.8296761941,4207.9178785413,25704984,9088232362
1658144031,Device: id=0,TX,1.4092589387348,3984.1316476837,4209.6130778813,27114298,9586268276
1658144032,Device: id=0,TX,1.4073135243483,3981.4185219677,4206.5886858635,28521627,10083951064
1658144033,Device: id=0,TX,1.4112151197579,3984.6257548508,4210.420174012,29932896,10582048300
1658144034,Device: id=0,TX,1.4103245719331,3983.1618684297,4208.813799939,31343230,11079946862
1658144035,Device: id=0,TX,1.4088276130822,3984.2374797041,4209.6498977973,32752098,11577990824
1658144036,Device: id=0,TX,1.4077930516159,3982.5110466527,4207.7579349112,34159908,12075810698
1658144037,Device: id=0,TX,1.4078852087043,3983.9631338315,4209.2247672242,35567814,12573813444
1658144038,Device: id=0,TX,1.4196753836485,4016.7915425551,4243.9396039389,36987529,13075926398
1658144039,Device: id=0,TX,1.7623501022929,4973.6263957281,5255.602412095,38749898,13697636364
1658144040,Device: id=0,TX,1.7602321344384,4973.2183419753,5254.8554834855,40510189,14319309446
1658144041,Device: id=0,TX,1.7588924014923,4974.936655379,5256.3594396177,42269135,14941195478
