Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1661935065,Device: id=1,RX,0.13547534615251,382.94487744635,404.62093283075,148339,52413282
1661935066,Device: id=1,RX,0.6986121501744,1974.7337426917,2086.5116867196,847012,299276500
1661935067,Device: id=1,RX,0.70682338691333,1996.4882647229,2109.580006629,1553842,548839868
1661935068,Device: id=1,RX,0.70647951713689,1998.1404743872,2111.1771971291,2260374,798625982
1661935069,Device: id=1,RX,0.70669755726738,1996.8527197167,2109.9243288794,2967115,1048247916
1661935070,Device: id=1,RX,0.70474078678929,1996.3725430792,2109.1310689655,3671883,1297804120
1661935071,Device: id=1,RX,0.70715332455652,1995.6617895963,2108.8063215254,4379058,1547269490
1661935072,Device: id=1,RX,0.70415491425179,1996.0434263071,2108.7082125874,5083241,1796784870
1661935073,Device: id=1,RX,0.70641967065845,1994.9644286246,2107.9915759299,5789687,2046164718
1661935074,Device: id=1,RX,0.70534148158142,1996.784629226,2109.639266279,6495045,2295768642
1661935075,Device: id=1,RX,0.70553270451179,1996.8631074458,2109.7483401677,7200620,2545391494
1661935076,Device: id=1,RX,0.70508833500008,1996.2914327083,2109.1055663083,7905779,2794952932
1661935077,Device: id=1,RX,0.70702997425911,1997.1193337066,2110.244129588,8612872,3044615102
1661935078,Device: id=1,RX,0.70697470003193,1997.1698979353,2110.2858499404,9319896,3294278748
1661935079,Device: id=1,RX,0.70530129656499,1997.0441084275,2109.8923158779,10025206,3543912342
1661935080,Device: id=1,RX,0.70726168353384,1996.1800920637,2109.3419614291,10732519,3793452958
1661935081,Device: id=1,RX,0.70708817309369,1997.0113242223,2110.1454319173,11439653,4043095552
1661935082,Device: id=1,RX,0.63526229173749,1800.3578644478,1901.9998311258,12074924,4268143370
1661935083,Device: id=1,RX,0.4356683062225,1232.3135749854,1302.020503981,12510612,4422189530
1661935084,Device: id=1,RX,0.43646079838305,1233.2572063141,1303.0909340554,12947073,4576346752
1661935085,Device: id=1,RX,0.4370476157615,1234.7183224745,1304.6459409964,13384121,4730686678
1661935086,Device: id=1,RX,0.43237392096991,1222.3347024763,1291.5145298315,13816530,4883490912
1661935087,Device: id=1,RX,0.43510266978789,1233.5377403839,1303.15416755,14251642,5037686436
1661935088,Device: id=1,RX,0.43076511502589,1214.5527964852,1283.4752148894,14682441,5189517478
1661935089,Device: id=1,RX,0.44644086260131,1260.5756525816,1332.0061905978,15128904,5347097248
1661935090,Device: id=1,RX,0.42841981085494,1211.6178732662,1280.165043003,15557359,5498561922
1661935091,Device: id=1,RX,0.43709735271155,1237.8925817021,1307.8281581359,15994472,5653304034
1661935092,Device: id=1,RX,0.43401916932453,1227.7681973229,1297.2112644149,16428493,5806775706
1661935093,Device: id=1,RX,0.43496323128109,1232.8757330715,1302.4698500765,16863480,5960893594
1661935094,Device: id=1,RX,0.43127654525479,1222.5798989574,1291.5841461982,17294767,6113719786
1661935095,Device: id=1,RX,0.43083253844619,1218.7439354672,1287.6771416186,17725643,6266078146
1661935096,Device: id=1,RX,0.43557670520984,1235.6414213587,1305.3336941923,18161223,6420534492
1661935097,Device: id=1,RX,0.43076787487636,1218.2095381743,1287.1323981545,18591996,6572812496
1661935098,Device: id=1,RX,0.43996231988492,1243.629165426,1314.0231366076,19031980,6728273802
1661935099,Device: id=1,RX,0.43612692031311,1234.0090848837,1303.7893921338,19468138,6882535930
1661935100,Device: id=1,RX,0.43106657339581,1219.8237821208,1288.7944338641,19899211,7035016176
1661935101,Device: id=1,RX,0.4362518078436,1232.9915202843,1302.7918095393,20335477,7189145130
1661935102,Device: id=1,RX,0.50925941740392,1441.5301887953,1523.0116955799,20844759,7369344394
1661935103,Device: id=1,RX,0.70587623681078,1998.0714416617,2111.0116395514,21550684,7619120578
1661935104,Device: id=1,RX,0.70588663965828,1997.6137792211,2110.5556415664,22256586,7868827734
1661935105,Device: id=1,RX,0.70602531118773,1997.3194067096,2110.2834564996,22962621,8118496086
1661935106,Device: id=1,RX,0.70571887061268,1997.897420424,2110.812439722,23668367,8368242864
1661935107,Device: id=1,RX,0.70562508934476,1997.2221772986,2110.1221915937,24374005,8617900204
1661935108,Device: id=1,RX,0.70540153566167,1997.7157887966,2110.5800345025,25079414,8867617320
1661935109,Device: id=1,RX,0.70746945601107,1997.6999684151,2110.8950813769,25786915,9117340950
1661935110,Device: id=1,RX,0.70738227621611,1998.4731390198,2111.6543032144,26494305,9367152820
1661935111,Device: id=1,RX,0.70709629424633,1997.6318789614,2110.7672860408,27201437,9616869414
