Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1659884932,Device: id=0,TX,0.14441835405415,408.78239913844,431.8893357871,144711,51201988
1659884933,Device: id=0,TX,0.60407541031164,1707.854824644,1804.5068902938,748833,264700306
1659884934,Device: id=0,TX,0.70795138122988,1999.9371165738,2113.2093375706,1456801,514698314
1659884935,Device: id=0,TX,0.70734092448306,1999.9582822955,2113.1328302128,2164198,764712918
1659884936,Device: id=0,TX,0.70710730029082,1999.8569670616,2112.9941351082,2871315,1014698468
1659884937,Device: id=0,TX,0.70754793906944,1999.9591777143,2113.1668479654,3578873,1264696920
1659884938,Device: id=0,TX,0.70803830071297,1999.907969899,2113.1940980131,4286924,1514689900
1659884939,Device: id=0,TX,0.70788052514051,1999.9463006085,2113.2071846309,4994835,1764693950
1659884940,Device: id=0,TX,0.70594199062172,1999.9607628568,2112.9114813563,5700818,2014703568
1659884941,Device: id=0,TX,0.70753233220619,1999.9393288637,2113.1445020167,6408369,2264702580
1659884942,Device: id=0,TX,0.70582364059863,2000.0409371208,2112.9727196166,7114240,2514724472
1659884943,Device: id=0,TX,0.70717770831055,1999.8427544395,2112.9911877692,7821460,2764719766
1659884944,Device: id=0,TX,0.7069253286547,1999.9466071602,2113.0546597449,8528406,3014720402
1659884945,Device: id=0,TX,0.70836297390357,1999.9569252933,2113.2950011178,9236829,3264736202
1659884946,Device: id=0,TX,0.70741777907009,1999.9443931978,2113.131237849,9944249,3514730036
1659884947,Device: id=0,TX,0.70579341071142,1999.9487141814,2112.8756598953,10650043,3764723834
1659884948,Device: id=0,TX,0.70799785912884,1999.9487508882,2113.2284083488,11358045,4014718890
1659884949,Device: id=0,TX,0.70782794910666,1999.9587543068,2113.2112261639,12065920,4264730352
1659884950,Device: id=0,TX,0.70648181058749,1999.9285498687,2112.9656395627,12772414,4514725734
1659884951,Device: id=0,TX,0.70794880593318,1999.9529158453,2113.2247247947,13480387,4764728392
1659884952,Device: id=0,TX,0.70675394472084,1999.9506000342,2113.0312311895,14187143,5014722944
1659884953,Device: id=0,TX,0.70793251552798,1999.9513401599,2113.2205426444,14895079,5264718092
1659884954,Device: id=0,TX,0.70850304839726,1999.953559177,2113.3140469206,15603627,5514728148
1659884955,Device: id=0,TX,0.70598819650909,1999.9415471306,2112.8996585721,16309675,5764742018
1659884956,Device: id=0,TX,0.70759472745232,1999.9447505037,2113.1599068961,17017293,6014743334
1659884957,Device: id=0,TX,0.70642320831705,1999.949256658,2112.9769699887,17723728,6264741164
1659884958,Device: id=0,TX,0.70705302526211,1999.9464683006,2113.0749523425,18430836,6514753910
1659884959,Device: id=0,TX,0.70657299611464,1999.9500206465,2113.0017000249,19137430,6764755094
1659884960,Device: id=0,TX,0.70690746559634,1999.9540840197,2113.0592785151,19844376,7014762982
1659884961,Device: id=0,TX,0.70867529724036,1999.9447295014,2113.3327770598,20553111,7264777134
1659884962,Device: id=0,TX,0.7083124799541,1999.9461202667,2113.2761170594,21261434,7514774112
1659884963,Device: id=0,TX,0.70710164389854,1999.9473958024,2113.0836588262,21968603,7764791350
1659884964,Device: id=0,TX,0.70655288188927,1999.9433259816,2112.9917870839,22675198,8014799168
1659884965,Device: id=0,TX,0.70755738619146,1999.9486612865,2113.1578430771,23382817,8264814520
1659884966,Device: id=0,TX,0.70699136064064,1999.9594997177,2113.0781174202,24089823,8514814634
1659884967,Device: id=0,TX,0.70787821123851,1999.9382948321,2113.1988086303,24797763,8764828742
1659884968,Device: id=0,TX,0.70662227345956,1999.9674121246,2113.0269758781,25504422,9014837662
1659884969,Device: id=0,TX,0.7088220722862,1999.9365277552,2113.348059321,26213287,9264844868
1659884970,Device: id=0,TX,0.7071300672409,1999.9554840072,2113.0962947658,26920425,9514842108
1659884971,Device: id=0,TX,0.7063659085556,1999.9353390994,2112.9538844683,27626834,9764849276
1659884972,Device: id=0,TX,0.70641420087987,1999.953685699,2112.9799578397,28333263,10014848724
1659884973,Device: id=0,TX,0.70616487950373,1999.9452253957,2112.9316061163,29039439,10264845814
