Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1707986271,Device: id=1,RX,0.61922897593522,1655.9311949426,1755.0078310922,657188,219680922
1707986272,Device: id=1,RX,0.78517739902619,2220.7401912983,2346.3685751425,1450509,500152544
1707986273,Device: id=1,RX,2.438075908807,6882.3603684924,7272.4525139016,3888629,1360463148
1707986274,Device: id=1,RX,2.9396361929555,8309.1901571252,8779.5319479981,6828282,2399117856
1707986275,Device: id=1,RX,2.9502479312583,8340.5313819925,8812.5710509939,9778590,3441705506
1707986276,Device: id=1,RX,2.9089194300034,8221.4180336352,8686.8451424358,12687515,4469384728
1707986277,Device: id=1,RX,2.9581315657386,8356.3633780189,8829.6644285371,15645678,5513941250
1707986278,Device: id=1,RX,2.9546735713769,8361.7675868786,8834.5153582989,18600360,6559165180
1707986279,Device: id=1,RX,2.9602058761535,8365.2838846304,8838.9168248149,21560573,7604828182
1707986280,Device: id=1,RX,3.2535652159291,9212.3364744274,9732.9069089761,24814151,8756374766
1707986281,Device: id=1,RX,3.0320616811227,8578.1265442784,9063.2564132581,27846260,9828657318
1707986282,Device: id=1,RX,2.9667602870354,8374.6595062282,8849.3411521539,30813061,10875504122
1707986283,Device: id=1,RX,2.9579592479845,8370.0243988136,8843.2978784911,33771041,11921764512
1707986284,Device: id=1,RX,2.9551089018542,8361.0921263054,8833.909550602,36726188,12966914502
1707986285,Device: id=1,RX,2.9595953649409,8366.2057831957,8839.7410415862,39685786,14012691156
1707986286,Device: id=1,RX,2.9636412381483,8380.034227664,8854.2168257678,42649464,15060208428
1707986287,Device: id=1,RX,2.9008165240301,8175.4194467665,8639.5500906113,45550293,16082140254
1707986288,Device: id=1,RX,2.9553958412283,8360.2246100663,8833.0879446628,48505690,17127168740
1707986289,Device: id=1,RX,2.9602547727356,8371.8491406575,8845.4899042952,51466000,18173669406
1707986290,Device: id=1,RX,2.96631413195,8381.154572933,8855.764834045,54432325,19221317566
1707986291,Device: id=1,RX,3.2584356871323,9223.2079519612,9744.5576619023,57690776,20374223978
1707986292,Device: id=1,RX,3.0294724638136,8573.6495641483,9058.3651583584,60720279,21445940976
1707986293,Device: id=1,RX,2.9664034698033,8382.8895950077,8857.5141501763,63686742,22493823204
1707986294,Device: id=1,RX,2.9631873054571,8380.5432810499,8854.6532499231,66649942,23541395602
1707986295,Device: id=1,RX,2.9648122786859,8385.7191079112,8860.0890725009,69614803,24589627716
1707986296,Device: id=1,RX,2.9589706761178,8379.4956803389,8852.9309885178,72573827,25637083552
1707986297,Device: id=1,RX,2.9284177862238,8259.85151342,8728.3983592158,75502258,26669569650
1707986298,Device: id=1,RX,2.9641724648848,8376.003596477,8850.2711908585,78466465,27716582298
1707986299,Device: id=1,RX,2.963974526251,8382.0055286035,8856.2414528036,81430449,28764336338
1707986300,Device: id=1,RX,2.9587168231394,8373.1634074883,8846.5580991906,84389168,29810982534
