System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-02-14,20:58:21.652,0.36,2.89,0.13,1.12,0.08,19.62,1.00,0.52,0.0000,0.0010, 10600,0.28,0.31,99,41,18908.47,6541.22,2599.01,5.78,144.53,0.73,18.19,0.06,1.32,0.04,1.21,0.08,3.89,0.98,0.81,0.0000,0.0014, 23320,0.26,0.01,97,42,2870.73,2169.76,2599.01,2.65,66.15,0.11,2.76,11.28,68.83,0.01,19.88,0.00,100.00,0.00,0.00,0.00,0.00,3.45,28.59,0.19,67.77,0.00,100.00,0.00,0.00,0.00,0.00,79.67,53.61,4.34 ,4.36 ,1180187.27 ,1191242.72 ,3.00,3.00,1.08,3.48,0.31,1.12,0.00,2.40,1.00,0.10,0.0000,0.0008,   320,27.94,72.06,0.00,0.00,0.00,42,2819.60,810.10,2599.01,6.96,174.03,2.17,54.24,
2024-02-14,20:58:22.651,0.22,2.59,0.09,1.12,0.08,23.97,1.00,0.38,0.0000,0.0021, 12480,0.48,0.52,99,39,11670.94,4513.61,2595.22,5.17,129.29,0.45,11.24,0.05,1.63,0.03,1.21,0.03,3.03,0.99,0.67,0.0000,0.0012, 23360,0.44,0.01,97,40,2543.50,1558.71,2595.22,3.26,81.59,0.10,2.45,7.80,72.30,0.01,19.89,0.00,100.00,0.00,0.00,0.00,0.00,2.49,29.52,0.13,67.86,0.00,100.00,0.00,0.00,0.00,0.00,78.99,54.04,4.43 ,4.37 ,0.00 ,0.03 ,3.00,3.00,0.69,3.17,0.22,1.12,0.00,2.97,1.00,0.10,0.0000,0.0017,   680,19.61,80.39,0.00,0.00,0.00,42,1800.14,567.66,2595.22,6.34,158.56,1.39,34.68,
2024-02-14,20:58:23.651,0.23,2.56,0.09,1.12,0.06,23.92,1.00,0.42,0.0000,0.0020, 12960,0.48,0.51,99,39,11906.74,4642.83,2597.44,5.13,128.23,0.46,11.46,0.04,1.62,0.03,1.22,0.01,2.89,1.00,0.38,0.0000,0.0013, 23280,0.43,0.01,97,41,2285.00,1408.82,2597.44,3.24,81.10,0.09,2.20,8.01,74.20,0.01,17.77,0.00,100.00,0.00,0.00,0.00,0.00,2.22,27.51,0.13,70.14,0.00,100.00,0.00,0.00,0.00,0.00,80.41,52.93,4.46 ,4.38 ,0.00 ,0.03 ,3.00,3.00,0.69,3.17,0.22,1.12,0.00,2.97,1.00,0.10,0.0000,0.0017,   520,19.53,80.47,0.00,0.00,0.00,42,1792.93,565.69,2597.44,6.34,158.47,1.38,34.51,
2024-02-14,20:58:24.651,0.23,2.56,0.09,1.12,0.07,24.03,1.00,0.42,0.0000,0.0020, 13320,0.48,0.51,99,40,11881.62,4648.39,2597.45,5.11,127.80,0.46,11.44,0.04,1.62,0.03,1.22,0.01,2.95,1.00,0.38,0.0000,0.0013, 23440,0.42,0.01,97,41,2287.79,1413.21,2597.45,3.24,80.94,0.09,2.20,8.02,74.19,0.01,17.78,0.00,100.00,0.00,0.00,0.00,0.00,2.23,27.54,0.11,70.12,0.00,100.00,0.00,0.00,0.00,0.00,80.43,52.93,4.44 ,4.37 ,0.00 ,0.03 ,3.00,3.00,0.69,3.16,0.22,1.12,0.00,2.99,1.00,0.10,0.0000,0.0017,   560,19.56,80.44,0.00,0.00,0.00,43,1792.33,566.71,2597.45,6.33,158.13,1.38,34.50,
2024-02-14,20:58:25.651,0.23,2.58,0.09,1.12,0.07,24.11,1.00,0.39,0.0000,0.0021, 13720,0.47,0.51,99,39,11694.02,4537.32,2597.12,5.15,128.86,0.45,11.26,0.05,1.63,0.03,1.21,0.01,2.94,1.00,0.63,0.0000,0.0012, 23400,0.41,0.01,96,40,2483.70,1521.13,2597.12,3.27,81.64,0.10,2.39,7.83,72.71,0.02,19.44,0.00,100.00,0.00,0.00,0.00,0.00,2.42,29.27,0.13,68.17,0.00,100.00,0.00,0.00,0.00,0.00,79.40,53.88,4.45 ,4.38 ,0.00 ,0.03 ,3.00,3.00,0.69,3.16,0.22,1.12,0.00,3.00,1.00,0.10,0.0000,0.0017,   720,19.59,80.41,0.00,0.00,0.00,43,1792.03,567.50,2597.12,6.32,157.89,1.38,34.50,
2024-02-14,20:58:26.652,0.23,2.55,0.09,1.12,0.07,24.05,1.00,0.42,0.0000,0.0020, 13680,0.47,0.50,99,39,11882.45,4657.11,2597.29,5.10,127.57,0.46,11.44,0.04,1.61,0.03,1.22,0.02,2.94,0.99,0.38,0.0000,0.0013, 23640,0.42,0.01,96,40,2272.53,1407.26,2597.29,3.23,80.74,0.09,2.19,8.04,74.62,0.01,17.34,0.00,100.00,0.00,0.00,0.00,0.00,2.22,27.91,0.13,69.74,0.00,100.00,0.00,0.00,0.00,0.00,80.53,52.87,4.46 ,4.38 ,0.00 ,48072.51 ,3.00,3.00,0.69,3.16,0.22,1.12,0.00,2.99,1.00,0.10,0.0000,0.0017,   600,19.58,80.42,0.00,0.00,0.00,42,1791.50,567.23,2597.29,6.32,157.91,1.38,34.49,
2024-02-14,20:58:27.653,0.23,2.56,0.09,1.12,0.05,24.12,1.00,0.42,0.0000,0.0020, 14040,0.46,0.50,99,39,11873.89,4632.09,2599.85,5.13,128.17,0.46,11.42,0.04,1.62,0.03,1.22,0.01,2.97,1.00,0.38,0.0000,0.0013, 24160,0.42,0.01,97,41,2293.81,1415.89,2599.85,3.24,81.00,0.09,2.21,7.99,74.26,0.02,17.73,0.00,100.00,0.00,0.00,0.00,0.00,2.23,27.52,0.14,70.12,0.00,100.00,0.00,0.00,0.00,0.00,80.65,52.98,4.44 ,4.39 ,0.33 ,0.00 ,3.00,3.00,0.69,3.15,0.22,1.12,0.00,3.01,1.00,0.10,0.0000,0.0017,   600,19.55,80.45,0.00,0.00,0.00,42,1787.01,566.79,2599.85,6.31,157.64,1.37,34.37,
2024-02-14,20:58:28.653,0.23,2.45,0.09,1.12,0.12,23.59,0.99,0.43,0.0000,0.0020, 15680,0.51,0.54,97,39,11717.11,4777.56,2597.24,4.91,122.63,0.45,11.28,0.04,1.49,0.03,1.20,0.15,3.82,0.96,0.42,0.0001,0.0016, 23120,0.49,0.05,92,40,2330.11,1560.73,2597.24,2.99,74.65,0.09,2.24,8.25,74.67,0.01,17.07,0.00,100.00,0.00,0.00,0.00,0.00,2.50,30.89,0.34,66.27,0.00,100.00,0.00,0.00,0.00,0.00,80.51,53.85,4.48 ,4.42 ,0.33 ,0.00 ,3.00,3.00,0.68,3.12,0.22,1.12,0.00,2.89,1.00,0.10,0.0000,0.0016,   880,19.54,80.46,0.00,0.00,0.00,42,1768.56,566.15,2597.24,6.25,156.19,1.36,34.04,
2024-02-14,20:58:29.652,0.23,2.56,0.09,1.12,0.07,24.12,1.00,0.42,0.0000,0.0020, 15760,0.46,0.50,99,39,11906.09,4648.56,2595.32,5.12,128.06,0.46,11.47,0.04,1.61,0.03,1.22,0.04,2.87,0.99,0.38,0.0000,0.0013, 23480,0.45,0.01,97,40,2276.67,1412.23,2595.32,3.22,80.61,0.09,2.19,8.03,74.16,0.02,17.79,0.00,100.00,0.00,0.00,0.00,0.00,2.23,27.55,0.16,70.07,0.00,100.00,0.00,0.00,0.00,0.00,80.50,52.94,4.44 ,4.39 ,0.33 ,0.00 ,3.00,3.00,0.69,3.15,0.22,1.12,0.00,3.01,1.00,0.10,0.0000,0.0017,   640,19.58,80.42,0.00,0.00,0.00,42,1785.60,566.65,2595.32,6.30,157.56,1.38,34.40,
