System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-02-14,20:58:21.908,0.24,2.57,0.09,1.12,0.07,22.96,1.00,0.38,0.0000,0.0019, 11640,0.40,0.44,99,41,12338.48,4800.00,2598.77,5.14,128.53,0.47,11.87,0.05,1.57,0.03,1.19,0.05,3.23,0.99,0.76,0.0000,0.0012, 23320,0.38,0.01,97,41,2743.27,1747.42,2598.77,3.14,78.49,0.11,2.64,8.28,69.52,0.01,22.19,0.00,100.00,0.00,0.00,0.00,0.00,2.82,31.28,0.19,65.71,0.00,100.00,0.00,0.00,0.00,0.00,77.88,54.89,4.46 ,4.39 ,467534.46 ,469167.64 ,3.00,3.00,0.73,3.14,0.23,1.12,0.01,3.84,1.00,0.12,0.0000,0.0020,  4120,20.96,79.04,0.00,0.00,0.00,42,1909.43,607.63,2598.77,6.28,157.12,1.47,36.74,
2024-02-14,20:58:22.908,0.23,2.53,0.09,1.12,0.06,23.76,1.00,0.43,0.0000,0.0020, 12640,0.48,0.52,99,40,11894.57,4705.37,2597.00,5.06,126.39,0.46,11.45,0.04,1.66,0.03,1.22,0.01,2.84,1.00,0.39,0.0000,0.0012, 23240,0.43,0.01,96,41,2308.26,1393.22,2597.00,3.31,82.84,0.09,2.22,8.12,74.11,0.01,17.76,0.00,100.00,0.00,0.00,0.00,0.00,2.19,27.51,0.13,70.17,0.00,100.00,0.00,0.00,0.00,0.00,80.38,52.92,4.44 ,4.38 ,0.03 ,0.10 ,3.00,3.00,0.68,3.07,0.22,1.12,0.01,3.99,1.00,0.12,0.0000,0.0023,  3840,19.75,80.25,0.00,0.00,0.00,42,1755.61,572.04,2597.00,6.14,153.45,1.35,33.80,
2024-02-14,20:58:23.908,0.23,2.52,0.09,1.12,0.06,23.77,1.00,0.43,0.0000,0.0020, 13160,0.47,0.51,99,40,11894.36,4711.84,2596.74,5.05,126.22,0.46,11.45,0.04,1.65,0.03,1.22,0.01,2.93,1.00,0.38,0.0000,0.0013, 23280,0.42,0.01,97,40,2307.68,1398.71,2596.74,3.30,82.49,0.09,2.22,8.13,74.06,0.01,17.79,0.00,100.00,0.00,0.00,0.00,0.00,2.20,27.52,0.13,70.14,0.00,100.00,0.00,0.00,0.00,0.00,80.42,52.86,4.45 ,4.36 ,0.07 ,0.10 ,3.00,3.00,0.67,3.05,0.22,1.12,0.01,3.99,1.00,0.12,0.0000,0.0023,  4080,19.78,80.22,0.00,0.00,0.00,41,1749.07,573.00,2596.74,6.10,152.62,1.35,33.68,
2024-02-14,20:58:24.907,0.23,2.52,0.09,1.12,0.06,23.88,1.00,0.43,0.0000,0.0020, 13400,0.47,0.51,99,39,11868.97,4713.36,2596.71,5.04,125.91,0.46,11.43,0.04,1.66,0.03,1.22,0.01,2.87,1.00,0.38,0.0000,0.0012, 23480,0.41,0.01,96,40,2308.62,1394.18,2596.71,3.31,82.79,0.09,2.22,8.14,74.12,0.01,17.74,0.00,100.00,0.00,0.00,0.00,0.00,2.19,27.64,0.11,70.05,0.00,100.00,0.00,0.00,0.00,0.00,80.43,52.95,4.45 ,4.38 ,0.03 ,0.10 ,3.00,3.00,0.67,3.05,0.22,1.12,0.01,4.01,1.00,0.12,0.0000,0.0023,  3920,19.75,80.25,0.00,0.00,0.00,42,1745.01,572.11,2596.71,6.10,152.51,1.34,33.60,
2024-02-14,20:58:25.908,0.22,2.54,0.09,1.12,0.06,23.88,1.00,0.39,0.0000,0.0020, 14080,0.47,0.50,99,39,11677.77,4601.62,2599.28,5.08,126.89,0.45,11.23,0.05,1.66,0.03,1.21,0.01,2.94,1.00,0.63,0.0000,0.0012, 23200,0.41,0.01,96,39,2495.94,1507.48,2599.28,3.31,82.78,0.10,2.40,7.94,72.56,0.02,19.48,0.00,100.00,0.00,0.00,0.00,0.00,2.40,29.22,0.13,68.25,0.00,100.00,0.00,0.00,0.00,0.00,79.40,53.91,4.45 ,4.38 ,0.03 ,0.10 ,3.00,3.00,0.67,3.04,0.22,1.12,0.01,4.01,1.00,0.12,0.0000,0.0023,  3920,19.74,80.26,0.00,0.00,0.00,42,1741.32,572.36,2599.28,6.08,152.12,1.34,33.50,
2024-02-14,20:58:26.908,0.23,2.51,0.09,1.12,0.07,23.91,1.00,0.43,0.0000,0.0020, 14080,0.47,0.50,99,39,11847.06,4713.40,2596.67,5.03,125.67,0.46,11.41,0.04,1.65,0.03,1.22,0.02,2.91,0.99,0.38,0.0000,0.0013, 23560,0.42,0.01,96,40,2293.92,1391.07,2596.67,3.30,82.45,0.09,2.21,8.14,74.55,0.02,17.29,0.00,100.00,0.00,0.00,0.00,0.00,2.19,27.94,0.13,69.74,0.00,100.00,0.00,0.00,0.00,0.00,80.57,52.93,4.45 ,4.39 ,0.33 ,0.33 ,3.00,3.00,0.67,3.04,0.22,1.12,0.01,4.01,1.00,0.12,0.0000,0.0023,  4040,19.72,80.28,0.00,0.00,0.00,41,1737.57,571.16,2596.67,6.08,152.11,1.34,33.46,
2024-02-14,20:58:27.908,0.23,2.52,0.09,1.12,0.05,23.97,1.00,0.42,0.0000,0.0020, 14480,0.46,0.49,99,39,11875.68,4705.22,2596.93,5.05,126.20,0.46,11.43,0.04,1.65,0.03,1.22,0.01,2.94,1.00,0.38,0.0000,0.0013, 24200,0.42,0.01,97,40,2308.78,1399.47,2596.93,3.30,82.49,0.09,2.22,8.12,74.11,0.01,17.76,0.00,100.00,0.00,0.00,0.00,0.00,2.20,27.55,0.14,70.11,0.00,100.00,0.00,0.00,0.00,0.00,80.55,52.87,4.44 ,4.38 ,0.03 ,0.10 ,3.00,3.00,0.67,3.04,0.22,1.12,0.01,4.03,1.00,0.12,0.0000,0.0023,  4840,19.74,80.26,0.00,0.00,0.00,42,1739.35,571.71,2596.93,6.08,152.12,1.34,33.49,
2024-02-14,20:58:28.908,0.22,2.39,0.09,1.12,0.15,23.38,0.99,0.44,0.0000,0.0020, 15960,0.51,0.54,97,38,11661.57,4877.51,2596.84,4.78,119.54,0.45,11.23,0.05,1.51,0.03,1.20,0.12,3.76,0.97,0.43,0.0001,0.0016, 23360,0.51,0.05,92,40,2353.36,1559.07,2596.84,3.02,75.47,0.09,2.27,8.42,74.49,0.03,17.06,0.00,100.00,0.00,0.00,0.00,0.00,2.50,30.91,0.37,66.22,0.00,100.00,0.00,0.00,0.00,0.00,80.52,53.85,4.48 ,4.43 ,0.03 ,0.10 ,3.00,3.00,0.65,2.96,0.22,1.12,0.01,3.87,1.00,0.12,0.0000,0.0023,  4240,19.83,80.17,0.00,0.00,0.00,41,1697.65,574.42,2596.84,5.91,147.77,1.31,32.69,
2024-02-14,20:58:29.908,0.23,2.53,0.09,1.12,0.05,23.95,1.00,0.42,0.0000,0.0020, 16320,0.46,0.50,99,39,11846.41,4691.08,2597.12,5.05,126.27,0.46,11.40,0.04,1.65,0.03,1.22,0.02,2.89,0.99,0.38,0.0000,0.0013, 23320,0.44,0.01,97,40,2305.20,1394.39,2597.12,3.31,82.66,0.09,2.22,8.10,74.12,0.01,17.77,0.00,100.00,0.00,0.00,0.00,0.00,2.19,27.57,0.13,70.11,0.00,100.00,0.00,0.00,0.00,0.00,80.60,52.93,4.45 ,4.38 ,0.03 ,0.10 ,3.00,3.00,0.67,3.04,0.22,1.12,0.01,4.02,1.00,0.12,0.0000,0.0023,  5080,19.76,80.24,0.00,0.00,0.00,41,1738.30,572.49,2597.12,6.07,151.82,1.34,33.47,
