Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1707979028,Device: id=0,TX,1.023520936103,2894.5096632289,3058.2730130054,1046914,370082444
1707979029,Device: id=0,TX,0.8162075999148,2302.6904188294,2433.2836348158,1863129,657921356
1707979030,Device: id=0,TX,2.7578627767384,7807.7395096769,8248.997553955,4621007,1633894182
1707979031,Device: id=0,TX,3.3246418317374,9402.1962669002,9934.1389599782,7945687,2809182208
1707979032,Device: id=0,TX,3.2889712482415,9301.3589713331,9827.5943710518,11234718,3971873202
1707979033,Device: id=0,TX,3.3225029100743,9399.8300370901,9931.430502702,14557267,5146868256
1707979034,Device: id=0,TX,3.3256738183137,9401.7232690182,9933.8310799484,17882968,6322093270
1707979035,Device: id=0,TX,3.3245146005908,9393.1046155067,9925.0269516012,21207483,7496231488
1707979036,Device: id=0,TX,3.3261202099066,9403.6925627509,9935.8717963359,24533677,8671719136
1707979037,Device: id=0,TX,3.3281470096309,9405.2781539426,9937.7816754835,27861861,9847391972
1707979038,Device: id=0,TX,3.3084506319237,9356.5612460975,9885.9133472053,31170324,11016966500
1707979039,Device: id=0,TX,3.3236741789607,9400.4102174349,9932.1980860686,34494063,12192040694
1707979040,Device: id=0,TX,3.3235199214453,9402.631761152,9934.3949485832,37817605,13367377472
1707979041,Device: id=0,TX,3.3253603907123,9390.0107052182,9922.0683677321,41142973,14541131496
1707979042,Device: id=0,TX,3.3221161976397,9400.2350403928,9931.7736320152,44465136,15716177430
1707979043,Device: id=0,TX,3.3218466308998,9396.2198148097,9927.7152757536,47787024,16890719534
1707979044,Device: id=0,TX,3.322518910345,9397.6209996378,9929.224025293,51109549,18065424312
1707979045,Device: id=0,TX,3.3256572993249,9401.6744376991,9933.7796055911,54435246,19240647646
1707979046,Device: id=0,TX,3.3081504218403,9350.4674089427,9879.7714764371,57743415,20409462636
1707979047,Device: id=0,TX,3.323886657918,9400.4057387686,9932.2276040354,61067315,21584518070
1707979048,Device: id=0,TX,3.3246894181381,9395.9173906157,9927.8676975178,64392053,22759024906
1707979049,Device: id=0,TX,3.3245388479302,9399.5842073188,9931.5104229876,67716636,23933988536
1707979050,Device: id=0,TX,3.3220317166082,9393.4553588149,9924.9804334722,71038679,25108174444
1707979051,Device: id=0,TX,3.3223612426545,9395.4869788053,9927.06477763,74361053,26282614826
1707979052,Device: id=0,TX,3.3159573879107,9388.9161923977,9919.4693744634,77677049,27456243016
1707979053,Device: id=0,TX,3.3201486228943,9391.356810438,9922.5805901011,80997223,28630171590
1707979054,Device: id=0,TX,3.3247364241956,9397.7146418346,9929.6724697058,84322004,29804901670
1707979055,Device: id=0,TX,3.3216426478044,9397.7328617309,9929.1956853796,87643671,30979626890
1707979056,Device: id=0,TX,3.3206281268144,9400.5781191283,9931.8786194186,90964330,32154710080
1707979057,Device: id=0,TX,3.3256707785826,9398.9080143767,9931.0153389499,94290012,33329577546
1707979058,Device: id=0,TX,3.3198605141969,9389.0383998007,9920.2160820723,97609889,34503213174
1707979059,Device: id=0,TX,3.322715086143,9398.3861279861,9930.020541769,100932649,35678027320
1707979060,Device: id=0,TX,3.3213732505384,9396.3041248557,9927.7238449418,104254068,36852581514
1707979061,Device: id=0,TX,3.3225945812461,9399.5311197753,9931.1462527747,107576716,38027541794
1707979062,Device: id=0,TX,3.3253566373879,9401.5722005564,9933.6292625385,110902112,39202752230
1707979063,Device: id=0,TX,3.3229460697296,9392.450676081,9924.1220472377,114225093,40376820906
1707979064,Device: id=0,TX,3.3191639300242,9398.8275964199,9929.8938252238,117544316,41551695264
1707979065,Device: id=0,TX,3.3086727451067,9356.0948502421,9885.4824894592,120853001,42721211452
1707979066,Device: id=0,TX,3.3254922770734,9400.331532751,9932.4102970827,124178523,43896263396
1707979067,Device: id=0,TX,3.3229490885625,9399.977731963,9931.649586133,127501500,45071270482
1707979068,Device: id=0,TX,3.3232100982252,9396.2078015549,9927.9214172709,130824746,46245809146
1707979069,Device: id=0,TX,3.3234214833601,9400.4364236196,9932.1838609572,134148181,47420868478
1707979070,Device: id=0,TX,3.3230825459165,9401.0654361741,9932.7586435207,137471275,48596005708
1707979071,Device: id=0,TX,3.3233766024016,9399.8533796999,9931.5936360842,140794681,49770997774
1707979072,Device: id=0,TX,3.3249175510537,9397.7881323839,9929.7749405525,144119647,50945738408
1707979073,Device: id=0,TX,3.3226482404834,9397.9889387114,9929.6126571888,147442350,52120506386
1707979074,Device: id=0,TX,3.3123333445769,9362.4128022578,9892.3861373901,150754754,53290832950
1707979075,Device: id=0,TX,3.3229147570833,9396.1042123541,9927.7705734874,154077703,54465358080
1707979076,Device: id=0,TX,3.3240357767073,9397.9439437314,9929.7896680046,157401776,55640114228
1707979077,Device: id=0,TX,3.3258456433882,9399.7520802769,9931.887383219,160727636,56815088310
1707979078,Device: id=0,TX,3.3209328877694,9390.2297454926,9921.5790075357,164048605,57988879792
1707979079,Device: id=0,TX,3.3204043176655,9399.5227712347,9930.7874620611,167369064,59163839488
1707979080,Device: id=0,TX,3.3213517562935,9393.7047009653,9925.1209819723,170690480,60338075288
1707979081,Device: id=0,TX,3.3237412719971,9398.6082205554,9930.4068240749,174014276,61512920660
