System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-02-15,09:21:55.323,0.50,1.77,0.28,1.12,1.24,39.11,0.97,0.64,0.0000,0.0015, 22000,0.82,0.79,99,52,25815.27,14582.81,2601.95,3.54,88.51,0.99,24.79,0.24,1.58,0.15,1.21,0.15,19.92,0.99,0.64,0.0000,0.0016, 16400,0.82,0.02,99,48,12377.10,7815.45,2601.95,3.17,79.18,0.48,11.89,24.95,24.22,0.00,50.83,0.00,100.00,0.00,0.00,0.00,0.00,12.40,14.72,0.01,72.87,0.00,100.00,0.00,0.00,0.00,0.00,60.35,52.55,4.56 ,4.51 ,1203045.53 ,1250557.84 ,3.00,3.00,3.06,2.72,1.12,1.12,0.04,13.39,1.00,0.11,0.0000,0.0017,  2960,99.84,0.16,0.00,0.00,0.00,56,7957.28,2921.00,2601.95,5.45,136.21,6.12,152.90,
2024-02-15,09:21:56.322,0.44,1.26,0.35,1.12,1.85,35.06,0.95,0.68,0.0001,0.0015, 23560,0.81,0.79,98,52,22946.05,18147.96,2595.77,2.53,63.22,0.88,22.10,0.20,1.13,0.18,1.18,0.39,23.02,0.98,0.41,0.0000,0.0022, 22400,0.83,0.03,96,49,10431.90,9204.77,2595.77,2.27,56.67,0.40,10.05,31.26,26.91,0.64,41.19,0.00,100.00,0.00,0.00,0.00,0.00,14.99,18.70,0.12,66.19,0.00,100.00,0.00,0.00,0.00,0.00,61.82,52.85,4.56 ,4.52 ,456413.81 ,0.00 ,3.00,3.00,1.82,1.63,1.12,1.12,0.18,9.45,0.98,0.17,0.0000,0.0020,  4880,99.92,0.08,0.00,0.00,0.00,57,4722.86,2902.94,2595.77,3.25,81.35,3.64,90.96,
2024-02-15,09:21:57.323,0.50,1.72,0.29,1.12,1.29,43.26,0.97,0.69,0.0000,0.0017, 22680,0.79,0.89,99,52,26097.65,15147.45,2598.48,3.45,86.15,1.00,25.11,0.21,1.56,0.14,1.23,0.08,20.02,1.00,0.41,0.0000,0.0018, 21800,0.79,0.01,99,49,11037.11,7096.49,2598.48,3.11,77.76,0.42,10.62,26.13,24.90,0.00,48.97,0.00,100.00,0.00,0.00,0.00,0.00,11.09,13.25,0.01,75.66,0.00,100.00,0.00,0.00,0.00,0.00,61.23,50.98,4.58 ,4.49 ,0.00 ,0.10 ,3.00,3.00,2.12,1.90,1.12,1.12,0.16,13.73,0.99,0.09,0.0000,0.0025,  7080,100.00,0.00,0.00,0.00,0.00,55,5509.24,2898.12,2598.48,3.80,95.05,4.24,106.01,
2024-02-15,09:21:58.322,0.55,1.88,0.29,1.12,1.09,53.56,0.98,0.65,0.0000,0.0019, 22680,0.78,0.98,99,51,28701.08,15240.42,2595.72,3.77,94.16,1.11,27.65,0.21,1.55,0.14,1.23,0.07,20.19,1.00,0.41,0.0000,0.0018, 21440,0.77,0.01,98,48,11031.20,7096.87,2595.72,3.11,77.72,0.43,10.63,26.32,25.40,0.00,48.27,0.00,100.00,0.00,0.00,0.00,0.00,11.11,13.38,0.00,75.50,0.00,100.00,0.00,0.00,0.00,0.00,61.94,50.97,4.57 ,4.49 ,0.03 ,0.10 ,3.00,3.00,3.06,2.75,1.12,1.12,0.01,18.60,1.00,0.09,0.0000,0.0023,  6960,100.00,0.00,0.00,0.00,0.00,54,7951.99,2895.16,2595.72,5.49,137.33,6.13,153.18,
2024-02-15,09:21:59.322,0.55,1.90,0.29,1.12,1.06,53.14,0.98,0.65,0.0000,0.0018, 22960,0.78,0.97,99,51,28743.88,15164.98,2597.73,3.79,94.77,1.11,27.66,0.21,1.56,0.14,1.23,0.06,20.11,1.00,0.41,0.0000,0.0018, 21720,0.75,0.01,99,48,11058.20,7071.35,2597.73,3.13,78.19,0.43,10.64,26.17,24.95,0.00,48.88,0.00,100.00,0.00,0.00,0.00,0.00,11.06,13.35,0.00,75.59,0.00,100.00,0.00,0.00,0.00,0.00,61.95,50.99,4.58 ,4.49 ,0.03 ,0.10 ,3.00,3.00,3.07,2.75,1.12,1.12,0.01,18.47,1.00,0.09,0.0000,0.0023,  6680,100.00,0.00,0.00,0.00,0.00,55,7970.99,2897.33,2597.73,5.50,137.56,6.14,153.43,
2024-02-15,09:22:00.322,0.56,1.90,0.29,1.12,1.07,52.90,0.98,0.65,0.0000,0.0018, 22840,0.78,0.94,99,51,29048.76,15287.41,2597.72,3.80,95.01,1.12,27.96,0.21,1.56,0.14,1.23,0.05,19.80,1.00,0.41,0.0000,0.0018, 21480,0.74,0.01,98,47,11012.39,7079.55,2597.72,3.11,77.78,0.42,10.60,26.38,25.09,0.00,48.53,0.00,100.00,0.00,0.00,0.00,0.00,11.12,14.20,0.00,74.68,0.00,100.00,0.00,0.00,0.00,0.00,62.07,51.05,4.59 ,4.48 ,617824.64 ,674118.40 ,3.00,3.00,3.07,2.75,1.12,1.12,0.01,18.39,1.00,0.09,0.0000,0.0023,  6760,100.00,0.00,0.00,0.00,0.00,54,7981.67,2897.44,2597.72,5.51,137.74,6.15,153.63,
2024-02-15,09:22:01.322,0.58,2.01,0.29,1.12,1.01,53.50,0.98,0.65,0.0000,0.0018, 22720,0.79,0.76,99,51,30300.52,15109.80,2596.54,4.01,100.27,1.17,29.18,0.21,1.57,0.14,1.23,0.06,20.23,1.00,0.40,0.0000,0.0018, 21320,0.73,0.01,99,47,10998.63,7018.32,2596.54,3.13,78.36,0.42,10.59,26.09,24.93,0.00,48.98,0.00,100.00,0.00,0.00,0.00,0.00,10.97,13.28,0.01,75.75,0.00,100.00,0.00,0.00,0.00,0.00,62.07,50.97,4.55 ,4.47 ,0.00 ,0.03 ,3.00,3.00,3.12,2.79,1.12,1.12,0.01,18.65,1.00,0.09,0.0000,0.0023,  6800,100.00,0.00,0.00,0.00,0.00,55,8091.63,2896.25,2596.54,5.59,139.69,6.23,155.81,
2024-02-15,09:22:02.323,0.50,1.71,0.29,1.12,1.20,58.58,0.98,0.62,0.0000,0.0022, 22360,0.69,1.14,99,51,26151.58,15251.75,2599.47,3.43,85.73,1.01,25.15,0.21,1.56,0.14,1.23,0.05,20.35,1.00,0.40,0.0000,0.0018, 21400,0.73,0.01,98,48,11070.55,7087.09,2599.47,3.12,78.10,0.43,10.65,26.30,24.96,0.00,48.74,0.00,100.00,0.00,0.00,0.00,0.00,11.08,13.40,0.00,75.52,0.00,100.00,0.00,0.00,0.00,0.00,61.71,51.08,4.65 ,4.48 ,0.00 ,0.03 ,3.00,3.00,2.80,2.51,1.12,1.12,0.01,20.40,1.00,0.09,0.0000,0.0028,  6000,99.99,0.01,0.00,0.00,0.00,54,7272.10,2899.15,2599.47,5.02,125.42,5.60,139.88,
2024-02-15,09:22:03.323,0.50,1.74,0.29,1.12,1.14,57.66,0.98,0.62,0.0000,0.0022, 22640,0.70,1.11,99,51,26209.02,15101.83,2597.77,3.47,86.77,1.01,25.22,0.21,1.57,0.14,1.23,0.04,20.00,1.00,0.41,0.0000,0.0018, 21760,0.71,0.01,99,47,11051.29,7049.66,2597.77,3.14,78.38,0.43,10.64,26.06,24.77,0.00,49.16,0.00,100.00,0.00,0.00,0.00,0.00,11.03,13.73,0.00,75.23,0.00,100.00,0.00,0.00,0.00,0.00,61.53,51.02,4.64 ,4.47 ,0.00 ,0.03 ,3.00,3.00,2.80,2.51,1.12,1.12,0.01,20.11,1.00,0.09,0.0000,0.0028,  5400,100.00,0.00,0.00,0.00,0.00,54,7273.48,2897.59,2597.77,5.02,125.51,5.60,140.00,
