Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,3327730,1902208,253358,33871208,7824684,0,334278(Total)
0,36134,1276072,33824,2375982,5326664,140,351512(Miss)
0,3291596,626136,219534,31495226,2498020,0,0(Hit)
1,21531440,234290,2737168,15044862,0,53270,307048(Total)
1,13089440,0,28,104930,0,52570,309078(Miss)
1,8442000,234290,2737140,14939932,0,700,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,8672874,2048564,3200260,30178456,11214546,140,83930(Total)
0,189574,1667890,237300,2383836,3074204,140,85638(Miss)
0,8483300,380674,2962960,27794620,8140342,0,0(Hit)
1,21243096,231070,4228098,16403604,0,52402,310422(Total)
1,11958464,0,13356,516348,0,52416,307132(Miss)
1,9284632,231070,4214742,15887256,0,0,3290(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,1989260,2786042,88494,40734806,9789094,140,390824(Total)
0,831026,384188,24766,2861908,7143416,0,403592(Miss)
0,1158234,2401854,63728,37872898,2645678,140,0(Hit)
1,21321692,237006,2685984,13368614,0,52640,310310(Total)
1,12483884,0,3822,97454,0,53200,307300(Miss)
1,8837808,237006,2682162,13271160,0,0,3010(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,10588732,2800532,178556,39549202,9344538,112,386862(Total)
0,154210,1142008,154378,2774562,6925954,0,398734(Miss)
0,10434522,1658524,24178,36774640,2418584,112,0(Hit)
1,21620774,236404,2834860,13261178,0,52402,310604(Total)
1,11975600,14,39662,25718,0,53186,308336(Miss)
1,9645174,236390,2795198,13235460,0,0,2268(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,10332168,2767996,474334,39036312,9476726,112,409108(Total)
0,158536,1221752,274582,2768066,6925912,0,388808(Miss)
0,10173632,1546244,199752,36268246,2550814,112,20300(Hit)
1,21577640,237454,3179204,13039292,0,52332,315252(Total)
1,11542986,14,17500,5964,0,53130,305942(Miss)
1,10034654,237440,3161704,13033328,0,0,9310(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,10321164,2683506,705782,38364578,9144898,0,417424(Total)
0,159208,1241016,310940,2814574,6949866,140,410522(Miss)
0,10161956,1442490,394842,35550004,2195032,0,6902(Hit)
1,21613116,233338,3202584,13031102,0,52332,313600(Total)
1,11262944,14,5138,12502,0,52388,310800(Miss)
1,10350172,233324,3197446,13018600,0,0,2800(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,10559780,2764482,610736,39318202,9760562,0,760704(Total)
0,162778,1274728,304934,2702336,7031150,140,742420(Miss)
0,10397002,1489754,305802,36615866,2729412,0,18284(Hit)
1,21566944,234528,3526278,13493480,0,52472,313908(Total)
1,11127536,0,4410,10458,0,52486,310058(Miss)
1,10439408,234528,3521868,13483022,0,0,3850(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,19679940,3957856,511476,34142346,7527548,0,327516(Total)
0,341782,2140208,239736,2496676,5291524,140,328510(Miss)
0,19338158,1817648,271740,31645670,2236024,0,0(Hit)
1,21377776,234486,3812802,13841338,0,52374,310898(Total)
1,11180274,0,7756,60788,0,52346,310198(Miss)
1,10197502,234486,3805046,13780550,0,28,700(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,7939610,2304988,348292,52560256,15865122,140,326928(Total)
0,127624,1145648,238630,488082,12877074,112,329658(Miss)
0,7811986,1159340,109662,52072174,2988048,28,0(Hit)
1,21368186,232358,3810758,13655054,0,51912,310856(Total)
1,11116546,0,14378,19642,0,52290,314202(Miss)
1,10251640,232358,3796380,13635412,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,7803698,2281706,504504,33746342,7403172,140,364378(Total)
0,134554,1182342,220514,2494156,5634706,0,335818(Miss)
0,7669144,1099364,283990,31252186,1768466,140,28560(Hit)
1,21306474,233870,3611426,13625024,0,52654,309680(Total)
1,10945802,0,6202,25830,0,52206,314076(Miss)
1,10360672,233870,3605224,13599194,0,448,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,22314810,5835060,331436,54308954,10797668,140,416766(Total)
0,323274,2096836,296548,154756,12730914,0,422198(Miss)
0,21991536,3738224,34888,54154198,0,140,0(Hit)
1,21274148,235760,3797192,14194558,0,52472,310478(Total)
1,10756368,0,7266,42154,0,52164,312424(Miss)
1,10517780,235760,3789926,14152404,0,308,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,11088294,2887500,1018864,40042002,10095442,112,341264(Total)
0,188244,1364776,238602,2544402,7458220,0,299208(Miss)
0,10900050,1522724,780262,37497600,2637222,112,42056(Hit)
1,21572502,236964,3683008,13130922,0,52220,302792(Total)
1,10810310,0,5180,17528,0,52276,280994(Miss)
1,10762192,236964,3677828,13113394,0,0,21798(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,8588468,5155262,1853908,54483856,15530270,840,818552(Total)
0,547400,1633044,581434,1163946,12820528,0,829934(Miss)
0,8041068,3522218,1272474,53319910,2709742,840,0(Hit)
1,21512862,235928,3958990,13260730,0,52612,314020(Total)
1,11362680,0,32550,64204,0,52500,312312(Miss)
1,10150182,235928,3926440,13196526,0,112,1708(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,22648108,4317432,1605912,39262874,8928920,0,389228(Total)
0,280070,1901872,142338,2629480,6494152,140,386666(Miss)
0,22368038,2415560,1463574,36633394,2434768,0,2562(Hit)
1,21546182,235228,4790422,13424264,0,53032,314076(Total)
1,11669588,0,59766,99106,0,51730,310856(Miss)
1,9876594,235228,4730656,13325158,0,1302,3220(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9773148,2645370,1719312,52285268,15583666,0,404390(Total)
0,148778,1168776,101584,516278,12836054,140,400596(Miss)
0,9624370,1476594,1617728,51768990,2747612,0,3794(Hit)
1,21578200,235102,5119562,12968158,0,52976,316022(Total)
1,11571504,0,644,13146,0,52584,309582(Miss)
1,10006696,235102,5118918,12955012,0,392,6440(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,10023496,2691136,3034262,38767918,9338280,0,397474(Total)
0,178192,1344448,6412,2779098,6967870,140,400442(Miss)
0,9845304,1346688,3027850,35988820,2370410,0,0(Hit)
1,21264768,232624,4438924,13308246,0,52948,310926(Total)
1,11169872,0,84,31192,0,52570,309596(Miss)
1,10094896,232624,4438840,13277054,0,378,1330(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9938656,2664438,1712550,38757628,9362514,280,399896(Total)
0,181846,1340654,20258,2653406,6943734,140,405160(Miss)
0,9756810,1323784,1692292,36104222,2418780,140,0(Hit)
1,21314790,232722,5566162,13273064,0,51982,310114(Total)
1,11074364,0,154,25438,0,52388,312508(Miss)
1,10240426,232722,5566008,13247626,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,10035452,2789444,1364174,40027932,9747402,140,414232(Total)
0,177240,1381674,12880,2821546,7361536,0,418012(Miss)
0,9858212,1407770,1351294,37206386,2385866,140,0(Hit)
1,21305060,234892,5555844,13042918,0,52332,311220(Total)
1,11148060,0,2478,17514,0,52906,313278(Miss)
1,10157000,234892,5553366,13025404,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,10721970,2827874,2386566,53534222,15400252,140,393680(Total)
0,189826,1351938,26754,439432,12887308,0,404236(Miss)
0,10532144,1475936,2359812,53094790,2512944,140,0(Hit)
1,21339640,235368,5257350,14395850,0,52458,311066(Total)
1,10870034,0,2562,35756,0,53284,314874(Miss)
1,10469606,235368,5254788,14360094,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,10010014,2701314,1844486,38033254,9221548,140,406924(Total)
0,179116,1345358,18564,2902690,6883884,0,397236(Miss)
0,9830898,1355956,1825922,35130564,2337664,140,9688(Hit)
1,21603442,235676,5486768,13504386,0,52486,316792(Total)
1,10617964,0,2548,23898,0,52990,311738(Miss)
1,10985478,235676,5484220,13480488,0,0,5054(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,10003966,2704772,2507232,38406648,9245572,0,400946(Total)
0,173838,1335292,18144,2677416,6949544,182,395500(Miss)
0,9830128,1369480,2489088,35729232,2296028,0,5446(Hit)
1,21611170,236796,5391106,13381830,0,53200,312816(Total)
1,10549532,0,2352,10822,0,52430,311444(Miss)
1,11061638,236796,5388754,13371008,0,770,1372(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,10525914,2754584,1504160,39192482,9833222,0,420322(Total)
0,178290,1375514,3234,2608214,7195482,238,408604(Miss)
0,10347624,1379070,1500926,36584268,2637740,0,11718(Hit)
1,21607656,233590,6001618,13578726,0,52892,313950(Total)
1,10441928,0,0,11536,0,52570,309974(Miss)
1,11165728,233590,6001618,13567190,0,322,3976(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,8828120,2351020,4110008,52706948,15707398,0,396760(Total)
0,172032,1146712,374598,350420,12907062,154,394730(Miss)
0,8656088,1204308,3735410,52356528,2800336,0,2030(Hit)
1,21325976,220962,8078280,19080362,0,54012,310282(Total)
1,10901366,0,39004,105910,0,52570,309246(Miss)
1,10424610,220962,8039276,18974452,0,1442,1036(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9868656,2673636,1191904,38445442,9480828,112,399336(Total)
0,168448,1350300,145824,2644698,6851950,154,407876(Miss)
0,9700208,1323336,1046080,35800744,2628878,0,0(Hit)
1,21378672,232932,6078324,13805722,0,53396,308700(Total)
1,12255012,0,10878,104944,0,52514,312116(Miss)
1,9123660,232932,6067446,13700778,0,882,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,21837326,5297208,2305730,49582372,15586508,140,807394(Total)
0,313432,2124794,171990,1778924,12101978,0,816522(Miss)
0,21523894,3172414,2133740,47803448,3484530,140,0(Hit)
1,21282072,235704,4874660,13447588,0,53592,309316(Total)
1,11813158,0,3850,15008,0,53242,315658(Miss)
