Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,964658702,3738812,2294628,146343386,15875902,0,630784(Total)
0,194684,2686040,37156,529774,7834400,140,619962(Miss)
0,964464018,1052772,2257472,145813612,8041502,0,10822(Hit)
1,55450290,235816,5264238,16139074,0,53116,311724(Total)
1,11375098,0,10654,34384,0,52738,306502(Miss)
1,44075192,235816,5253584,16104690,0,378,5222(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,21698460,4337998,2412886,152973968,15795010,0,667982(Total)
0,169330,2062256,45108,658168,7560490,140,656110(Miss)
0,21529130,2275742,2367778,152315800,8234520,0,11872(Hit)
1,21297402,231798,5080712,16372118,0,52892,313782(Total)
1,12167554,0,770,10948,0,52444,306488(Miss)
1,9129848,231798,5079942,16361170,0,448,7294(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,21947030,4779334,2086532,157560746,15689142,84,697116(Total)
0,128030,1729462,57470,702212,7331282,140,666792(Miss)
0,21819000,3049872,2029062,156858534,8357860,0,30324(Hit)
1,21287994,232204,5012714,16324378,0,53060,313418(Total)
1,11588878,0,490,56840,0,52346,306740(Miss)
1,9699116,232204,5012224,16267538,0,714,6678(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,21706958,4860492,1705004,159592384,15808814,0,723184(Total)
0,99974,1506078,66052,729918,7268324,140,704648(Miss)
0,21606984,3354414,1638952,158862466,8540490,0,18536(Hit)
1,21041874,231728,4587100,16451120,0,53032,311430(Total)
1,11616206,0,812,67662,0,52318,306544(Miss)
1,9425668,231728,4586288,16383458,0,714,4886(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,21927416,4976244,1905064,163763404,14996940,0,739074(Total)
0,100184,1371412,63518,733852,7206612,140,721392(Miss)
0,21827232,3604832,1841546,163029552,7790328,0,17682(Hit)
1,21036428,231980,4622982,16261392,0,52878,313026(Total)
1,11684260,0,420,19908,0,52080,307062(Miss)
1,9352168,231980,4622562,16241484,0,798,5964(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,21779534,5157810,1804138,163379398,15745912,0,761488(Total)
0,71764,1296946,52094,776244,7183638,112,727860(Miss)
0,21707770,3860864,1752044,162603154,8562274,0,33628(Hit)
1,21173684,231014,4998112,16891490,0,52878,312634(Total)
1,11621792,0,784,82768,0,52556,307986(Miss)
1,9551892,231014,4997328,16808722,0,322,4648(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,22013544,5330738,1674792,167269802,15725066,0,766080(Total)
0,73094,1222172,59192,736792,7144676,140,730240(Miss)
0,21940450,4108566,1615600,166533010,8580390,0,35840(Hit)
1,21187530,231728,4603312,16791488,0,52766,308350(Total)
1,11781042,0,798,37534,0,52612,309512(Miss)
1,9406488,231728,4602514,16753954,0,154,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,22239112,5360516,1750714,170128672,15680224,0,771036(Total)
0,69132,1194606,93198,917210,7150822,140,754040(Miss)
0,22169980,4165910,1657516,169211462,8529402,0,16996(Hit)
1,21203154,230930,4580352,16717596,0,52808,309582(Total)
1,11815538,0,602,24360,0,52430,309092(Miss)
1,9387616,230930,4579750,16693236,0,378,490(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,22261890,5413828,1745520,171059210,15675520,0,776608(Total)
0,64386,1150814,52696,725606,7137256,140,743540(Miss)
0,22197504,4263014,1692824,170333604,8538264,0,33068(Hit)
1,21193718,231476,4585168,16012430,0,52640,309176(Total)
1,11541180,0,56,34538,0,52458,308742(Miss)
1,9652538,231476,4585112,15977892,0,182,434(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,21650272,4486944,1758554,169722042,15635396,0,793520(Total)
0,62552,1301944,158438,638736,7370118,140,768558(Miss)
0,21587720,3185000,1600116,169083306,8265278,0,24962(Hit)
1,21564060,229292,4817218,16071160,0,52822,308826(Total)
1,11500958,0,36120,144942,0,52304,309806(Miss)
1,10063102,229292,4781098,15926218,0,518,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,22300558,5516560,1660036,175045290,15627556,140,809662(Total)
0,56168,1157912,119042,666806,7142688,140,796656(Miss)
0,22244390,4358648,1540994,174378484,8484868,0,13006(Hit)
1,21324926,230888,4581598,16356816,0,51870,308826(Total)
1,12280996,0,3402,104020,0,52570,313754(Miss)
1,9043930,230888,4578196,16252796,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,22401694,5586714,1637244,175315070,15612198,140,809746(Total)
0,40796,1103900,39536,672182,7132664,140,804790(Miss)
0,22360898,4482814,1597708,174642888,8479534,0,4956(Hit)
1,21256802,231196,4485978,15945748,0,52178,308182(Total)
1,11984504,0,2646,29372,0,52472,313026(Miss)
1,9272298,231196,4483332,15916376,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,22545754,5545442,1536822,175564928,15591716,140,829122(Total)
0,37254,1082130,33180,672672,7088830,140,822234(Miss)
0,22508500,4463312,1503642,174892256,8502886,0,6888(Hit)
1,21297738,230706,4507496,16076788,0,52136,308616(Total)
1,11662434,0,2520,47964,0,52402,311878(Miss)
1,9635304,230706,4504976,16028824,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,22435210,5607854,1530200,177465526,15602384,140,823704(Total)
0,32648,1056048,88914,673036,7088354,0,809550(Miss)
0,22402562,4551806,1441286,176792490,8514030,140,14154(Hit)
1,21330610,230902,4532262,16377998,0,52444,307916(Total)
1,11554732,0,2324,94794,0,53228,314244(Miss)
1,9775878,230902,4529938,16283204,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,21550886,5672310,1598604,177842644,15422834,112,823578(Total)
0,38528,1051134,38556,662214,7128100,0,769314(Miss)
0,21512358,4621176,1560048,177180430,8294734,112,54264(Hit)
1,20252722,233016,4534740,16015636,0,52192,308798(Total)
1,11512284,0,2786,29988,0,52962,311234(Miss)
1,8740438,233016,4531954,15985648,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,22640856,5691378,1613682,176945636,15445794,140,829584(Total)
0,21364,1034488,47110,698194,7175672,0,769804(Miss)
0,22619492,4656890,1566572,176247442,8270122,140,59780(Hit)
1,21317366,233478,4569054,16187220,0,52094,308784(Total)
1,11727394,0,2758,66472,0,52626,313236(Miss)
1,9589972,233478,4566296,16120748,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,22560356,5695620,1521814,177689960,15419642,140,830158(Total)
0,15498,1037400,91476,646772,7133784,0,771218(Miss)
0,22544858,4658220,1430338,177043188,8285858,140,58940(Hit)
1,21222012,232176,4428466,16566228,0,52234,309358(Total)
1,11696160,0,2268,76342,0,52990,310842(Miss)
1,9525852,232176,4426198,16489886,0,0,0(Hit)
