Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1707768244,Device: id=1,RX,0.1389791481134,386.92042221819,409.15708591633,155503,54115390
1707768245,Device: id=1,RX,0.22701600504445,642.18085179088,678.50341259799,387088,136003588
1707768246,Device: id=1,RX,0.25961615568194,733.92751713676,775.46610204587,646705,227744826
1707768247,Device: id=1,RX,1.0450957118195,2955.0001672632,3122.2154811543,1691813,597124190
1707768248,Device: id=1,RX,1.7491582414327,4945.4208555147,5225.2861741439,3440984,1215306306
1707768249,Device: id=1,RX,1.7487996344825,4950.3999693565,5230.2079108737,5189819,1834118816
1707768250,Device: id=1,RX,1.6066038308227,4544.3949694532,4801.4515823849,6796444,2402175672
1707768251,Device: id=1,RX,1.0639577256312,3002.4145427689,3172.6477788699,7860474,2777502984
1707768252,Device: id=1,RX,1.062349729312,3002.9420009585,3172.9179576484,8922884,3152892030
1707768253,Device: id=1,RX,1.063014715516,3001.3361976245,3171.418552107,9985928,3528069390
1707768254,Device: id=1,RX,1.0626408877145,3001.9849157344,3172.0074577687,11048615,3903333788
1707768255,Device: id=1,RX,1.061852894413,3004.2245835258,3174.1210466318,12110515,4278878520
1707768256,Device: id=1,RX,1.0585221373721,2990.0259985125,3159.389540492,13169067,4652642314
1707768257,Device: id=1,RX,1.062998128096,3003.7262837099,3173.8059842052,14232078,5028112646
1707768258,Device: id=1,RX,1.0608010764175,3004.3322093874,3174.0603816142,15292931,5403672554
1707768259,Device: id=1,RX,1.0626561411062,3003.9744281377,3173.9994107147,16355630,5779184502
1707768260,Device: id=1,RX,1.3339522018223,3768.8640194736,3982.2963717651,17689605,6250300556
1707768261,Device: id=1,RX,2.5573392240415,7225.1264882129,7634.3007640595,20246951,7153443760
1707768262,Device: id=1,RX,2.5682675256643,7262.5729634019,7673.4957675082,22815265,8061281808
1707768263,Device: id=1,RX,2.5705524722369,7264.7048548247,7675.9932503826,25385847,8969380346
1707768264,Device: id=1,RX,2.5663723251911,7264.7508248224,7675.370396853,27952232,9877478684
1707768265,Device: id=1,RX,2.5698256131441,7265.2059207875,7676.3780188905,30522079,10785636982
1707768266,Device: id=1,RX,2.571074853269,7271.7073789489,7683.0793554719,33093176,11694608234
1707768267,Device: id=1,RX,2.5750482335348,7275.094910989,7687.1026283545,35668254,12604005610
1707768268,Device: id=1,RX,2.5686978844071,7264.1079135373,7675.0995750425,38237019,13512042824
1707768269,Device: id=1,RX,2.5666957204039,7262.1117365755,7672.7830518401,40803727,14419811134
1707768270,Device: id=1,RX,2.5201219133175,7115.3016198652,7518.521125996,43323850,15309224220
1707768271,Device: id=1,RX,2.4958912401581,7064.5031277097,7463.845726135,45819772,16192297994
1707768272,Device: id=1,RX,2.5003767763564,7073.3704516748,7473.4307358919,48320179,17076479988
1707768273,Device: id=1,RX,2.5021371196947,7073.2599488797,7473.6018880308,50822365,17960654754
1707768274,Device: id=1,RX,2.5037381497998,7069.8343824906,7470.4324864585,53326129,18844393176
1707768275,Device: id=1,RX,2.5015084083503,7069.6306514109,7469.871996747,55827655,19728103222
1707768276,Device: id=1,RX,2.4998950520454,7071.7242078239,7471.7074161512,58327574,20612077216
1707768277,Device: id=1,RX,2.4995050104537,7074.1412882849,7474.0620899574,60827085,21496346996
1707768278,Device: id=1,RX,2.5035053308945,7073.6575243927,7474.2183773358,63330629,22380567844
1707768279,Device: id=1,RX,2.4995162198368,7071.9814378715,7471.9040330453,65830163,23264571812
1707768280,Device: id=1,RX,2.3025082276107,6512.0742286014,6880.4755450191,68132731,24078602222
1707768281,Device: id=1,RX,1.4290170089354,4042.1962821062,4270.8390035359,69561820,24583902212
1707768282,Device: id=1,RX,1.4342963773351,4047.1400104681,4276.6274308417,70996141,25089803398
1707768283,Device: id=1,RX,1.4321701247092,4049.9744544996,4279.121674453,72428324,25596054756
1707768284,Device: id=1,RX,1.43155295945,4049.0348090876,4278.0832825996,73859925,26102201092
1707768285,Device: id=1,RX,1.4301531606843,4049.9139488959,4278.7384546054,75290108,26608450898
1707768286,Device: id=1,RX,1.4332245880848,4050.1650636563,4279.4809977499,76723352,27114728388
1707768287,Device: id=1,RX,1.4315755583666,4049.6461202406,4278.6982095792,78154946,27620940674
1707768288,Device: id=1,RX,1.4333453478869,4050.3884228329,4279.7236784948,79588348,28127259238
1707768289,Device: id=1,RX,1.4306272992994,4048.4221260954,4277.3224939833,81019004,28633322156
1707768290,Device: id=1,RX,1.467744844536,4144.4162728784,4379.2554480042,82486796,29151390834
1707768291,Device: id=1,RX,1.6159136690629,4566.3141938343,4824.8603808844,84102779,29722204598
1707768292,Device: id=1,RX,1.6158720201584,4572.9264268724,4831.4659500978,85718684,30293832068
1707768293,Device: id=1,RX,1.6177534272626,4572.0643246224,4830.9048729844,87336453,30865345610
1707768294,Device: id=1,RX,1.613336657792,4563.2459653663,4821.3798306131,88949796,31435753598
1707768295,Device: id=1,RX,1.6186470046524,4574.8204931126,4833.8040138569,90568474,32007617110
1707768296,Device: id=1,RX,1.6149727855343,4572.9727109602,4831.3683566457,92183504,32579258950
1707768297,Device: id=1,RX,1.6123272330438,4567.1512558687,4825.1236131557,93795850,33150159502
1707768298,Device: id=1,RX,1.6181368550275,4572.6554718034,4831.5573686078,95413999,33721745726
1707768299,Device: id=1,RX,1.6169285521903,4573.2142581028,4831.9228264532,97030938,34293401202
1707768300,Device: id=1,RX,1.450290179493,4097.9671037803,4330.0135324991,98481324,34805680934
1707768301,Device: id=1,RX,0.70412393651251,1990.5479831413,2103.2078129833,99185490,35054514296
1707768302,Device: id=1,RX,0.7033540402834,1990.5395910234,2103.0762374688,99888888,35303347296
1707768303,Device: id=1,RX,0.70343948791233,1990.5551952285,2103.1055132944,100592408,35552195174
1707768304,Device: id=1,RX,0.70287728903158,1990.5294122118,2102.9897784568,101295347,35801033196
1707768305,Device: id=1,RX,0.70500481175634,1990.5530058735,2103.3537757545,102000399,36049868976
1707768306,Device: id=1,RX,0.70462505136528,1990.5368318441,2103.2768400625,102705042,36298692418
1707768307,Device: id=1,RX,0.70101705536775,1990.5580029011,2102.7207317599,103406105,36547528476
1707768308,Device: id=1,RX,0.70373347236339,1990.5528725574,2103.1502281355,104109880,36796362268
1707768309,Device: id=1,RX,0.70509324505468,1990.5209025361,2103.3358217449,104815027,37045196350
1707768310,Device: id=1,RX,1.0288569267092,2909.1569340196,3073.774042293,105843896,37408845234
1707768311,Device: id=1,RX,2.4070115471634,6790.5504498495,7175.6722973956,108250964,38257683948
1707768312,Device: id=1,RX,2.4632913345136,6965.4960226176,7359.6226361398,110714286,39128381790
1707768313,Device: id=1,RX,2.4633408095575,6966.2939698023,7360.4284993315,113177654,39999178148
1707768314,Device: id=1,RX,2.4607267419091,6967.3354735497,7361.0517522552,115638402,40870102606
1707768315,Device: id=1,RX,2.4637859293135,6971.9514765412,7366.1572252313,118102208,41741603640
1707768316,Device: id=1,RX,2.4633652550594,6971.2752204621,7365.4136612716,120565606,42613024626
1707768317,Device: id=1,RX,2.4640319026937,6972.3070028584,7366.5521072894,123029644,43484565158
1707768318,Device: id=1,RX,2.4640519493539,6974.2469351302,7368.4952470268,125493730,44356358072
1707768319,Device: id=1,RX,2.4629044812277,6967.0978568251,7361.1625738216,127956669,45227257510
1707768320,Device: id=1,RX,2.4317924946003,6879.8483552417,7268.9351543777,130388493,46087249696
1707768321,Device: id=1,RX,2.2877730868628,6463.8491418066,6829.8928357046,132676283,46895236812
1707768322,Device: id=1,RX,2.2907385260182,6471.0258811828,6837.5440453458,134967045,47704123336
1707768323,Device: id=1,RX,2.2930600486329,6479.9630091553,6846.8526169366,137260143,48514132118
1707768324,Device: id=1,RX,2.2889459324498,6476.998668077,6843.230017269,139549163,49323783150
1707768325,Device: id=1,RX,2.2870317147204,6478.7723175155,6844.6973918708,141836246,50133647850
1707768326,Device: id=1,RX,2.2904603624157,6476.3160546707,6842.7897126572,144126768,50943209142
1707768327,Device: id=1,RX,2.289475741189,6481.5057703069,6847.8218888972,146416283,51753411256
1707768328,Device: id=1,RX,2.2917001346113,6482.2157476324,6848.8877691702,148707985,52563688884
1707768329,Device: id=1,RX,2.2900375723826,6478.5946261189,6845.0006377001,150998027,53373514778
1707768330,Device: id=1,RX,2.3143405724998,6538.8252867022,6909.1197783022,153312375,54190870562
1707768331,Device: id=1,RX,2.4043128232804,6793.7966325985,7178.4866843233,155716700,55040099442
1707768332,Device: id=1,RX,2.3393520062849,6591.6762991415,6965.9726201471,158056065,55864063556
1707768333,Device: id=1,RX,2.4018407118252,6792.6917693802,7176.9862832723,160457970,56713172754
1707768334,Device: id=1,RX,2.4005971750071,6791.1520999727,7175.2476479738,162858600,57562078374
1707768335,Device: id=1,RX,2.4020525222387,6793.6787126881,7178.0071162463,165260696,58411303584
1707768336,Device: id=1,RX,2.4014185102075,6794.407974215,7178.6349358482,167662115,59260604754
1707768337,Device: id=1,RX,2.399571265826,6794.1286957331,7178.0600982653,170061724,60109884196
1707768338,Device: id=1,RX,2.399198153284,6788.2626276396,7172.134332165,172460984,60958438898
1707768339,Device: id=1,RX,2.4041160547286,6793.2307243091,7177.8892930656,174865147,61807609320
1707768340,Device: id=1,RX,2.0420762130643,5787.5875714855,6114.3197655758,176907249,62531066902
1707768341,Device: id=1,RX,0.47319340402503,1335.2173937241,1410.9283383681,177380462,62697975988
1707768342,Device: id=1,RX,0.47216011391558,1335.2182293174,1410.7638475439,177852689,62864901910
1707768343,Device: id=1,RX,0.47049505679417,1335.2182015738,1410.4974106609,178323188,63031805584
1707768344,Device: id=1,RX,0.47322363413862,1335.2227970261,1410.9385784883,178796437,63198717380
1707768345,Device: id=1,RX,0.47168382661304,1335.2273468159,1410.696759074,179268184,63365643152
1707768346,Device: id=1,RX,0.4724285025493,1335.2028985234,1410.7914589313,179740627,63532548636
1707768347,Device: id=1,RX,0.47204520478388,1335.2154134391,1410.7426462045,180212696,63699458976
1707768348,Device: id=1,RX,0.47063729210052,1335.2229238572,1410.5248905933,180683349,63866367412
1707768349,Device: id=1,RX,0.4717671164269,1335.2138469855,1410.6965856138,181155160,64033284668
1707768350,Device: id=1,RX,0.79138671281333,2236.7230766387,2363.3449506888,181946564,64312881160
1707768351,Device: id=1,RX,2.1952086302203,6207.5501905748,6558.7835714101,184141774,65088825418
1707768352,Device: id=1,RX,2.1854409049815,6180.2173513925,6529.8878961896,186327216,65861352974
1707768353,Device: id=1,RX,2.190619839784,6199.2061724182,6549.7053467836,188517852,66636259462
1707768354,Device: id=1,RX,2.1957635299967,6205.0242603161,6556.3464251156,190713643,67411897198
1707768355,Device: id=1,RX,2.1967539213779,6211.4813365276,6562.961963948,192910413,68188338048
1707768356,Device: id=1,RX,2.1970442792791,6209.5600884129,6561.0871730976,195107466,68964536140
1707768357,Device: id=1,RX,2.1971730760343,6208.0504077375,6559.598099903,197304671,69740553716
