Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1662062233,Device: id=0,TX,0.20949265587238,592.90605905143,626.42488399101,209513,74122678
1662062234,Device: id=0,TX,0.69111346446174,1956.628000087,2067.2061544009,900641,318706322
1662062235,Device: id=0,TX,0.7062208953643,1999.9345062718,2112.9298495301,1606884,568705960
1662062236,Device: id=0,TX,0.70705757492499,1999.9248173391,2113.0540293271,2313989,818713330
1662062237,Device: id=0,TX,0.70839485910169,1999.9730467326,2113.3162241889,3022390,1068712128
1662062238,Device: id=0,TX,0.70775843714054,1999.920885077,2113.1622350195,3730189,1318716566
1662062239,Device: id=0,TX,0.70648902596683,1999.9207595571,2112.9590037118,4436716,1568720098
1662062240,Device: id=0,TX,0.70790407507311,1999.9828595795,2113.2475115912,5144673,1818736646
1662062241,Device: id=0,TX,0.70603315896219,1999.9003356422,2112.8656410762,5850765,2068745022
1662062242,Device: id=0,TX,0.70535182685387,1999.9285426449,2112.7848349415,6556176,2318757062
1662062243,Device: id=0,TX,0.70844165313862,2000.0256136775,2113.3762781797,7264656,2568773796
1662062244,Device: id=0,TX,0.7072623051923,1999.8505037723,2113.012472603,7971920,2818755708
1662062245,Device: id=0,TX,0.70673814992757,1999.9309588104,2113.0090627988,8678712,3068766126
1662062246,Device: id=0,TX,0.70653281133632,1999.9432492683,2112.9884990822,9385274,3318769360
1662062247,Device: id=0,TX,0.70727298965729,1999.9345183474,2113.0981966925,10092570,3568769308
1662062248,Device: id=0,TX,0.70651470312609,1999.9310818408,2112.973434341,10799099,3818765752
1662062249,Device: id=0,TX,0.70726923728789,1999.9438613959,2113.1069393619,11506429,4068780212
1662062250,Device: id=0,TX,0.70699868080414,1999.9372391519,2113.0570280806,12213472,4318788038
1662062251,Device: id=0,TX,0.70858217607641,1999.9308381986,2113.3039863708,12922083,4568789562
1662062252,Device: id=0,TX,0.70670996960597,1999.9488803837,2113.0224755206,13628835,4818798040
1662062253,Device: id=0,TX,0.70758767976061,1999.926574843,2113.1406036047,14336453,5068799574
1662062254,Device: id=0,TX,0.70733406542783,1999.9456315166,2113.119081985,15043813,5318801944
1662062255,Device: id=0,TX,0.70880669662767,1999.9411697734,2113.3502412339,15752624,5568796108
1662062256,Device: id=0,TX,0.70640222522148,1999.9287212483,2112.9530772837,16459049,5818795258
1662062257,Device: id=0,TX,0.70772045104816,1999.9317401416,2113.1670123093,17166798,6068796810
1662062258,Device: id=0,TX,0.7099096004742,1999.9333363225,2113.5188723984,17876751,6318803760
1662062259,Device: id=0,TX,0.70808927323137,1999.9447270513,2113.2390107683,18584851,6568800638
1662062260,Device: id=0,TX,0.70638989525052,1999.9313858141,2112.9537690542,19291284,6818807316
1662062261,Device: id=0,TX,0.70921500628001,1999.9378441697,2113.4122451745,20000535,7068812234
1662062262,Device: id=0,TX,0.70975938996618,1999.9460961567,2113.5075985513,20710300,7318807472
1662062263,Device: id=0,TX,0.70631106970712,1999.9340943243,2112.9438654774,21416663,7568817614
1662062264,Device: id=0,TX,0.7064481172123,1999.9403702694,2112.9720690234,22123133,7818817904
1662062265,Device: id=0,TX,0.70612139173605,1999.931110014,2112.9105326918,22829310,8068828980
1662062266,Device: id=0,TX,0.70748945348162,1999.9338104291,2113.1321229862,23536873,8318846694
1662062267,Device: id=0,TX,0.70737630417269,1999.9360830934,2113.116291761,24244291,8568853440
1662062268,Device: id=0,TX,0.70732382831186,1999.9386556575,2113.1104681874,24951655,8818859970
1662062269,Device: id=0,TX,0.70856300589486,1999.9380597903,2113.3081407334,25660231,9068856812
1662062270,Device: id=0,TX,0.70943506019115,1999.9518312234,2113.461440854,26369672,9318852884
1662062271,Device: id=0,TX,0.7075690328847,1999.9207000522,2113.1317453137,27077290,9568860272
1662062272,Device: id=0,TX,0.70570163830064,1999.937815773,2112.8500779011,27783020,9818862546
1662062273,Device: id=0,TX,0.70707894213003,1999.935884227,2113.0685149678,28490126,10068864098
1662062274,Device: id=0,TX,0.70621699167111,1999.9330990126,2112.9278176799,29196368,10318864588
1662062275,Device: id=0,TX,0.70742642436318,1999.9418834166,2113.1301113147,29903858,10568879790
1662062276,Device: id=0,TX,0.70807252588147,1999.9342021799,2113.225806321,30611987,10818891504
1662062277,Device: id=0,TX,0.70603098180557,1999.9410984819,2112.9060555708,31318070,11068902560
1662062278,Device: id=0,TX,0.70937338598235,1999.9454556411,2113.4451973982,32027448,11318897368
1662062279,Device: id=0,TX,0.70738375364536,1999.9273513323,2113.1087519156,32734842,11568891908
