Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1662062534,Device: id=1,RX,0.19881747043337,562.49092159255,594.30171686189,203283,71890590
1662062535,Device: id=1,RX,0.70627759824976,1996.4916991706,2109.4961148906,909583,321459968
1662062536,Device: id=1,RX,0.70620636368712,1997.1113343108,2110.1043525008,1615821,571110068
1662062537,Device: id=1,RX,0.70502190017813,1996.998771648,2109.8022756765,2320846,820736012
1662062538,Device: id=1,RX,0.70762485592008,1997.6061512501,2110.8261281973,3028508,1070449888
1662062539,Device: id=1,RX,0.70435399840466,1996.7807794391,2109.4774191838,3732884,1320055282
1662062540,Device: id=1,RX,0.70721260769779,1998.7431261587,2111.8971433903,4440146,1569915622
1662062541,Device: id=1,RX,0.70629304982407,1997.5211575644,2110.5280455363,5146458,1819612466
1662062542,Device: id=1,RX,0.70511963725949,1997.1924927409,2110.0116347024,5851616,2069275110
1662062543,Device: id=1,RX,0.70632105000065,1996.919070533,2109.9304385331,6557974,2318903052
1662062544,Device: id=1,RX,0.70621283203983,1997.0700302642,2110.0640833906,7264224,2568549944
1662062545,Device: id=1,RX,0.70635802123228,1996.5962708967,2109.6135542939,7970630,2818141430
1662062546,Device: id=1,RX,0.70761757444005,1997.5083574667,2110.7271693771,8678261,3067834712
1662062547,Device: id=1,RX,0.70727991452754,1997.4038125051,2110.5685988295,9385574,3317521868
1662062548,Device: id=1,RX,0.70674423008607,1997.4629233177,2110.5420001314,10092363,3567220550
1662062549,Device: id=1,RX,0.7069314544032,1997.6569158199,2110.7659485245,10799325,3816938454
1662062550,Device: id=1,RX,0.70784003115096,1998.8233879274,2112.0777929116,11507189,4066799838
1662062551,Device: id=1,RX,0.65209183541957,1841.7798551561,1946.1145488232,12159281,4297022378
1662062552,Device: id=1,RX,0.43563835897077,1233.096319333,1302.7984567683,12594924,4451161060
1662062553,Device: id=1,RX,0.43251588358739,1220.5872074762,1289.7897488502,13027440,4603734502
1662062554,Device: id=1,RX,0.42868708441789,1210.8042535385,1279.3941870454,13456129,4755085710
1662062555,Device: id=1,RX,0.42747668189214,1209.7893758142,1278.185644917,13883633,4906319046
1662062556,Device: id=1,RX,0.4242121712955,1200.5921721189,1268.4661195262,14307849,5056394422
1662062557,Device: id=1,RX,0.42953642225159,1213.5262953455,1282.2521229058,14737413,5208094948
1662062558,Device: id=1,RX,0.42816580470825,1214.2514629148,1282.7579916681,15165591,5359880704
1662062559,Device: id=1,RX,0.42543560781846,1203.4278384641,1271.4975357151,15591033,5510311444
1662062560,Device: id=1,RX,0.42296908940467,1200.5923402353,1268.2673945401,16014038,5660398228
1662062561,Device: id=1,RX,0.44746210361042,1264.405643048,1335.9995796256,16461501,5818449250
1662062562,Device: id=1,RX,0.4219033673146,1194.3270975442,1261.8316363145,16883439,5967752392
1662062563,Device: id=1,RX,0.42777765077106,1212.0830775039,1280.5275016273,17311226,6119266088
1662062564,Device: id=1,RX,0.42768863647497,1212.9280647946,1281.3582466306,17738949,6270894278
1662062565,Device: id=1,RX,0.42453952040013,1199.0945973897,1267.0209206537,18163489,6420781272
1662062566,Device: id=1,RX,0.42897839913431,1213.9044139399,1282.5409578014,18592469,6572519890
1662062567,Device: id=1,RX,0.41422152704125,1172.3936053593,1238.6690496859,19006691,6719069258
1662062568,Device: id=1,RX,0.43011052506214,1216.8079863724,1285.6256703824,19436819,6871176436
1662062569,Device: id=1,RX,0.42060465745307,1190.4293621328,1257.7261073253,19857468,7019995794
1662062570,Device: id=1,RX,0.43114642147088,1217.7735279311,1286.7569553664,20288627,7172221926
1662062571,Device: id=1,RX,0.50484240778457,1431.8110356134,1512.5858208589,20793475,7351200288
1662062572,Device: id=1,RX,0.70765885368444,1997.940685106,2111.1661016955,21501172,7600956336
1662062573,Device: id=1,RX,0.70791678652184,1997.3669101364,2110.6335959799,22209105,7850632918
1662062574,Device: id=1,RX,0.70758308758487,1998.1319864833,2111.3452804969,22916715,8100408916
1662062575,Device: id=1,RX,0.70764324668811,1998.0025826436,2111.2255021137,23624399,8350173622
1662062576,Device: id=1,RX,0.7041339720232,1997.2241238566,2109.8855593803,24328563,8599837284
1662062577,Device: id=1,RX,0.70524690772738,1997.6861528121,2110.5256580485,25033813,8849549148
1662062578,Device: id=1,RX,0.70681314889738,1997.7285684093,2110.8186722329,25740658,9099276472
1662062579,Device: id=1,RX,0.70557541586319,1997.5318499634,2110.4239165015,26446268,9348980192
1662062580,Device: id=1,RX,0.7078207661004,1997.8228508651,2111.0741734412,27154115,9598717304
