,input_rate,output_rate,latency,flow_tracker_instructions,nf_router_instructions,ndpi_stats_instructions,payload_scan_instructions,flow_tracker_branches,nf_router_branches,ndpi_stats_branches,payload_scan_branches,flow_tracker_branch-misses,nf_router_branch-misses,ndpi_stats_branch-misses,payload_scan_branch-misses,flow_tracker_branch-load-misses,nf_router_branch-load-misses,ndpi_stats_branch-load-misses,payload_scan_branch-load-misses,flow_tracker_cache-misses,nf_router_cache-misses,ndpi_stats_cache-misses,payload_scan_cache-misses,flow_tracker_cache-references,nf_router_cache-references,ndpi_stats_cache-references,payload_scan_cache-references,flow_tracker_cycles,nf_router_cycles,ndpi_stats_cycles,payload_scan_cycles,flow_tracker_L1-dcache-load-misses,nf_router_L1-dcache-load-misses,ndpi_stats_L1-dcache-load-misses,payload_scan_L1-dcache-load-misses,flow_tracker_L1-dcache-loads,nf_router_L1-dcache-loads,ndpi_stats_L1-dcache-loads,payload_scan_L1-dcache-loads,flow_tracker_LLC-load-misses,nf_router_LLC-load-misses,ndpi_stats_LLC-load-misses,payload_scan_LLC-load-misses,flow_tracker_LLC-stores,nf_router_LLC-stores,ndpi_stats_LLC-stores,payload_scan_LLC-stores,flow_tracker_LLC-loads,nf_router_LLC-loads,ndpi_stats_LLC-loads,payload_scan_LLC-loads
0,581.58498427259,571.07282013839,27.83,9167589704.0,9446202852.0,10465035069.0,10728874705.0,1788130148.0,1884939083.0,2060752977.0,2084421617.0,6427525.0,7541138.0,7704770.0,7886360.0,6439602.0,7552916.0,7705183.0,7891457.0,6179.0,12300.0,6591.0,9077.0,4514047.0,9649652.0,4580168.0,4482701.0,2722358515.0,2892512747.0,2890807956.0,2892682580.0,4298341.0,9078564.0,4419225.0,4570773.0,2803848100.0,2985941057.0,3198954133.0,3283502244.0,4115.0,7971.0,3953.0,5207.0,1525223.0,4236422.0,1514581.0,1678604.0,3226953.0,5771900.0,3355147.0,3232516.0
1,2066.091452695,2111.8058268112,12.275,9849731247.0,9277323474.0,10458965882.0,10787748083.0,1916930827.0,1843511556.0,2059676970.0,2112033294.0,6918598.0,7614521.0,7749211.0,7930027.0,6921255.0,7514333.0,7754736.0,7929736.0,2176.0,3171.0,2816.0,1726.0,5138218.0,10909331.0,5170044.0,5174823.0,2891895390.0,2852235832.0,2891221303.0,2891961481.0,5241853.0,11304547.0,5380059.0,5418141.0,3020997036.0,2905335174.0,3210200089.0,3309471312.0,2986.0,1973.0,2569.0,2556.0,1615511.0,4470133.0,1620259.0,1775619.0,3528562.0,6363524.0,3542132.0,3376373.0
2,2113.0687443304,2110.7232277143,12.538,9736460301.0,9507731897.0,10333472076.0,10779362027.0,1901351309.0,1882353307.0,2041316080.0,2125080358.0,6909840.0,7605377.0,7769042.0,7868317.0,6861798.0,7603124.0,7719529.0,7869303.0,3201.0,2573.0,3434.0,2634.0,5119788.0,10787963.0,5138904.0,5125222.0,2891701093.0,2891827673.0,2891112945.0,2891969110.0,5252996.0,11325067.0,5382105.0,5426420.0,3003941921.0,2932350106.0,3191896807.0,3291837148.0,2753.0,1750.0,2220.0,2463.0,1608962.0,4457865.0,1607316.0,1770288.0,3516575.0,6356355.0,3551987.0,3371964.0
3,2112.9811214008,2109.5354464534,13.853,9552478092.0,9325776023.0,10137290283.0,10660278825.0,1874451343.0,1854945233.0,2012845087.0,2108200544.0,6829481.0,8056644.0,7908348.0,7839284.0,6839952.0,8057200.0,7736184.0,7886984.0,2695.0,2243.0,3006.0,2176.0,5153007.0,10884361.0,5183419.0,5159949.0,2891784975.0,2891794219.0,2891193792.0,2891844316.0,5282481.0,11393667.0,5419010.0,5422135.0,3022071793.0,2947969099.0,3210777050.0,3310489579.0,2700.0,2407.0,3479.0,3082.0,1589976.0,4534722.0,1587003.0,1774541.0,3522481.0,6321774.0,3558075.0,3381550.0
4,2113.3335252345,2110.3560095528,10.14,9758901061.0,9506576246.0,10357233332.0,10781844838.0,1904202066.0,1883790006.0,2044969219.0,2125733030.0,6918099.0,7611904.0,7975504.0,7976514.0,6958578.0,7611218.0,7837394.0,7928816.0,2650.0,2162.0,2512.0,2621.0,5178147.0,10975249.0,5199062.0,5190619.0,2891753181.0,2891816455.0,2891492579.0,2891914458.0,5250792.0,11417989.0,5392634.0,5416055.0,3000345788.0,2928872782.0,3188414118.0,3287060201.0,2287.0,1963.0,1619.0,2870.0,1561420.0,4438505.0,1556750.0,1770392.0,3509425.0,6193545.0,3531252.0,3358588.0
5,2112.8999516174,2109.9246484054,14.247,9636162037.0,9384807644.0,10235639840.0,10539904412.0,1886366710.0,1864253846.0,2026950801.0,2090508973.0,6862850.0,7544334.0,7860952.0,7985987.0,6867877.0,7545184.0,7862898.0,8115226.0,3185.0,3128.0,3507.0,3125.0,5124950.0,10916296.0,5157637.0,5130899.0,2891514480.0,2891583583.0,2890836403.0,2891689804.0,5222498.0,11314354.0,5351386.0,5406760.0,3004403079.0,2932641474.0,3193175081.0,3290975982.0,1450.0,1688.0,1862.0,1946.0,1596841.0,4501663.0,1589906.0,1769051.0,3535686.0,6301851.0,3551334.0,3359200.0
6,2112.916229364,2110.0635821403,16.838,9639804450.0,9417932667.0,9610899408.0,10174141162.0,1887147500.0,1867668061.0,1904148141.0,2005359607.0,6868496.0,7552842.0,7280620.0,7525773.0,6868571.0,7554996.0,7279389.0,7486586.0,2136.0,2361.0,3827.0,2091.0,5157827.0,10871028.0,5168910.0,5143092.0,2891890436.0,2891869093.0,2642403107.0,2721921117.0,5278104.0,11278485.0,5368872.0,5383877.0,3020603530.0,2967142274.0,2841246759.0,3192924701.0,1653.0,1806.0,1806.0,1389.0,1568517.0,4554383.0,1569591.0,1729320.0,3464469.0,6186231.0,3459111.0,3373223.0
7,2113.1231567113,2110.1158625124,31.324,9747319193.0,9608906880.0,10344235437.0,9973214944.0,1901450320.0,1881766052.0,2041812323.0,1970913132.0,6910013.0,7606118.0,7788128.0,7414449.0,6909577.0,7600858.0,7785236.0,7406232.0,2278.0,2084.0,2239.0,2390.0,5187050.0,11083744.0,5215868.0,5160745.0,2891954669.0,2891901654.0,2891382189.0,2825783274.0,5266518.0,11333250.0,5385331.0,5396619.0,3002191803.0,2925326131.0,3191055745.0,3199205422.0,1738.0,1426.0,1188.0,1788.0,1570561.0,4573567.0,1564635.0,1731787.0,3455491.0,6250404.0,3492950.0,3334077.0
8,2113.1013394713,2109.8279807962,19.261,9647178087.0,9609514600.0,10255878638.0,10556447004.0,1888336325.0,1868559672.0,2030519481.0,2093628138.0,7261669.0,7560819.0,7736698.0,7882928.0,7257655.0,7562563.0,7740667.0,7886215.0,2786.0,2736.0,2671.0,2351.0,5138318.0,11007269.0,5163551.0,5174430.0,2891748624.0,2891689833.0,2891070181.0,2891644173.0,5275766.0,11375991.0,5410646.0,5461707.0,3022361943.0,2928664242.0,3211920795.0,3310359911.0,1976.0,1805.0,1838.0,1750.0,1613095.0,4553164.0,1605071.0,1760614.0,3512737.0,6378447.0,3547738.0,3339315.0
9,2113.1430008189,2109.963554904,11.875,9185272251.0,9609584608.0,10378412575.0,10662764738.0,1766888932.0,1884589444.0,2045767216.0,2108699676.0,6414031.0,7605015.0,7960146.0,8139210.0,6330249.0,7604742.0,7958234.0,8140112.0,2010.0,3146.0,3281.0,2069.0,5068007.0,11056603.0,5219966.0,5185888.0,2569306247.0,2891771879.0,2891416289.0,2891690683.0,5277767.0,11447973.0,5430135.0,5473364.0,2810674709.0,2940180560.0,3207485514.0,3283882508.0,1668.0,2264.0,1668.0,1278.0,1634021.0,4575442.0,1612413.0,1726372.0,3385184.0,6397099.0,3479210.0,3311371.0
