Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1661884470,Device: id=0,TX,0.086465331200241,244.50650100878,258.34095400082,86501,30575288
1661884471,Device: id=0,TX,0.17316771839362,490.46138624811,518.16822119109,259752,91912446
1661884472,Device: id=0,TX,0.17612828672043,499.99202971851,528.17255559378,435913,154423058
1661884473,Device: id=0,TX,0.1774139839653,499.9883187335,528.37455616795,613387,216942740
1661884474,Device: id=0,TX,0.17605564082085,500.00650728718,528.17540981851,789456,279448296
1661884475,Device: id=0,TX,0.17614471605169,499.96563272731,528.14878729558,965615,341949068
1661884476,Device: id=0,TX,0.17658760764242,499.99912671445,528.25314393724,1142257,404468210
1661884477,Device: id=0,TX,0.17615408485386,499.98120798539,528.16586156201,1318420,466969024
1661884478,Device: id=0,TX,0.17740861783538,499.98023496802,528.36561382168,1495829,529466688
1661884479,Device: id=0,TX,0.18300665956617,516.65087702966,545.93194256025,1678843,594050638
1661884480,Device: id=0,TX,0.35375485838156,999.95801894643,1056.5587962875,2032665,719069114
1661884481,Device: id=0,TX,0.35330938855399,999.96979507259,1056.4992972412,2386044,844089966
1661884482,Device: id=0,TX,0.35402668568058,999.97881128632,1056.6230809952,2740093,969095196
1661884483,Device: id=0,TX,0.35147177864772,999.9849577774,1056.220442361,3091583,1094099796
1661884484,Device: id=0,TX,0.35320532154027,999.96233990696,1056.4751913534,3444866,1219122578
1661884485,Device: id=0,TX,0.35468967540207,999.97797741159,1056.7283254759,3799620,1344142494
1661884486,Device: id=0,TX,0.35307129479454,999.97541572694,1056.4668228941,4152742,1469157372
1661884487,Device: id=0,TX,0.35365641455321,999.98394186247,1056.568968191,4506438,1594169356
1661884488,Device: id=0,TX,0.35357572070511,999.96589000695,1056.5380053198,4860041,1719174736
1661884489,Device: id=0,TX,0.36546178881737,1034.3266578301,1092.8005440409,5225516,1848470242
1661884490,Device: id=0,TX,0.70844067481024,1999.9495537363,2113.300061706,5933965,2098466874
1661884491,Device: id=0,TX,0.70712146522911,1999.9426054404,2113.082039877,6641136,2348477212
1661884492,Device: id=0,TX,0.70801717588777,1999.9520388772,2113.2347870192,7349200,2598487750
1661884493,Device: id=0,TX,0.70502005578337,1999.9409205221,2112.7441294474,8054228,2848483182
1661884494,Device: id=0,TX,0.70920483313836,1999.9508978884,2113.4236711905,8763479,3098493318
1661884495,Device: id=0,TX,0.70723652778877,1999.9443187265,2113.1021631727,9470775,3348507380
1661884496,Device: id=0,TX,0.70815337148448,1999.94721755,2113.2517569875,10178972,3598516184
1661884497,Device: id=0,TX,0.70692105158706,1999.9556679238,2113.0630361778,10885949,3848530428
1661884498,Device: id=0,TX,0.70669943761561,1999.9421937326,2113.0141037511,11592701,4098541796
1661884499,Device: id=0,TX,0.72063826238413,2034.5109679368,2149.8130899183,12313343,4352856986
1661884500,Device: id=0,TX,1.0591812871363,2994.148870825,3163.6178767668,13372579,4727144928
1661884501,Device: id=0,TX,1.0583786045719,2994.6283107268,3163.9688874583,14430979,5101481034
1661884502,Device: id=0,TX,1.0606098571858,2993.9930913995,3163.6906685492,15491653,5475752804
1661884503,Device: id=0,TX,1.0604687202133,2994.8152972358,3164.4902924699,16552135,5850109404
1661884504,Device: id=0,TX,1.0600462613714,2994.7543192234,3164.3617210428,17612234,6224472318
1661884505,Device: id=0,TX,1.0569120441678,2993.7368643951,3162.8427914619,18669200,6598708530
1661884506,Device: id=0,TX,1.0583859148325,2994.3677900288,3163.709536402,19727597,6973008424
1661884507,Device: id=0,TX,1.0577347097276,2993.9567669594,3163.1943205158,20785357,7347261968
1661884508,Device: id=0,TX,1.056582764474,2994.8264792262,3163.879721542,21842001,7721636974
1661884509,Device: id=0,TX,1.0721093540503,3028.3470468487,3199.8845434968,22914136,8100189410
1661884510,Device: id=0,TX,1.4082507839537,3980.538090913,4205.8582163456,24322422,8597769114
1661884511,Device: id=0,TX,1.4088098408923,3983.2702159181,4208.6797904609,25731255,9095686076
1661884512,Device: id=0,TX,1.408963503275,3983.1920615906,4208.6262221146,27140250,9593596214
1661884513,Device: id=0,TX,1.4083532710006,3982.3416245163,4207.6781478764,28548668,10091411796
1661884514,Device: id=0,TX,1.4084305843402,3982.7431076261,4208.0920011206,29957151,10589273212
1661884515,Device: id=0,TX,1.4085126650793,3982.412292195,4207.7743186076,31365728,11087097486
1661884516,Device: id=0,TX,1.4083733923445,3982.3216624042,4207.6614051794,32774154,11584906288
1661884517,Device: id=0,TX,1.4079394683898,3982.8282959131,4208.0986108555,34182147,12082778754
1661884518,Device: id=0,TX,1.4099046928998,3982.1889385314,4207.7736893954,35592075,12580560600
1661884519,Device: id=0,TX,1.4218107207542,4017.1551050785,4244.6448203991,37013928,13082719920
1661884520,Device: id=0,TX,1.7591972789851,4968.7026124543,5250.1741770919,38773201,13703834480
1661884521,Device: id=0,TX,1.7582639614213,4972.576714919,5253.8989487464,40531533,14325430622
1661884522,Device: id=0,TX,1.7579914957169,4972.8614621506,5254.1401014653,42289552,14947048030
1661884523,Device: id=0,TX,1.761147453664,4972.1641717137,5253.9477642999,44050735,15568581096
1661884524,Device: id=0,TX,1.7561999450727,4971.420468162,5252.4124593736,45806961,16190017874
1661884525,Device: id=0,TX,1.7585497222898,4972.8816026204,5254.2495581868,47565558,16811644786
1661884526,Device: id=0,TX,1.7597524637974,4973.2283964453,5254.7887906529,49325334,17433306650
1661884527,Device: id=0,TX,1.7573138050671,4972.1265379221,5253.2967467328,51082716,18054846586
1661884528,Device: id=0,TX,1.7581080123397,4972.8021130339,5254.0993950082,52840860,18676459574
1661884529,Device: id=0,TX,1.7688322096007,5007.2209083215,5290.2340618576,54609728,19302374852
1661884530,Device: id=0,TX,2.1075231598732,5965.276335419,6302.4800409987,56717279,20048044244
1661884531,Device: id=0,TX,2.1123554173266,5969.6093521074,6307.5862188796,58829663,20794255510
1661884532,Device: id=0,TX,2.1115379630052,5970.9496270221,6308.795701103,60941217,21540629882
1661884533,Device: id=0,TX,2.1095575222838,5969.8996850796,6307.428888645,63050789,22286872464
1661884534,Device: id=0,TX,2.1099410164028,5971.4518896228,6309.0424522472,65160775,23033319864
1661884535,Device: id=0,TX,2.1122805540929,5970.353178171,6308.3180668259,67273063,23779616642
1661884536,Device: id=0,TX,2.1143242366297,5970.2324438945,6308.5243217553,69387468,24525924204
1661884537,Device: id=0,TX,2.1089561842991,5968.0047113624,6305.4377008503,71496460,25271937462
1661884538,Device: id=0,TX,2.1114896529075,5971.0828648184,6308.9212092836,73608014,26018345566
1661884539,Device: id=0,TX,2.1240821442209,6005.9688404925,6345.8219835679,75732143,26769108232
1661884540,Device: id=0,TX,2.4566704657719,6952.9698443175,7346.037118841,78188821,27638232128
1661884541,Device: id=0,TX,2.4592954712932,6957.1222450771,7350.609520484,80648147,28507883204
1661884542,Device: id=0,TX,2.4582188997781,6957.3656652778,7350.6806892423,83106419,29377572698
1661884543,Device: id=0,TX,2.4597546245314,6957.6149114345,7351.1756513595,85566199,30247283534
1661884544,Device: id=0,TX,2.459492979641,6958.2616120595,7351.7804888021,88025722,31117076852
1661884545,Device: id=0,TX,2.4607580096012,6958.328155389,7352.0494369252,90486495,31986873170
1661884546,Device: id=0,TX,2.4584497493236,6958.3617823464,7351.7137422382,92944992,32856685110
1661884547,Device: id=0,TX,2.4644478494014,6958.7554634472,7353.0671193515,95409442,33726530302
1661884548,Device: id=0,TX,2.4626839797689,6958.653704586,7352.683141349,97872164,34596375444
1661884549,Device: id=0,TX,2.4927929587832,7045.216282363,7444.0631557683,100364979,35477035266
1661884550,Device: id=0,TX,3.3187204378257,9391.2220585955,9922.2173286476,103683715,36650943528
1661884551,Device: id=0,TX,3.32059895439,9397.609552089,9928.9053847914,107004365,37825662780
1661884552,Device: id=0,TX,3.3204473334403,9396.6937707077,9927.9653440581,110324833,39000256812
1661884553,Device: id=0,TX,3.3219173204871,9399.0165108831,9930.523282161,113646770,40175140836
1661884554,Device: id=0,TX,3.3238272156757,9397.159541914,9928.9718964221,116970658,41349807260
1661884555,Device: id=0,TX,3.3242850154133,9399.7728401465,9931.6584426127,120294975,42524790170
1661884556,Device: id=0,TX,3.3282425028407,9397.2027442169,9929.7215446714,123623271,43699459394
1661884557,Device: id=0,TX,3.3211567834294,9399.3650136708,9930.7500990195,126944451,44874388234
1661884558,Device: id=0,TX,3.3155837547075,9390.3462919237,9920.8396926769,130260064,46048191874
