Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1662060849,Device: id=0,TX,0.22179144750086,628.70520716416,664.19183876429,221809,78595694
1662060850,Device: id=0,TX,0.69229936183909,1956.1668013013,2066.9346991956,914146,323129838
1662060851,Device: id=0,TX,0.7085922218951,1999.9385555905,2113.3133110937,1622764,573131252
1662060852,Device: id=0,TX,0.70805335496346,1999.952990566,2113.2415273602,2330824,823127722
1662060853,Device: id=0,TX,0.70626087702292,1999.93166417,2112.9334044936,3037129,1073134798
1662060854,Device: id=0,TX,0.70669897122731,1999.9564266251,2113.0282620215,3743850,1323137144
1662060855,Device: id=0,TX,0.70799453404249,1999.931708099,2113.2108335458,4451916,1573153842
1662060856,Device: id=0,TX,0.70793490198156,1999.9458164071,2113.2154007242,5159915,1823169704
1662060857,Device: id=0,TX,0.70762375711718,1999.9395450284,2113.1593461671,5867599,2073183430
1662060858,Device: id=0,TX,0.70625894307992,1999.9405160507,2112.9419469435,6573878,2323183094
1662060859,Device: id=0,TX,0.7079993631096,1999.9763790987,2113.2562771962,7281885,2573182838
1662060860,Device: id=0,TX,0.70729847803588,1999.5112180099,2112.6789744956,7989236,2823140300
1662060861,Device: id=0,TX,0.70940549080528,1999.9404852528,2113.4453637817,8698677,3073145374
1662060862,Device: id=0,TX,0.70590267917089,1999.9596567476,2112.9040854149,9404602,3323148236
1662060863,Device: id=0,TX,0.70786788318557,1999.9275704131,2113.1864317228,10112479,3573142402
1662060864,Device: id=0,TX,0.70638561986268,1999.9463964707,2112.9680956488,10818908,3823151054
1662060865,Device: id=0,TX,0.70869146262461,1999.9514059442,2113.3420399641,11527646,4073161396
1662060866,Device: id=0,TX,0.70644060208991,1999.9348173989,2112.9653137333,12234143,4323173206
1662060867,Device: id=0,TX,0.7071039374469,1999.9420063646,2113.0786363561,12941249,4573166686
1662060868,Device: id=0,TX,0.70902205093594,1999.9426368535,2113.3861650033,13650309,4823172896
1662060869,Device: id=0,TX,0.70755672491068,1999.9434640798,2113.1525400655,14357925,5073186772
1662060870,Device: id=0,TX,0.70727587240494,1999.9468309846,2113.1109705694,15065225,5323188654
1662060871,Device: id=0,TX,0.7077204090414,1999.9386367043,2113.1739021509,15772970,5573189670
1662060872,Device: id=0,TX,0.70522812395228,1999.9423907088,2112.7788905412,16478258,5823203694
1662060873,Device: id=0,TX,0.70516130696584,1999.9527796618,2112.7785887764,17183437,6073204064
1662060874,Device: id=0,TX,0.70446501097901,1999.9414436333,2112.65584539,17887952,6323214484
1662060875,Device: id=0,TX,0.70920415153641,1999.9356725996,2113.4083368455,18597201,6573222252
1662060876,Device: id=0,TX,0.70760511468844,1999.9434431765,2113.1602615267,19304820,6823220088
1662060877,Device: id=0,TX,0.70774311160042,1999.94459876,2113.1834966161,20012632,7073237496
1662060878,Device: id=0,TX,0.70614257276545,1999.9458711787,2112.9286828211,20718807,7323242210
1662060879,Device: id=0,TX,0.70754198912294,1999.9609297724,2113.1676480321,21426364,7573242630
1662060880,Device: id=0,TX,0.70726881498158,1999.9206978202,2113.0837082172,22133660,7823242326
1662060881,Device: id=0,TX,0.70713544608606,1999.9434574972,2113.085128871,22840830,8073247474
1662060882,Device: id=0,TX,0.70710780569056,1999.9442001026,2113.0814490131,23547968,8323251174
1662060883,Device: id=0,TX,0.70629955348625,1999.951327614,2112.9592561718,24254307,8573259052
1662060884,Device: id=0,TX,0.70787108345004,1999.9354559238,2113.1948292758,24962181,8823252014
1662060885,Device: id=0,TX,0.70835876199376,1999.9461768708,2113.2835787898,25670566,9073254546
1662060886,Device: id=0,TX,0.70685309730066,1999.9429348862,2113.0394304543,26377481,9323269306
1662060887,Device: id=0,TX,0.70657950045226,1999.9414700332,2112.9941901056,27084105,9573277734
1662060888,Device: id=0,TX,0.70633634644158,1999.9446834205,2112.9584988512,27790509,9823294764
1662060889,Device: id=0,TX,0.70559669525234,1999.9481850002,2112.8436562406,28496109,10073289458
1662060890,Device: id=0,TX,0.70984270435087,1999.9400447331,2113.5148774292,29205998,10323298268
1662060891,Device: id=0,TX,0.70795021997244,1999.9384819795,2113.2105171751,29914001,10573309216
1662060892,Device: id=0,TX,0.70466505794153,1999.9434398048,2112.6898490755,30618711,10823318090
1662060893,Device: id=0,TX,0.70583412474295,1999.9442604935,2112.8777204523,31324565,11073318162
1662060894,Device: id=0,TX,0.7074264546672,1999.9429130033,2113.13114575,32032055,11323333482
1662060895,Device: id=0,TX,0.70822211859957,1999.9472744708,2113.2628134467,32740312,11573339204
