Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1662062053,Device: id=1,RX,0.19685026834141,556.77905494411,588.27509787874,201247,71151868
1662062054,Device: id=1,RX,0.70574545981488,1997.0123392175,2109.9316127879,906998,320780370
1662062055,Device: id=1,RX,0.70718217809842,1996.6702881718,2109.8194366675,1614196,570369740
1662062056,Device: id=1,RX,0.70578241745206,1996.6179324408,2109.5431192332,2320004,819956028
1662062057,Device: id=1,RX,0.70655517623984,1997.3324398499,2110.3812680483,3026585,1069631708
1662062058,Device: id=1,RX,0.70554371660374,1997.4760481515,2110.3630428081,3732168,1319330116
1662062059,Device: id=1,RX,0.70482176127032,1998.572175655,2111.3436574583,4437038,1569168736
1662062060,Device: id=1,RX,0.7091627382875,1997.1703443195,2110.6363824455,5146229,1818824978
1662062061,Device: id=1,RX,0.70639565217875,1996.8443224519,2109.8676268005,5852670,2068446542
1662062062,Device: id=1,RX,0.70476740650785,1996.435357438,2109.1981424792,6557482,2318016752
1662062063,Device: id=1,RX,0.70630367121194,1997.4417254188,2110.4503128127,7263822,2567709810
1662062064,Device: id=1,RX,0.70677732716261,1996.4490379093,2109.5334102553,7970652,2817284538
1662062065,Device: id=1,RX,0.70588714879594,1997.1830266729,2110.1249704802,8676574,3066944742
1662062066,Device: id=1,RX,0.70600664559467,1996.7832294696,2109.7442927647,9382596,3316548074
1662062067,Device: id=1,RX,0.70638585030154,1997.2197072312,2110.2414432794,10089031,3566217908
1662062068,Device: id=1,RX,0.70616078265371,1997.0825975937,2110.0683228183,10795236,3815868864
1662062069,Device: id=1,RX,0.70703241320596,1996.0410417772,2109.1662278901,11502290,4065381612
1662062070,Device: id=1,RX,0.68556986102572,1936.4981326028,2046.1893103669,12187901,4307458404
1662062071,Device: id=1,RX,0.60678153199266,1715.5375015301,1812.6225466489,12794695,4521904998
1662062072,Device: id=1,RX,0.59060553199044,1671.2984924042,1765.7953775226,13385305,4730818890
1662062073,Device: id=1,RX,0.5874261264487,1656.064276673,1750.0524569048,13972746,4937832166
1662062074,Device: id=1,RX,0.58567712964413,1655.6556363228,1749.3639770658,14558443,5144796142
1662062075,Device: id=1,RX,0.5925753922744,1676.3356192428,1771.1476820067,15151043,5354346796
1662062076,Device: id=1,RX,0.58402821054089,1654.3105469329,1747.7550606195,15735128,5561155722
1662062077,Device: id=1,RX,0.58168339575969,1642.1512208072,1735.2205641288,16316855,5766440012
1662062078,Device: id=1,RX,0.58425438306292,1649.622788232,1743.103489522,16901114,5972644490
1662062079,Device: id=1,RX,0.583737343488,1652.3490420839,1745.747017042,17484867,6179193660
1662062080,Device: id=1,RX,0.60633170186546,1715.2577023921,1812.2707746905,18091241,6393615830
1662062081,Device: id=1,RX,0.60589809980115,1714.3300178308,1811.273713799,18697185,6607923316
1662062082,Device: id=1,RX,0.58503630376139,1655.9443213874,1749.5501299892,19282278,6814936416
1662062083,Device: id=1,RX,0.5877578596127,1657.0679365744,1751.1091941124,19870071,7022082292
1662062084,Device: id=1,RX,0.58161515037976,1647.1957358781,1740.2541599389,20451705,7227988432
1662062085,Device: id=1,RX,0.58124783423863,1644.341604342,1737.3412578202,21032972,7433537910
1662062086,Device: id=1,RX,0.58328354695755,1647.3702874239,1740.6956549371,21616312,7639479126
1662062087,Device: id=1,RX,0.58464232844273,1655.4054466236,1748.9482191745,22200963,7846407876
1662062088,Device: id=1,RX,0.58303761351149,1646.2414605074,1739.5274786692,22784055,8052207254
1662062089,Device: id=1,RX,0.58163681368308,1647.1728020715,1740.2346922608,23365736,8258119496
1662062090,Device: id=1,RX,0.62747558953591,1774.7468130239,1875.1429073496,23993258,8479979256
1662062091,Device: id=1,RX,0.70722750146114,1998.8692950827,2112.0256953165,24700503,8729844100
1662062092,Device: id=1,RX,0.70543284375351,1997.5018337009,2110.3710887015,25405986,8979549582
1662062093,Device: id=1,RX,0.70530552256369,1997.5234783017,2110.3723619119,26111303,9229244080
1662062094,Device: id=1,RX,0.70621833228629,1997.0183363595,2110.0132695253,26817541,9478878324
1662062095,Device: id=1,RX,0.70888125918877,1997.9637027215,2111.3847041917,27526430,9728626514
1662062096,Device: id=1,RX,0.70667692437822,1997.4873702131,2110.5556781137,28233178,9978337548
1662062097,Device: id=1,RX,0.70699657638398,1997.3252596541,2110.4447118755,28940241,10228026662
1662062098,Device: id=1,RX,0.70398650070538,1997.9301566393,2110.5679967522,29644243,10477773430
1662062099,Device: id=1,RX,0.70718781358257,1997.6659005926,2110.8159507658,30351437,10727483852
