System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-03-10,19:37:26.800,0.20,3.08,0.07,1.12,0.07,5.51,0.99,0.58,0.0000,0.0005, 22240,0.25,0.19,99,48,10415.66,3382.74,2599.38,6.16,153.95,0.40,10.02,0.03,1.71,0.02,1.22,0.02,1.12,0.99,0.36,0.0000,0.0006, 24520,0.11,0.01,89,48,1725.89,1011.03,2599.38,3.41,85.35,0.07,1.66,5.83,75.18,0.01,18.98,0.00,100.00,0.00,0.00,0.00,0.00,1.59,28.16,0.13,70.11,0.00,100.00,0.00,0.00,0.00,0.00,79.65,51.96,4.20 ,4.27 ,1268355.55 ,1279957.56 ,3.00,3.00,0.47,2.96,0.16,1.12,0.00,1.12,1.00,0.53,0.0000,0.0009,   360,14.10,85.90,0.00,0.00,0.00,49,1211.63,408.67,2599.38,5.93,148.24,0.93,23.31,
2024-03-10,19:37:27.800,0.21,3.21,0.06,1.12,0.04,5.43,0.99,0.56,0.0000,0.0005, 22880,0.25,0.19,98,50,10728.74,3344.66,2597.27,6.42,160.39,0.41,10.33,0.03,1.70,0.02,1.22,0.03,1.24,0.98,0.36,0.0000,0.0007, 24520,0.11,0.01,89,47,1714.88,1006.24,2597.27,3.41,85.21,0.07,1.65,5.77,76.51,0.00,17.71,0.00,100.00,0.00,0.00,0.00,0.00,1.58,28.17,0.13,70.11,0.00,100.00,0.00,0.00,0.00,0.00,80.21,51.92,4.20 ,4.25 ,0.07 ,0.33 ,3.00,3.00,0.50,3.18,0.16,1.12,0.00,1.14,1.00,0.37,0.0000,0.0009,   320,14.15,85.85,0.00,0.00,0.00,50,1302.76,409.83,2597.27,6.36,158.94,1.00,25.08,
2024-03-10,19:37:28.800,0.21,3.13,0.07,1.12,0.05,5.50,0.99,0.56,0.0000,0.0005, 21800,0.23,0.18,99,49,10724.14,3421.61,2597.08,6.27,156.71,0.41,10.32,0.03,1.65,0.02,1.22,0.01,1.25,0.99,0.36,0.0000,0.0007, 24840,0.11,0.01,88,48,1737.55,1051.25,2597.08,3.31,82.64,0.07,1.67,5.91,76.02,0.01,18.06,0.00,100.00,0.00,0.00,0.00,0.00,1.66,28.00,0.13,70.20,0.00,100.00,0.00,0.00,0.00,0.00,80.06,51.88,4.18 ,4.26 ,0.10 ,0.33 ,3.00,3.00,0.51,3.16,0.16,1.12,0.00,1.16,1.00,0.36,0.0000,0.0009,   280,14.33,85.67,0.00,0.00,0.00,49,1312.81,415.03,2597.08,6.33,158.16,1.01,25.27,
2024-03-10,19:37:29.800,0.21,3.19,0.07,1.12,0.05,5.53,0.99,0.56,0.0000,0.0005, 22960,0.22,0.17,98,48,10801.03,3386.91,2597.05,6.38,159.45,0.42,10.40,0.03,1.69,0.02,1.22,0.01,1.11,0.99,0.36,0.0000,0.0007, 24080,0.11,0.01,90,49,1695.52,1001.04,2597.05,3.39,84.69,0.07,1.63,5.85,76.20,0.02,17.93,0.00,100.00,0.00,0.00,0.00,0.00,1.58,28.17,0.13,70.12,0.00,100.00,0.00,0.00,0.00,0.00,80.18,51.88,4.18 ,4.26 ,0.00 ,0.33 ,3.00,3.00,0.51,3.20,0.16,1.12,0.00,1.16,1.00,0.36,0.0000,0.0009,   320,14.34,85.66,0.00,0.00,0.00,49,1328.88,415.25,2597.05,6.40,160.01,1.02,25.58,
2024-03-10,19:37:30.800,0.20,3.15,0.06,1.12,0.05,5.37,0.99,0.57,0.0000,0.0005, 22160,0.23,0.18,99,48,10524.70,3342.57,2597.07,6.30,157.43,0.41,10.13,0.03,1.69,0.02,1.22,0.01,1.10,0.99,0.36,0.0000,0.0006, 24360,0.11,0.01,88,48,1719.38,1015.56,2597.07,3.39,84.65,0.07,1.66,5.77,76.71,0.03,17.49,0.00,100.00,0.00,0.00,0.00,0.00,1.60,28.39,0.12,69.88,0.00,100.00,0.00,0.00,0.00,0.00,80.33,51.89,4.20 ,4.27 ,0.33 ,0.33 ,3.00,3.00,0.50,3.19,0.16,1.12,0.00,1.13,1.00,0.37,0.0000,0.0009,   280,13.92,86.08,0.00,0.00,0.00,49,1285.79,403.24,2597.07,6.38,159.43,0.99,24.75,
2024-03-10,19:37:31.800,0.21,3.19,0.07,1.12,0.02,5.46,1.00,0.56,0.0000,0.0005, 23160,0.20,0.16,98,47,10849.73,3401.52,2596.95,6.38,159.48,0.42,10.44,0.03,1.68,0.02,1.22,0.01,1.11,0.99,0.36,0.0000,0.0006, 24120,0.11,0.01,91,48,1745.44,1040.89,2596.95,3.35,83.84,0.07,1.68,5.87,76.51,0.03,17.59,0.00,100.00,0.00,0.00,0.00,0.00,1.65,29.06,0.15,69.14,0.00,100.00,0.00,0.00,0.00,0.00,80.32,51.94,4.17 ,4.25 ,0.33 ,0.33 ,3.00,3.00,0.51,3.21,0.16,1.12,0.00,1.17,1.00,0.36,0.0000,0.0009,   200,14.37,85.63,0.00,0.00,0.00,49,1335.14,416.37,2596.95,6.41,160.33,1.03,25.71,
2024-03-10,19:37:32.800,0.21,3.25,0.06,1.12,0.04,5.51,0.99,0.56,0.0000,0.0005, 21880,0.21,0.17,99,48,10870.10,3349.78,2596.96,6.49,162.25,0.42,10.46,0.03,1.71,0.02,1.23,0.01,1.14,0.99,0.36,0.0000,0.0007, 23960,0.10,0.01,90,47,1694.68,990.32,2596.96,3.42,85.56,0.07,1.63,5.78,76.18,0.02,18.02,0.00,100.00,0.00,0.00,0.00,0.00,1.56,28.04,0.13,70.27,0.00,100.00,0.00,0.00,0.00,0.00,80.26,51.88,4.17 ,4.26 ,0.27 ,0.33 ,3.00,3.00,0.52,3.24,0.16,1.12,0.00,1.17,1.00,0.36,0.0000,0.0009,   360,14.27,85.73,0.00,0.00,0.00,48,1339.42,413.39,2596.96,6.48,162.00,1.03,25.79,
2024-03-10,19:37:33.800,0.20,3.17,0.06,1.12,0.03,5.44,0.99,0.57,0.0000,0.0005, 22320,0.20,0.16,98,47,10642.11,3359.67,2597.12,6.34,158.38,0.41,10.24,0.03,1.70,0.02,1.22,0.01,1.21,0.99,0.36,0.0000,0.0007, 24160,0.10,0.01,90,47,1721.52,1011.53,2597.12,3.40,85.09,0.07,1.66,5.80,76.11,0.01,18.08,0.00,100.00,0.00,0.00,0.00,0.00,1.59,28.09,0.12,70.19,0.00,100.00,0.00,0.00,0.00,0.00,80.28,51.88,4.18 ,4.26 ,0.00 ,321190.27 ,3.00,3.00,0.50,3.19,0.16,1.12,0.00,1.15,1.00,0.37,0.0000,0.0009,   360,14.15,85.85,0.00,0.00,0.00,48,1307.07,410.00,2597.12,6.38,159.40,1.01,25.16,
2024-03-10,19:37:34.800,0.21,3.24,0.06,1.12,0.03,5.43,0.99,0.56,0.0000,0.0005, 21840,0.21,0.17,99,47,10764.68,3324.36,2596.80,6.48,161.91,0.41,10.36,0.03,1.73,0.02,1.22,0.01,1.13,0.99,0.37,0.0000,0.0007, 24080,0.10,0.01,89,47,1715.22,992.91,2596.80,3.45,86.37,0.07,1.65,5.74,76.21,0.01,18.05,0.00,100.00,0.00,0.00,0.00,0.00,1.56,28.16,0.14,70.15,0.00,100.00,0.00,0.00,0.00,0.00,80.30,51.94,4.18 ,4.25 ,0.03 ,0.10 ,3.00,3.00,0.51,3.23,0.16,1.12,0.00,1.16,1.00,0.37,0.0000,0.0009,   200,14.13,85.87,0.00,0.00,0.00,48,1323.08,409.23,2596.80,6.47,161.65,1.02,25.48,
